rb,Year,Date,Load_sum
p49,2020,2020-06-27,200656.9
p49,2026,2026-07-29,233829.33000000002
p49,2046,2046-07-20,232177.65999999997
p49,2051,2051-07-27,227978.8
p49,2051,2051-08-03,236050.50999999998
p49,2051,2051-08-06,219117.18
p49,2051,2051-08-07,228954.51
p49,2052,2052-07-31,224437.87999999998
p49,2052,2052-08-01,227237.13
p49,2052,2052-08-02,230140.09000000003
p49,2052,2052-08-03,219077.90000000002
p49,2058,2058-07-19,219466.63999999998
p49,2058,2058-07-20,220626.97999999998
p49,2058,2058-07-21,217520.48
p49,2060,2060-06-24,216609.97
p49,2060,2060-06-25,221224.31
p49,2060,2060-06-26,207826.43000000002
p49,2060,2060-06-27,206843.43
p49,2060,2060-06-28,221841.02
p49,2060,2060-06-30,213205.89
p49,2060,2060-07-01,232891.68
p49,2060,2060-07-17,218980.80000000002
p49,2060,2060-07-18,221436.27999999997
p49,2064,2064-08-29,227877.84
p49,2066,2066-07-28,234967.12000000002
p49,2066,2066-07-29,239534.59000000003
p49,2066,2066-07-30,239443.67
p49,2075,2075-07-27,213436.87
p49,2076,2076-07-05,215090.52
p49,2076,2076-07-06,229719.46000000002
p49,2076,2076-07-07,234771.58
p49,2076,2076-07-21,234839.72000000003
p49,2080,2080-09-04,223169.45
p49,2083,2083-07-14,226929.77
p49,2083,2083-07-21,232933.58000000002
p49,2086,2086-07-13,214628.40999999997
p49,2086,2086-07-14,219138.63
p49,2086,2086-07-17,230976.51
p49,2086,2086-07-18,229611.07
p49,2086,2086-07-19,230184.18
p49,2086,2086-07-20,221352.2
p49,2089,2089-07-10,213748.12
p49,2091,2091-06-26,217665.50999999998
p49,2091,2091-07-09,227626.02
p49,2091,2091-07-15,214552.12
p49,2091,2091-07-26,225763.37000000002
p49,2091,2091-07-27,231926.15999999997
p49,2091,2091-08-02,239261.08
p49,2091,2091-08-03,240224.66
p49,2091,2091-08-04,225422.31
p49,2091,2091-08-05,225659.78
p49,2091,2091-08-06,237014.39999999997
p49,2091,2091-08-07,233538.88999999998
p49,2091,2091-08-08,233576.82
p49,2091,2091-08-19,215268.01
p49,2091,2091-08-24,230518.16
p49,2092,2092-06-26,217654.50000000003
p49,2092,2092-07-29,230314.97999999998
p49,2092,2092-07-30,231057.54
p49,2092,2092-07-31,229042.41999999998
p49,2092,2092-08-01,231528.53
p49,2092,2092-08-02,223023.08000000002
p49,2092,2092-08-03,224490.52
p49,2092,2092-08-04,236564.31999999998
p49,2098,2098-07-19,211827.43999999997
p49,2098,2098-07-20,222402.27999999997
p49,2098,2098-07-21,229340.13999999998
