rb,Year,Date,Load_sum
p50,2020,2020-06-24,247226.67064890335
p50,2020,2020-06-25,254394.60589672017
p50,2020,2020-06-27,236803.2314431532
p50,2020,2020-06-30,242805.4078762696
p50,2020,2020-07-17,265377.29211398796
p50,2020,2020-07-18,251821.4161543997
p50,2021,2021-07-21,269480.4662247646
p50,2021,2021-07-22,272858.1526818502
p50,2024,2024-08-29,277665.8185840837
p50,2026,2026-07-28,297401.4405866522
p50,2026,2026-07-29,303793.4852873236
p50,2026,2026-07-30,301275.08228048985
p50,2035,2035-07-27,332705.9421691391
p50,2036,2036-07-05,320816.62420726626
p50,2036,2036-07-06,328284.68009828834
p50,2036,2036-07-21,348054.6362300002
p50,2040,2040-09-04,352612.37746059295
p50,2043,2043-07-14,376496.4193970657
p50,2043,2043-07-21,385796.6042578076
p50,2046,2046-07-13,397536.66588664235
p50,2046,2046-07-14,378633.91869762086
p50,2046,2046-07-17,411054.5166294869
p50,2046,2046-07-18,412518.1162830306
p50,2046,2046-07-19,412757.4764819326
p50,2046,2046-07-20,413535.06432589435
p50,2046,2046-07-21,380906.30490212026
p50,2048,2048-08-04,412550.2510769428
p50,2049,2049-07-10,390038.34044200997
p50,2051,2051-06-26,414637.8855406752
p50,2051,2051-07-09,405231.6430001657
p50,2051,2051-07-15,413526.5977123931
p50,2051,2051-07-16,418996.7845667889
p50,2051,2051-07-21,442779.3798279931
p50,2051,2051-07-26,430352.1477993875
p50,2051,2051-07-27,439550.254427677
p50,2051,2051-08-01,445791.49590326287
p50,2051,2051-08-02,453569.01490416867
p50,2051,2051-08-03,455250.50714684435
p50,2051,2051-08-04,453668.62564957043
p50,2051,2051-08-05,431391.3959148946
p50,2051,2051-08-06,422647.44847761927
p50,2051,2051-08-07,441641.4410057027
p50,2051,2051-08-08,444290.5501600673
p50,2051,2051-08-19,412628.6522141836
p50,2051,2051-08-24,439841.90530631435
p50,2052,2052-06-25,411251.80172703875
p50,2052,2052-06-26,418348.4338140534
p50,2052,2052-06-28,400933.9751698096
p50,2052,2052-07-20,422329.2164933395
p50,2052,2052-07-21,407505.90322458936
p50,2052,2052-07-29,443780.1373266735
p50,2052,2052-07-30,446057.7086221878
p50,2052,2052-07-31,439702.07712737645
p50,2052,2052-08-01,445205.3731944836
p50,2052,2052-08-02,450912.3722210913
p50,2052,2052-08-03,429256.88904806616
p50,2052,2052-08-04,433885.91166234895
p50,2058,2058-07-19,472444.3670572541
p50,2058,2058-07-20,474962.6919431418
p50,2058,2058-07-21,468295.0952943682
p50,2058,2058-07-22,470981.08269464097
p50,2060,2060-06-24,480749.27651538735
p50,2060,2060-06-25,491011.54441156355
p50,2060,2060-06-26,461294.7316126232
p50,2060,2060-06-27,459132.6740351694
p50,2060,2060-06-28,492444.18512847164
p50,2060,2060-06-30,473316.90635768755
p50,2060,2060-07-01,517041.65328703984
p50,2060,2060-07-02,523153.7361993955
p50,2060,2060-07-03,488417.9687486734
p50,2060,2060-07-04,430453.61030550057
p50,2060,2060-07-09,498916.0979424297
p50,2060,2060-07-10,483333.0957645307
p50,2060,2060-07-11,484117.1445053762
p50,2060,2060-07-12,504893.50962020154
p50,2060,2060-07-13,506206.28661839524
p50,2060,2060-07-14,503528.0684305307
p50,2060,2060-07-15,510909.6127261004
p50,2060,2060-07-16,510500.4870574748
p50,2060,2060-07-17,486494.63975738926
p50,2060,2060-07-18,491971.1180361338
p50,2060,2060-07-19,513040.0428319569
p50,2060,2060-07-29,483342.50982592313
p50,2060,2060-07-30,487889.01681961445
p50,2060,2060-07-31,461544.6104484124
p50,2060,2060-08-01,465718.6823405725
p50,2061,2061-07-20,506052.1391790889
p50,2061,2061-07-21,514741.523031277
p50,2061,2061-07-22,512915.25340850715
p50,2064,2064-08-29,540278.8274248212
p50,2065,2065-08-31,508323.6069726704
p50,2066,2066-07-27,558550.4379300629
p50,2066,2066-07-28,574157.1352695321
p50,2066,2066-07-29,585343.2971456627
p50,2066,2066-07-30,585146.2877479105
p50,2066,2066-07-31,538333.4604184257
p50,2067,2067-08-03,582245.7320421154
p50,2070,2070-08-29,562645.1216269642
p50,2074,2074-06-25,569350.8816839905
p50,2075,2075-07-27,601175.5648372073
p50,2076,2076-06-19,548683.742001753
p50,2076,2076-06-20,585148.5584547133
p50,2076,2076-07-04,547655.056289325
p50,2076,2076-07-05,614912.242363055
p50,2076,2076-07-06,656762.5004826935
p50,2076,2076-07-07,671235.365623124
p50,2076,2076-07-21,671836.8301777984
p50,2076,2076-07-22,669320.7599940328
p50,2078,2078-06-29,625637.9717360979
p50,2078,2078-07-19,664830.158948567
p50,2078,2078-07-20,670758.1741937596
p50,2078,2078-07-22,662580.224558058
p50,2078,2078-07-25,650579.9756700404
p50,2078,2078-08-09,647956.4722967668
p50,2078,2078-09-03,548022.8048385627
p50,2078,2078-09-04,560350.4145337869
p50,2078,2078-09-05,554477.7655231659
p50,2079,2079-07-29,648477.5257645955
p50,2079,2079-07-30,643934.1800468168
p50,2079,2079-08-11,695063.464092723
p50,2079,2079-08-16,633292.6274889673
p50,2079,2079-08-26,601979.4307371657
p50,2080,2080-07-16,680845.4006416635
p50,2080,2080-08-04,638280.7540536537
p50,2080,2080-08-05,691180.4787680374
p50,2080,2080-08-06,700626.840752788
p50,2080,2080-09-02,618982.2449740253
p50,2080,2080-09-03,675625.4534225414
p50,2080,2080-09-04,681409.8259054205
p50,2081,2081-07-11,712421.3974484676
p50,2081,2081-07-12,679146.3027128032
p50,2081,2081-07-13,627893.7361029622
p50,2081,2081-07-21,708385.1788863892
p50,2081,2081-07-22,711857.0720323877
p50,2081,2081-07-23,713024.010404245
p50,2081,2081-07-30,715955.2303215445
p50,2082,2082-07-26,662068.3289407534
p50,2083,2083-07-12,711342.0214931972
p50,2083,2083-07-13,698066.9220419936
p50,2083,2083-07-14,724856.0132620293
p50,2083,2083-07-15,734844.7156806197
p50,2083,2083-07-18,687971.717646121
p50,2083,2083-07-19,729819.3909053651
p50,2083,2083-07-20,725634.7933802195
p50,2083,2083-07-21,744258.5006571405
p50,2083,2083-07-22,699136.759754657
p50,2083,2083-08-05,713413.2746933984
p50,2083,2083-08-06,710591.8365502713
p50,2083,2083-08-07,647740.607221805
p50,2085,2085-07-22,712688.8506143494
p50,2085,2085-07-23,760210.7615512145
p50,2086,2086-07-13,718804.4033168289
p50,2086,2086-07-14,733941.044954919
p50,2086,2086-07-15,763032.923134887
p50,2086,2086-07-16,766388.8587595869
p50,2086,2086-07-17,773688.8829775327
p50,2086,2086-07-18,769148.3152959362
p50,2086,2086-07-19,771101.5280469076
p50,2086,2086-07-20,741547.1220127402
p50,2086,2086-07-21,736982.8698531354
p50,2088,2088-08-02,790190.5635122254
p50,2088,2088-08-03,798379.7785200675
p50,2088,2088-08-04,790736.6234299481
p50,2089,2089-07-09,707514.8387995857
p50,2089,2089-07-10,750501.1073507132
p50,2089,2089-07-11,806840.3354090338
p50,2089,2089-07-12,809868.492374043
p50,2089,2089-07-13,822896.0821777757
p50,2089,2089-07-14,802756.6578495421
p50,2090,2090-08-02,810218.1541843708
p50,2090,2090-08-03,790866.725486472
p50,2090,2090-08-12,773924.0223628818
p50,2090,2090-08-13,790415.9769713928
p50,2091,2091-06-19,685085.9570345308
p50,2091,2091-06-26,788287.0422936231
p50,2091,2091-06-27,794308.2136041784
p50,2091,2091-06-29,765047.5323040521
p50,2091,2091-06-30,758621.0184366615
p50,2091,2091-07-09,824823.4087208153
p50,2091,2091-07-10,847252.9371201717
p50,2091,2091-07-15,777650.8641465468
p50,2091,2091-07-16,845143.2534687879
p50,2091,2091-07-20,832636.2497199271
p50,2091,2091-07-21,796158.290090018
p50,2091,2091-07-26,818675.4035486942
p50,2091,2091-07-27,841059.5031693648
p50,2091,2091-07-28,799997.8976934608
p50,2091,2091-08-01,831055.0524757032
p50,2091,2091-08-02,867884.0740284655
p50,2091,2091-08-03,871416.9530696054
p50,2091,2091-08-04,817756.727758311
p50,2091,2091-08-05,818653.6819507969
p50,2091,2091-08-06,859883.1305412697
p50,2091,2091-08-07,847310.8286832604
p50,2091,2091-08-08,847485.0813114181
p50,2091,2091-08-19,781427.4055278506
p50,2091,2091-08-24,836966.4282922589
p50,2091,2091-08-27,751051.7786728777
p50,2091,2091-08-28,764720.6772319919
p50,2091,2091-08-31,789063.0490420426
p50,2092,2092-06-25,795599.2411001191
p50,2092,2092-06-26,800821.3906633502
p50,2092,2092-06-27,776840.4909583271
p50,2092,2092-06-28,722844.3387569506
p50,2092,2092-07-19,797718.8695405886
p50,2092,2092-07-20,805203.7974931783
p50,2092,2092-07-21,823109.7699023518
p50,2092,2092-07-28,837338.7868369878
p50,2092,2092-07-29,848613.4416684683
p50,2092,2092-07-30,851386.1238796762
p50,2092,2092-07-31,843997.6650842336
p50,2092,2092-08-01,853195.6040825159
p50,2092,2092-08-02,821888.1213304213
p50,2092,2092-08-03,827331.6740890653
p50,2092,2092-08-04,871865.6498386433
p50,2092,2092-08-07,789440.334280932
p50,2092,2092-09-03,803753.5500560184
p50,2093,2093-06-27,778293.7212490705
p50,2094,2094-07-26,838884.3990435429
p50,2097,2097-07-22,910393.8346563912
p50,2098,2098-06-27,865711.3098251808
p50,2098,2098-07-19,857684.129210963
p50,2098,2098-07-20,900540.0679334397
p50,2098,2098-07-21,928672.2331004774
p50,2098,2098-07-22,898788.412791087
p50,2099,2099-08-19,911600.0861524257
