rb,Year,Date,Load_sum
p50,2022,2022-01-10,249869.38365026625
p50,2022,2022-01-11,244420.54767868028
p50,2023,2023-12-22,270456.30236633634
p50,2023,2023-12-24,267387.743712498
p50,2023,2023-12-25,250098.2552444596
p50,2023,2023-12-29,275812.1801723521
p50,2023,2023-12-30,251805.69152295703
p50,2025,2025-01-20,236315.01724961784
p50,2028,2028-01-08,249575.87249191164
p50,2029,2029-12-22,303270.39910789777
p50,2029,2029-12-23,288080.728763712
p50,2036,2036-02-03,288115.65237226046
p50,2036,2036-02-04,285686.4835576068
p50,2051,2051-02-02,389038.79136878997
p50,2051,2051-02-03,387668.8996726639
p50,2051,2051-02-10,364869.2171478962
p50,2063,2063-12-24,516294.26952601084
p50,2063,2063-12-25,451523.23020178225
p50,2063,2063-12-29,441121.6267838583
p50,2069,2069-12-22,548028.5501010944
p50,2069,2069-12-23,565410.3760778747
p50,2076,2076-02-03,566694.830292705
p50,2091,2091-02-03,673995.6655525431
p50,2091,2091-02-10,630483.4655428157
