rb,Year,Date,Load_sum
p50,2022,2022-01-10,251342.03576960738
p50,2022,2022-01-11,244687.43092993984
p50,2023,2023-12-24,263739.670096159
p50,2023,2023-12-25,247691.95201984004
p50,2023,2023-12-29,268148.828132265
p50,2023,2023-12-30,241101.71856057853
p50,2025,2025-01-20,238765.5034398479
p50,2029,2029-12-22,296103.59249014757
p50,2029,2029-12-23,282368.2654431816
p50,2036,2036-02-03,288542.996998643
p50,2036,2036-02-04,285837.54497982597
p50,2051,2051-02-02,389523.6034075717
p50,2051,2051-02-03,388441.0229899416
p50,2051,2051-02-10,367283.22070696985
p50,2069,2069-12-22,523523.0566505975
p50,2069,2069-12-23,545548.9405618062
