rb,Year,Date,Load_sum
p6,2020,2020-07-21,148238.93
p6,2020,2020-07-22,143938.88
p6,2021,2021-08-06,143508.14
p6,2021,2021-08-07,137593.17
p6,2021,2021-08-08,139559.97
p6,2021,2021-08-09,150884.12
p6,2021,2021-08-10,148186.08
p6,2021,2021-08-11,148293.88999999998
p6,2021,2021-09-15,131534.98
p6,2022,2022-08-07,133468.28
p6,2023,2023-07-30,132667.97
p6,2023,2023-08-06,128888.97
p6,2023,2023-08-07,145403.37
p6,2024,2024-07-16,146563.58
p6,2025,2025-06-18,143673.26
p6,2025,2025-06-19,125723.04000000001
p6,2025,2025-07-09,145889.35
p6,2025,2025-07-10,140984.65000000002
p6,2025,2025-07-19,135801.35
p6,2025,2025-07-20,133156.03
p6,2026,2026-08-08,133054.41999999998
p6,2026,2026-08-26,140441.05
p6,2027,2027-07-14,144458.19
p6,2027,2027-08-03,136787.91
p6,2027,2027-08-04,139257.53999999998
p6,2027,2027-08-08,131187.59
p6,2027,2027-08-09,141739.34
p6,2027,2027-08-30,139964.39
p6,2027,2027-08-31,142424.33
p6,2027,2027-09-01,138392.47999999998
p6,2027,2027-09-22,129928.12
p6,2028,2028-07-19,142784.78999999998
p6,2028,2028-07-20,148488.17
p6,2028,2028-07-21,139917.16
p6,2028,2028-07-25,143193.98
p6,2028,2028-07-26,145858.9
p6,2028,2028-08-23,136388.1
p6,2028,2028-09-01,132052.86000000002
p6,2028,2028-09-02,125805.94
p6,2028,2028-09-03,126386.56999999999
p6,2028,2028-09-04,126155.99
p6,2028,2028-09-05,134032.00999999998
p6,2030,2030-07-11,151344.19
p6,2030,2030-07-12,149873.9
p6,2030,2030-07-29,145153.03
p6,2030,2030-08-04,134397.86
p6,2030,2030-08-05,145223.69
p6,2030,2030-08-06,140635.19
p6,2030,2030-08-07,140197.86
p6,2030,2030-08-08,140265.07
p6,2030,2030-08-11,133617.62
p6,2030,2030-08-12,144319.27000000002
p6,2032,2032-06-21,139365.69
p6,2032,2032-06-22,143552.19
p6,2032,2032-06-23,144853.72
p6,2032,2032-07-17,133002.27000000002
p6,2032,2032-07-30,143867.94
p6,2032,2032-07-31,131117.77000000002
p6,2032,2032-08-10,136214.25
p6,2032,2032-08-11,141483.18
p6,2032,2032-08-12,142225.44
p6,2032,2032-08-13,145703.56
p6,2032,2032-08-14,132121.94999999998
p6,2033,2033-08-03,145412.17
p6,2034,2034-07-20,148408.91999999998
p6,2034,2034-07-21,148485.22
p6,2034,2034-07-22,132371.98
p6,2036,2036-07-13,136876.66999999998
p6,2036,2036-07-14,153697.01
p6,2036,2036-07-23,147902.99
