rb,Year,Date,Load_sum
p6,2020,2020-01-27,192691.095130761
p6,2020,2020-01-28,196371.4837694806
p6,2020,2020-01-29,196245.6764549871
p6,2020,2020-01-30,191933.99285415607
p6,2022,2022-01-06,194958.2783423733
p6,2023,2023-12-21,207076.65099052322
p6,2023,2023-12-22,218668.2306952813
p6,2023,2023-12-23,204243.26768834272
p6,2023,2023-12-24,207223.4435018242
p6,2025,2025-02-04,188978.81582042068
p6,2025,2025-11-23,187040.41350946057
p6,2025,2025-11-25,195660.4679133628
p6,2025,2025-11-30,185344.26129133182
p6,2029,2029-02-02,217776.40189798194
p6,2029,2029-02-03,225893.45443187325
p6,2029,2029-02-04,217317.97461459413
p6,2029,2029-02-05,209773.2525800094
p6,2030,2030-02-14,204133.62817116344
p6,2030,2030-12-20,242049.9517703997
p6,2030,2030-12-21,237876.45687170365
p6,2030,2030-12-22,233849.29852444795
p6,2030,2030-12-23,229433.25137635038
p6,2030,2030-12-29,219358.26500539845
p6,2030,2030-12-30,228475.8045819312
p6,2033,2033-01-11,224687.24699744603
p6,2035,2035-02-14,218336.41519419834
p6,2038,2038-12-20,245384.22696611215
p6,2038,2038-12-21,256579.04034607825
p6,2051,2051-02-26,261719.25835364804
p6,2053,2053-12-08,307128.21460963256
p6,2060,2060-01-28,327056.78121086926
p6,2060,2060-01-29,326630.877254574
p6,2063,2063-12-21,340104.205789751
p6,2063,2063-12-22,334769.13518242503
p6,2063,2063-12-23,335279.9108772798
p6,2063,2063-12-24,354901.5888632297
p6,2069,2069-02-02,349361.85535639006
p6,2069,2069-02-03,374127.7536150577
p6,2069,2069-02-04,372389.86419704114
p6,2069,2069-02-05,351733.58913274505
p6,2070,2070-12-20,377810.0095937557
p6,2070,2070-12-21,395389.504083895
p6,2070,2070-12-22,412021.9807687769
p6,2070,2070-12-23,381158.28845107264
p6,2070,2070-12-29,388180.1454447561
p6,2070,2070-12-30,380429.2270753522
p6,2078,2078-12-21,422456.6319537157
