rb,Year,Date,Load_sum
p6,2020,2020-01-27,193262.6970081849
p6,2020,2020-01-28,196784.74581014662
p6,2020,2020-01-29,196544.3738085571
p6,2020,2020-01-30,192188.49282046105
p6,2022,2022-01-06,195045.2067672931
p6,2023,2023-12-21,205165.34248429642
p6,2023,2023-12-22,216271.00754528312
p6,2023,2023-12-23,202048.31327755237
p6,2023,2023-12-24,205412.6476058044
p6,2025,2025-02-04,188767.68437131587
p6,2025,2025-11-23,181948.77229997946
p6,2029,2029-02-02,216770.76262884238
p6,2029,2029-02-03,225907.459176864
p6,2029,2029-02-04,217393.802804457
p6,2029,2029-02-05,209482.25051618536
p6,2030,2030-02-14,203049.1487813999
p6,2030,2030-12-20,240865.13639563127
p6,2030,2030-12-21,236514.1172341289
p6,2030,2030-12-22,231688.42951831396
p6,2030,2030-12-23,226722.05259570363
p6,2030,2030-12-29,217678.7412931411
p6,2030,2030-12-30,226562.37302980243
p6,2038,2038-12-20,242891.7425607345
p6,2038,2038-12-21,253193.18374134056
p6,2051,2051-02-26,259129.50404643815
p6,2053,2053-12-08,304782.22561767185
p6,2060,2060-01-29,321919.0545001114
p6,2063,2063-12-22,323942.4599460412
p6,2063,2063-12-23,324297.1021413445
p6,2063,2063-12-24,344120.2685579797
p6,2069,2069-02-02,341788.151082234
p6,2069,2069-02-03,365125.5005913686
p6,2069,2069-02-04,365087.7556070623
p6,2069,2069-02-05,344640.2400046737
p6,2070,2070-12-20,365266.36493676365
p6,2070,2070-12-21,381597.9349222982
p6,2070,2070-12-22,398891.9892681462
p6,2070,2070-12-29,375392.79591003014
