rb,Year,Date,Load_sum
p120,2020,2020-07-16,540904.3057361719
p120,2020,2020-07-17,542070.70398082
p120,2020,2020-07-20,558438.7502926888
p120,2020,2020-07-21,573872.5755542165
p120,2020,2020-08-08,493306.7986538166
p120,2020,2020-08-27,510081.6181614017
p120,2021,2021-07-08,528259.3216198244
p120,2021,2021-07-09,551377.9886629592
p120,2023,2023-07-03,557949.1223519274
p120,2023,2023-07-15,474243.79875279136
p120,2023,2023-07-16,494092.8648171515
p120,2023,2023-08-20,479055.55584227375
p120,2023,2023-08-27,464067.62562754913
p120,2023,2023-09-10,427973.70301472855
p120,2023,2023-09-11,508293.51445267943
p120,2025,2025-09-08,512133.77621530485
p120,2026,2026-07-06,522451.93160692364
p120,2026,2026-07-07,541939.8317431533
p120,2027,2027-07-20,527107.1555683651
p120,2027,2027-07-21,540003.861604994
p120,2027,2027-07-22,536847.3956640557
p120,2027,2027-07-23,531235.7858093171
p120,2027,2027-07-24,493935.8039585211
p120,2027,2027-07-25,496473.73721708765
p120,2027,2027-08-03,524993.5572530518
p120,2027,2027-08-17,536216.9282402636
p120,2028,2028-06-15,491967.1227048005
p120,2028,2028-06-21,513993.8728549613
p120,2028,2028-06-22,505263.62933858257
p120,2028,2028-07-06,496526.54494949157
p120,2028,2028-07-07,507022.2678526384
p120,2028,2028-07-08,464903.1750214245
p120,2028,2028-07-10,528655.401905135
p120,2028,2028-07-14,514617.61326189287
p120,2028,2028-07-16,462683.4572042734
p120,2028,2028-07-17,544402.567452015
p120,2028,2028-07-18,531820.6121676457
p120,2028,2028-07-29,473024.62944338913
p120,2028,2028-07-30,479214.08620150556
p120,2028,2028-08-02,539864.6944179778
p120,2028,2028-08-03,536763.2602616486
p120,2028,2028-08-09,514943.5846971671
p120,2028,2028-08-10,536075.2615385278
p120,2028,2028-08-11,551258.3278976083
p120,2028,2028-08-12,508401.5390780202
p120,2028,2028-08-13,502449.6357899417
p120,2028,2028-08-14,548828.2481798289
p120,2028,2028-08-15,537038.25481421
p120,2028,2028-08-17,489122.7913627583
p120,2031,2031-06-29,463496.8887437814
p120,2031,2031-07-18,505788.8716233269
p120,2031,2031-07-19,493896.4829812469
p120,2031,2031-07-20,508841.32100007316
p120,2031,2031-07-21,549656.4052933254
p120,2031,2031-07-22,537559.9495691127
p120,2031,2031-07-23,538879.2953276442
p120,2031,2031-08-02,463964.9719730125
p120,2031,2031-08-03,451611.8528764921
p120,2031,2031-08-17,441216.6802910002
p120,2031,2031-08-28,525333.4379928638
p120,2031,2031-08-29,542074.8788201867
p120,2031,2031-08-30,492372.0826555746
p120,2031,2031-09-16,492350.36081953056
p120,2032,2032-07-14,504796.62098273763
p120,2033,2033-07-05,522346.4489403113
p120,2033,2033-07-06,517485.6638399698
p120,2033,2033-07-07,531503.4707124362
p120,2033,2033-07-08,544873.5690701958
p120,2033,2033-07-09,496576.16633315413
p120,2033,2033-07-10,491412.0855937149
p120,2033,2033-07-14,500480.649259986
p120,2033,2033-07-28,522458.43016766844
p120,2033,2033-08-25,513949.4939539922
p120,2033,2033-08-26,533223.5358970265
p120,2033,2033-08-27,488420.83751267835
p120,2033,2033-08-28,485369.2868325033
p120,2033,2033-08-30,494804.6732046262
p120,2033,2033-08-31,497873.1853964466
p120,2034,2034-06-15,537752.6848331968
p120,2034,2034-06-19,456218.3288459988
p120,2035,2035-06-20,498317.5339596253
p120,2035,2035-07-13,510866.80347482994
p120,2035,2035-07-14,489215.92900332983
p120,2035,2035-07-15,521370.4031754279
p120,2035,2035-08-01,523751.96315099736
p120,2035,2035-08-02,537673.91128497
