rb,Year,Date,Load_sum
p120,2020,2020-07-16,552049.7200000001
p120,2020,2020-07-17,559939.9400000001
p120,2020,2020-07-20,566405.3
p120,2020,2020-07-21,583766.72
p120,2020,2020-08-08,504605.18
p120,2021,2021-07-08,538935.18
p120,2021,2021-07-09,560729.83
p120,2023,2023-07-03,574508.56
p120,2023,2023-07-15,487358.96
p120,2023,2023-07-16,507826.06
p120,2023,2023-08-20,488754.0
p120,2023,2023-09-11,517237.18
p120,2026,2026-07-06,533422.28
p120,2026,2026-07-07,559056.52
p120,2027,2027-07-20,551821.75
p120,2027,2027-07-21,558632.17
p120,2027,2027-07-22,549844.82
p120,2027,2027-07-23,549859.8300000001
p120,2027,2027-07-24,509793.14
p120,2027,2027-08-17,550378.67
p120,2028,2028-06-15,505583.25000000006
p120,2028,2028-06-21,526226.5
p120,2028,2028-06-22,524274.4
p120,2028,2028-07-06,521093.18
p120,2028,2028-07-07,528432.03
p120,2028,2028-07-08,486779.36
p120,2028,2028-07-10,552941.3499999999
p120,2028,2028-07-14,542164.87
p120,2028,2028-07-16,473408.5
p120,2028,2028-07-17,559888.47
p120,2028,2028-07-18,552981.83
p120,2028,2028-07-29,483418.60000000003
p120,2028,2028-07-30,497061.05
p120,2028,2028-08-01,546327.9600000001
p120,2028,2028-08-02,563644.54
p120,2028,2028-08-03,553373.9
p120,2028,2028-08-09,533892.63
p120,2028,2028-08-10,556500.79
p120,2028,2028-08-11,570223.44
p120,2028,2028-08-12,523204.48
p120,2028,2028-08-13,523656.69
p120,2028,2028-08-14,569372.1799999999
p120,2028,2028-08-15,556017.95
p120,2028,2028-08-17,502949.47
p120,2031,2031-06-28,457089.56
p120,2031,2031-06-29,485057.77999999997
p120,2031,2031-06-30,541015.7699999999
p120,2031,2031-07-06,461835.32999999996
p120,2031,2031-07-07,550762.7000000001
p120,2031,2031-07-17,508861.14
p120,2031,2031-07-18,531875.81
p120,2031,2031-07-19,514333.48000000004
p120,2031,2031-07-20,532792.44
p120,2031,2031-07-21,591672.13
p120,2031,2031-07-22,558088.39
p120,2031,2031-07-23,566054.73
p120,2031,2031-08-01,520048.95
p120,2031,2031-08-02,479422.99
p120,2031,2031-08-03,471230.29
p120,2031,2031-08-17,459316.55
p120,2031,2031-08-29,557606.0899999999
p120,2031,2031-08-30,507407.02999999997
p120,2031,2031-09-16,509445.58
p120,2032,2032-07-14,529293.22
p120,2033,2033-07-05,547981.74
p120,2033,2033-07-06,549301.9999999999
p120,2033,2033-07-07,561014.7200000001
p120,2033,2033-07-08,573454.6100000001
p120,2033,2033-07-09,518537.18000000005
p120,2033,2033-07-10,512764.0900000001
p120,2033,2033-07-14,529429.1000000001
p120,2033,2033-07-28,549782.18
p120,2033,2033-08-25,529978.59
p120,2033,2033-08-26,547471.7999999999
p120,2033,2033-08-27,503166.03
p120,2033,2033-08-28,510575.73
p120,2033,2033-08-30,511277.76
p120,2033,2033-08-31,512551.97
p120,2034,2034-06-15,559843.08
p120,2034,2034-06-19,486811.04
p120,2034,2034-07-08,516852.07
p120,2035,2035-06-20,524251.44
p120,2035,2035-07-13,540091.8600000001
p120,2035,2035-07-14,518368.10000000003
p120,2035,2035-07-15,548352.65
p120,2035,2035-07-16,558598.9
p120,2035,2035-08-01,547546.2599999999
p120,2035,2035-08-02,564961.34
p120,2035,2035-08-03,564318.42
p120,2035,2035-08-14,533242.55
p120,2035,2035-08-15,550890.86
p120,2035,2035-08-16,552806.8899999999
p120,2037,2037-07-14,536877.9
p120,2037,2037-07-15,561422.59
p120,2037,2037-07-17,546418.5299999999
