rb,Year,Date,Load_sum
p133,2083,2083-01-29,29187.245386208866
p133,2083,2083-01-30,27881.03593991973
p133,2085,2085-02-11,25161.76118542876
p133,2085,2085-02-12,27561.696893750413
p133,2086,2086-02-03,24745.74387778145
p133,2086,2086-02-04,27462.541122454684
p133,2086,2086-02-06,28875.769809288577
p133,2086,2086-02-07,28632.645951204908
p133,2087,2087-01-31,29653.657700744294
p133,2087,2087-02-01,25532.912004783488
p133,2087,2087-02-02,25462.998959802702
p133,2087,2087-02-03,27430.934090913786
p133,2088,2088-01-23,28873.394001874203
p133,2088,2088-01-24,25820.410854554677
p133,2088,2088-01-25,23971.151016145388
p133,2088,2088-01-26,26567.993332797258
p133,2088,2088-01-27,27542.27145941255
p133,2088,2088-01-28,27680.596080112442
p133,2088,2088-01-30,30882.173549720366
p133,2088,2088-01-31,27500.360279637305
p133,2088,2088-02-01,25606.11165989103
p133,2088,2088-02-02,27935.058637784372
p133,2088,2088-02-07,26321.00386380994
p133,2088,2088-02-08,25957.91654435211
p133,2088,2088-02-09,27951.576053004308
p133,2089,2089-01-18,27941.03604715062
p133,2089,2089-01-20,27600.718240643775
p133,2089,2089-01-21,27981.562943312867
p133,2089,2089-01-22,25962.647568517732
p133,2089,2089-01-23,26673.038383215833
p133,2089,2089-01-24,28288.48462962854
p133,2089,2089-01-25,26857.52522438769
p133,2089,2089-01-26,26644.369412855824
p133,2089,2089-01-27,27621.448336026035
p133,2089,2089-01-28,27760.170604081988
p133,2089,2089-01-29,27241.793896444287
p133,2089,2089-01-30,28364.519933413427
p133,2089,2089-01-31,29824.161971580626
p133,2089,2089-02-01,27944.616557683166
p133,2089,2089-02-02,28015.364675513098
p133,2089,2089-02-03,27588.658020377414
p133,2089,2089-02-04,27699.631143215887
p133,2089,2089-02-05,25597.805850876735
p133,2089,2089-02-06,26721.624331577754
p133,2089,2089-02-07,28879.837738474318
p133,2089,2089-02-08,28333.506860650043
p133,2089,2089-02-10,28101.229351086742
p133,2089,2089-02-11,27759.6043890757
p133,2089,2089-02-12,25649.21142118154
p133,2089,2089-02-13,25829.05503898231
p133,2089,2089-02-14,28002.609883730674
p133,2089,2089-02-15,27340.508752995665
p133,2090,2090-01-13,29808.586876111654
p133,2090,2090-01-14,25991.651977980764
p133,2090,2090-01-15,25166.88719338897
p133,2090,2090-01-16,26570.183842087867
