rb,Year,Date,Load_sum
p133,2020,2020-12-25,22457.83461454702
p133,2020,2020-12-26,23641.91579671487
p133,2021,2021-01-03,23023.90039307589
p133,2021,2021-01-04,25359.464116904204
p133,2021,2021-01-05,26043.031827776806
p133,2021,2021-01-11,25725.02229474095
p133,2021,2021-01-12,25797.955218440973
p133,2022,2022-01-17,24191.761345909083
p133,2022,2022-01-18,26407.821550840355
p133,2022,2022-01-27,25606.59601557999
p133,2023,2023-01-19,25868.917299495082
p133,2027,2027-02-16,25169.899197891147
p133,2028,2028-01-14,25979.187913914917
p133,2033,2033-02-07,25423.9134459627
p133,2033,2033-03-15,24632.659407935877
p133,2034,2034-01-16,26195.349773808906
p133,2034,2034-01-17,25556.23669157702
p133,2034,2034-01-27,26607.341314769852
p133,2035,2035-02-06,26622.73539187172
p133,2036,2036-01-06,24631.561132298113
p133,2040,2040-01-28,24797.22338319679
p133,2043,2043-01-28,27087.499921217408
p133,2043,2043-02-16,27049.116813609842
p133,2044,2044-01-14,27379.748613334934
p133,2044,2044-01-16,25457.556221656643
p133,2044,2044-01-25,27026.803536870135
p133,2049,2049-01-17,24884.031796556083
p133,2051,2051-01-24,28127.301047792138
p133,2054,2054-01-04,25534.71429994874
p133,2055,2055-01-08,27717.392254969916
p133,2055,2055-02-06,24765.198131664096
p133,2055,2055-02-14,25139.531277727518
p133,2055,2055-02-16,28815.07703301091
p133,2055,2055-02-20,25411.913048130707
p133,2055,2055-02-21,24641.400611668385
p133,2055,2055-02-24,28004.116822871136
p133,2056,2056-02-14,28741.852345583855
p133,2058,2058-01-07,28975.471945681016
p133,2061,2061-01-05,28013.34099253537
p133,2062,2062-01-18,28811.439646266
p133,2074,2074-01-16,29935.48475023432
p133,2091,2091-01-24,30903.995312817256
p133,2094,2094-01-04,30821.610716795254
p133,2095,2095-02-14,30318.667261172857
p133,2095,2095-02-16,31458.970764285048
p133,2095,2095-02-21,28767.515277748105
p133,2095,2095-02-24,30708.695341485116
p133,2096,2096-02-14,31588.031880373546
p133,2098,2098-01-07,32051.622516797845
