rb,Year,Date,Load_sum
p96,2020,2020-07-10,303342.43
p96,2020,2020-07-11,290322.54
p96,2020,2020-07-12,286014.97
p96,2020,2020-07-13,307662.62
p96,2020,2020-07-17,296102.8
p96,2020,2020-07-31,297113.29
p96,2020,2020-08-04,301680.41000000003
p96,2020,2020-08-06,299190.17
p96,2020,2020-08-08,277693.36
p96,2020,2020-08-09,277043.11
p96,2020,2020-08-10,295086.51
p96,2020,2020-09-15,271285.44
p96,2021,2021-06-14,286699.54000000004
p96,2021,2021-06-15,294546.5
p96,2021,2021-06-16,295628.8
p96,2021,2021-06-21,284109.02
p96,2021,2021-06-22,297257.48
p96,2021,2021-06-25,288450.58
p96,2021,2021-07-09,298823.43
p96,2021,2021-07-10,284631.37
p96,2021,2021-07-27,295767.84
p96,2023,2023-07-16,282346.89
p96,2023,2023-07-22,294713.57
p96,2023,2023-07-23,295132.36
p96,2023,2023-07-24,308414.22
p96,2023,2023-08-10,298524.26
p96,2023,2023-08-19,277681.54000000004
p96,2023,2023-08-20,287356.24
p96,2023,2023-08-21,304774.86
p96,2023,2023-08-23,296827.36
p96,2024,2024-06-19,259385.4
p96,2026,2026-07-08,298320.63
p96,2026,2026-07-09,304452.95999999996
p96,2026,2026-07-11,281739.44
p96,2026,2026-07-13,304226.63
p96,2026,2026-07-19,298030.65
p96,2026,2026-07-20,312746.53
p96,2026,2026-07-21,309529.68
p96,2027,2027-07-09,300755.31
p96,2027,2027-07-10,284444.82999999996
p96,2027,2027-07-22,292027.63
p96,2027,2027-07-23,298365.06999999995
p96,2028,2028-07-09,268296.20999999996
p96,2028,2028-07-15,283234.37
p96,2028,2028-08-17,294114.0
p96,2028,2028-08-18,299147.28
p96,2028,2028-08-19,273793.62
p96,2030,2030-06-21,290659.94
p96,2030,2030-07-05,293849.57
p96,2030,2030-07-06,282977.08
p96,2032,2032-07-10,278113.83
p96,2033,2033-07-04,271055.01
p96,2033,2033-07-05,301235.45
p96,2033,2033-07-10,291474.48
p96,2033,2033-07-13,294544.83
p96,2033,2033-07-15,292799.3
p96,2033,2033-07-20,300114.07
