rb,Year,Date,Load_sum
p95,2020,2020-07-05,281735.95
p95,2020,2020-07-06,306996.77999999997
p95,2020,2020-07-09,297538.61
p95,2020,2020-07-10,305617.96
p95,2020,2020-07-11,292810.69
p95,2020,2020-07-12,289641.1
p95,2020,2020-07-13,310231.84
p95,2020,2020-07-16,294307.28
p95,2020,2020-07-17,297002.96
p95,2020,2020-07-31,298148.27
p95,2020,2020-08-03,305302.71
p95,2020,2020-08-04,301633.43
p95,2020,2020-08-06,301427.63
p95,2020,2020-08-07,300666.34
p95,2020,2020-08-08,282351.04000000004
p95,2020,2020-08-09,280002.16000000003
p95,2020,2020-09-15,279239.96
p95,2021,2021-06-10,296615.86
p95,2021,2021-06-14,289869.26
p95,2021,2021-06-15,295465.75
p95,2021,2021-06-16,295913.27
p95,2021,2021-06-17,294209.18
p95,2021,2021-06-21,289989.83999999997
p95,2021,2021-06-22,298759.9
p95,2021,2021-06-23,297442.95
p95,2021,2021-06-25,290760.19
p95,2021,2021-07-08,294058.15
p95,2021,2021-07-09,300320.72000000003
p95,2021,2021-07-10,285447.51
p95,2021,2021-07-13,299989.92
p95,2021,2021-07-14,308164.8
p95,2021,2021-07-21,297506.20999999996
p95,2023,2023-07-16,288371.48
p95,2023,2023-07-17,304449.48
p95,2023,2023-07-20,300590.36
p95,2023,2023-07-21,305640.96
p95,2023,2023-07-22,296259.27
p95,2023,2023-07-23,297551.16000000003
p95,2023,2023-07-24,313611.72
p95,2023,2023-08-10,301401.95
p95,2023,2023-08-11,303478.58999999997
p95,2023,2023-08-18,287666.58
p95,2023,2023-08-19,282505.9
p95,2023,2023-08-20,291321.0
p95,2023,2023-08-21,311544.63
p95,2024,2024-06-19,260796.53999999998
p95,2025,2025-06-06,285113.93
p95,2026,2026-07-07,295792.2
p95,2026,2026-07-08,301446.67
p95,2026,2026-07-11,286937.88
p95,2026,2026-07-12,287549.01
p95,2026,2026-07-13,307663.02999999997
p95,2026,2026-07-18,290933.86
p95,2026,2026-07-19,297509.19
p95,2026,2026-07-20,314489.03
p95,2026,2026-07-21,310786.36
p95,2026,2026-07-28,300369.29000000004
p95,2026,2026-07-29,306054.27
p95,2026,2026-08-01,281196.25
p95,2027,2027-07-09,302662.74
p95,2027,2027-07-10,285155.13
p95,2027,2027-07-21,291710.18
p95,2027,2027-07-22,298414.95
p95,2027,2027-07-23,303004.18
p95,2027,2027-07-24,279318.76
p95,2028,2028-06-22,286395.58999999997
p95,2028,2028-06-23,291798.9
p95,2028,2028-07-08,255212.53
p95,2028,2028-07-09,272694.80000000005
p95,2028,2028-07-15,288552.4
p95,2028,2028-07-16,285246.84
p95,2028,2028-07-17,301179.36
p95,2028,2028-07-18,302577.69
p95,2028,2028-08-02,299652.62
p95,2028,2028-08-17,298851.69
p95,2028,2028-08-18,305723.4
p95,2028,2028-08-19,281791.47
p95,2029,2029-08-05,278224.55
p95,2029,2029-08-06,297785.12
p95,2030,2030-06-21,296691.37
p95,2030,2030-06-22,279831.08999999997
p95,2030,2030-06-29,266479.31
p95,2030,2030-06-30,267138.82
p95,2030,2030-07-05,299443.27
p95,2030,2030-07-06,290488.38
p95,2030,2030-07-07,284091.27
p95,2030,2030-08-28,301331.61
p95,2032,2032-07-10,281243.53
p95,2032,2032-07-11,289672.55
p95,2033,2033-06-09,284373.03
p95,2033,2033-07-03,281330.98
p95,2033,2033-07-04,271352.83999999997
p95,2033,2033-07-05,303250.73
p95,2033,2033-07-12,301982.63
p95,2033,2033-07-13,303254.76
p95,2033,2033-07-14,299880.0
p95,2033,2033-07-15,299188.9
p95,2033,2033-07-19,294489.6
p95,2033,2033-07-20,300786.04
p95,2033,2033-07-21,299480.33
p95,2033,2033-07-22,305347.22
p95,2033,2033-07-28,307684.94
p95,2033,2033-07-29,312301.45
p95,2033,2033-08-18,302760.51
p95,2033,2033-08-21,284078.83
p95,2033,2033-08-31,296156.41
p95,2035,2035-06-08,285212.01
p95,2035,2035-06-09,278362.19
p95,2035,2035-08-13,311723.41
p95,2035,2035-08-14,315724.65
p95,2035,2035-08-15,310986.73
p95,2035,2035-08-16,304822.1
p95,2035,2035-08-17,317623.08
p95,2036,2036-05-19,266506.61
p95,2036,2036-06-22,276137.47
p95,2036,2036-06-23,300761.97
p95,2036,2036-06-24,302188.23
p95,2036,2036-07-01,298673.5
p95,2036,2036-07-02,304523.85
p95,2037,2037-07-04,256099.52000000002
p95,2037,2037-07-28,295535.82
p95,2038,2038-06-03,298509.8
p95,2038,2038-06-23,293405.88
p95,2038,2038-06-24,295963.13
p95,2038,2038-06-25,293358.29000000004
p95,2038,2038-06-26,276500.14
p95,2038,2038-06-27,279113.72
p95,2038,2038-06-28,300277.35
p95,2038,2038-06-30,299008.95999999996
p95,2038,2038-07-09,298656.15
p95,2038,2038-08-27,297766.35
p95,2038,2038-08-29,276428.13
p95,2039,2039-07-23,290581.66000000003
p95,2039,2039-07-26,296108.37
p95,2039,2039-07-27,296687.4
p95,2039,2039-07-28,300264.37
p95,2039,2039-07-29,304773.36
p95,2039,2039-07-30,297611.6
p95,2039,2039-07-31,301247.5
p95,2039,2039-08-01,318153.71
p95,2039,2039-08-08,302689.86
p95,2039,2039-08-12,303312.91000000003
p95,2039,2039-08-13,284409.89
p95,2039,2039-08-14,285828.75
p95,2039,2039-08-18,302316.89
p95,2040,2040-07-10,289526.89
p95,2040,2040-07-11,299546.87
p95,2040,2040-08-18,271740.4
p95,2042,2042-06-02,286768.63
p95,2042,2042-07-17,298245.05000000005
p95,2042,2042-07-18,302764.06
p95,2042,2042-07-19,285732.98
p95,2042,2042-07-30,300418.05
p95,2042,2042-08-06,297908.11
p95,2042,2042-08-18,295836.18
p95,2042,2042-08-19,296655.02
p95,2042,2042-08-20,291988.07
p95,2042,2042-08-21,290375.31
p95,2042,2042-08-23,276000.8
p95,2042,2042-08-24,280061.08
p95,2044,2044-07-14,300610.69
p95,2045,2045-07-26,304757.44
p95,2045,2045-07-27,304658.06
p95,2046,2046-06-11,284979.32
p95,2046,2046-07-19,295240.7
p95,2046,2046-07-28,281405.19
p95,2047,2047-07-10,291393.69999999995
p95,2047,2047-07-19,298368.20999999996
p95,2047,2047-08-05,304914.11
p95,2047,2047-08-09,314569.87
p95,2047,2047-08-10,296220.31999999995
p95,2047,2047-08-11,295395.36
p95,2047,2047-08-13,299012.04
p95,2047,2047-08-14,293131.5
p95,2047,2047-08-15,292625.66000000003
p95,2047,2047-08-16,299523.72
p95,2047,2047-08-17,275712.23
p95,2047,2047-08-18,276475.03
p95,2047,2047-08-19,286576.16
