rb,Year,Date,Load_sum
p96,2020,2020-03-03,314937.79
p96,2022,2022-01-10,307264.39
p96,2022,2022-01-11,368917.1
p96,2022,2022-01-12,320202.99
p96,2023,2023-12-25,328398.56
p96,2023,2023-12-26,339952.94
p96,2025,2025-01-20,270863.57
p96,2025,2025-01-21,392406.61
p96,2025,2025-01-22,328415.61
p96,2025,2025-12-26,305427.36
p96,2026,2026-01-28,348392.93
p96,2029,2029-12-22,294696.13
p96,2029,2029-12-23,329016.08
p96,2029,2029-12-24,319587.51
p96,2029,2029-12-25,287097.58999999997
p96,2031,2031-02-16,291043.47
p96,2034,2034-01-16,309231.33999999997
p96,2034,2034-01-19,328963.08999999997
p96,2036,2036-02-05,316511.97000000003
p96,2043,2043-01-24,311370.20999999996
p96,2054,2054-01-07,324880.62
p96,2055,2055-02-19,299218.36
p96,2055,2055-02-20,290258.45
p96,2060,2060-03-03,295747.37
p96,2062,2062-01-10,295681.27
p96,2062,2062-01-11,351184.58999999997
p96,2063,2063-12-25,312456.65
p96,2063,2063-12-26,322688.69
p96,2065,2065-01-21,372102.33999999997
p96,2065,2065-01-22,311716.65
p96,2066,2066-01-28,330665.19
p96,2069,2069-12-23,315892.85
p96,2074,2074-01-16,313571.59
p96,2074,2074-01-19,316148.0
p96,2083,2083-01-24,297949.51
p96,2094,2094-01-07,311976.1
