rb,Year,Date,Load_sum
p32,2020,2020-07-06,41544.409106123654
p32,2020,2020-07-07,40980.24033545133
p32,2020,2020-07-10,42619.07179293458
p32,2020,2020-07-11,38132.37446921424
p32,2020,2020-07-29,39336.70839232275
p32,2020,2020-07-30,38760.44079453598
p32,2020,2020-08-03,38620.76715356348
p32,2020,2020-08-06,39255.77494882523
p32,2020,2020-08-07,41808.383356925435
p32,2021,2021-07-07,41844.709592598905
p32,2021,2021-07-11,39421.00812523839
p32,2021,2021-07-12,43711.458922683094
p32,2021,2021-07-30,41367.15242355055
p32,2023,2023-07-19,47143.55244058673
p32,2023,2023-07-20,45558.24188575917
p32,2023,2023-08-18,44506.67504994663
p32,2023,2023-08-25,42723.30878664085
p32,2023,2023-09-01,42937.61051723099
p32,2023,2023-09-02,38828.140808128934
p32,2024,2024-08-28,41027.569077433494
p32,2025,2025-07-07,43386.46677541637
p32,2025,2025-07-08,42948.377743379824
p32,2025,2025-08-08,41434.45026624616
p32,2026,2026-08-19,44372.50554244605
p32,2027,2027-07-16,43091.03099219008
p32,2027,2027-07-25,43299.745606386474
p32,2027,2027-07-27,46546.83645778748
p32,2027,2027-07-28,46596.46189320445
p32,2027,2027-07-29,46908.21259677927
p32,2027,2027-07-30,47661.347478137985
p32,2027,2027-07-31,43758.10795063373
p32,2027,2027-08-01,44386.08605983053
p32,2028,2028-06-21,45648.198241536345
p32,2028,2028-06-24,42706.608216249086
p32,2028,2028-06-25,38992.64774770872
p32,2028,2028-07-14,44710.24618426959
p32,2028,2028-07-15,42604.6520245374
p32,2028,2028-07-27,42920.17216361159
p32,2028,2028-07-28,43901.56811233897
p32,2028,2028-07-29,40364.44154099458
p32,2028,2028-07-30,39664.794432361006
p32,2028,2028-07-31,45726.03664021854
p32,2028,2028-08-01,45884.69973088175
p32,2028,2028-08-10,44910.083719892646
p32,2028,2028-08-11,46278.63853114632
p32,2028,2028-08-12,42933.97795385288
p32,2028,2028-08-14,46027.09048278893
p32,2028,2028-08-15,45507.94728177347
p32,2028,2028-08-16,47071.474291729624
p32,2029,2029-07-04,38989.748123563266
p32,2029,2029-07-05,45853.614635325626
p32,2029,2029-07-06,45076.10685388479
p32,2029,2029-07-07,40185.52494828803
p32,2029,2029-07-08,41809.971053502864
p32,2029,2029-07-09,46197.30399295608
p32,2029,2029-08-03,49631.02831933565
p32,2030,2030-07-01,47997.87226455264
p32,2030,2030-07-02,49785.02908082997
p32,2030,2030-08-30,43519.18083477702
p32,2030,2030-09-05,46884.56646124894
p32,2031,2031-07-16,49620.10318161815
p32,2031,2031-07-17,49711.48602312752
p32,2031,2031-08-24,42127.19967150812
p32,2031,2031-08-25,46876.560835627664
p32,2031,2031-08-26,47124.093521613
p32,2035,2035-07-11,54431.33165522895
p32,2035,2035-07-12,55229.188452751376
p32,2035,2035-08-29,52075.64137147624
p32,2037,2037-07-16,53244.982369832775
p32,2038,2038-07-18,47782.594135198895
p32,2038,2038-07-20,54559.80553564184
p32,2038,2038-09-04,45842.20946372765
p32,2038,2038-09-05,45995.97852630911
p32,2038,2038-09-10,47658.92120085655
p32,2039,2039-07-24,47748.95222269494
p32,2039,2039-07-28,56056.986183266155
p32,2039,2039-07-29,56837.10332037299
p32,2039,2039-08-27,47657.56218739795
p32,2040,2040-06-08,52637.90758303792
p32,2040,2040-07-14,48937.45031354244
p32,2040,2040-07-15,49186.27652421028
p32,2040,2040-07-31,52261.43250652778
p32,2040,2040-08-07,52451.31401515743
p32,2040,2040-08-10,52343.729852105695
p32,2040,2040-08-11,48832.891826124316
p32,2040,2040-08-12,48649.06915955698
p32,2040,2040-08-13,51246.448104034556
p32,2040,2040-08-14,52659.86685565808
p32,2040,2040-08-24,50655.04360714317
p32,2040,2040-08-30,50182.45039533858
p32,2041,2041-07-30,57273.37352481835
p32,2041,2041-07-31,57468.54129629109
p32,2041,2041-08-03,51764.54072919254
p32,2041,2041-08-04,52987.95362041641
p32,2041,2041-08-05,58859.66711877099
p32,2041,2041-08-06,58510.15466986969
p32,2041,2041-08-07,56515.27102149699
p32,2041,2041-08-08,55878.45759686076
p32,2041,2041-09-04,49402.55663524005
p32,2042,2042-06-28,48828.3652004354
p32,2042,2042-06-29,49787.82340903646
p32,2042,2042-06-30,55680.49801369573
p32,2042,2042-07-15,53148.38131888883
p32,2042,2042-07-16,54063.075530843824
p32,2042,2042-07-17,55281.33778749672
p32,2042,2042-07-18,55803.26791610152
p32,2042,2042-07-19,51048.47854338583
p32,2042,2042-07-20,52303.32543390997
p32,2042,2042-07-24,53714.28215654403
p32,2042,2042-07-30,53112.3374108602
p32,2042,2042-07-31,55264.008425990534
p32,2042,2042-08-01,51592.07096495048
p32,2042,2042-09-06,49345.22667644422
p32,2043,2043-07-16,54812.288455242226
p32,2043,2043-07-17,57024.33683832686
p32,2043,2043-07-24,52553.59567673638
p32,2043,2043-07-25,50754.73844170556
p32,2043,2043-07-26,51593.61901875824
p32,2043,2043-08-15,49756.62773361
p32,2043,2043-08-16,51082.41814952405
p32,2043,2043-08-17,55717.50318804066
p32,2043,2043-08-20,56933.72011937378
p32,2043,2043-08-22,47098.81626003644
p32,2043,2043-08-23,49577.00166090148
p32,2043,2043-08-24,56000.848176085536
p32,2044,2044-08-01,58109.91771022265
p32,2045,2045-07-09,54906.50050057778
p32,2045,2045-07-16,54764.5648883045
p32,2045,2045-07-17,56797.36380249438
p32,2045,2045-07-23,55111.51723624447
p32,2045,2045-07-24,60570.661880948304
p32,2045,2045-08-07,57532.41370119224
p32,2045,2045-08-08,58075.349611459875
p32,2045,2045-08-09,57564.92163543092
p32,2046,2046-07-14,52391.580400429986
p32,2046,2046-07-15,52172.47031239756
p32,2046,2046-07-16,58232.04405303664
p32,2046,2046-07-17,56769.4393494397
p32,2046,2046-07-18,55645.39269846901
p32,2046,2046-07-19,57814.682393514835
p32,2046,2046-07-23,57376.997568891464
p32,2046,2046-07-24,58206.1313064294
p32,2046,2046-07-27,60143.68993972904
p32,2046,2046-07-28,55369.02713862768
p32,2046,2046-07-29,56786.39404529509
p32,2046,2046-07-30,62623.91796175222
p32,2046,2046-07-31,60477.629846574244
p32,2046,2046-08-05,53988.17373953617
p32,2046,2046-08-09,60643.12693195292
p32,2046,2046-08-10,61183.9987645023
p32,2046,2046-08-11,54357.69397358256
p32,2046,2046-08-23,56182.76874758751
p32,2046,2046-08-24,56159.14075156365
p32,2047,2047-07-07,54881.55213199304
p32,2047,2047-07-08,60894.065714767006
p32,2047,2047-07-22,63180.08312184396
p32,2047,2047-07-23,64696.417980291626
p32,2047,2047-07-24,64379.356362561884
p32,2047,2047-08-10,53788.24722594008
p32,2047,2047-08-13,57392.20141525356
p32,2047,2047-08-14,57199.41169140506
