rb,Year,Date,Load_sum
p32,2021,2021-02-11,37623.71
p32,2022,2022-01-07,38438.86
p32,2022,2022-01-10,40789.43
p32,2022,2022-01-11,39101.16
p32,2022,2022-01-16,39182.38
p32,2022,2022-01-17,38341.91
p32,2022,2022-02-03,38542.47
p32,2022,2022-02-05,36673.26
p32,2022,2022-02-09,38537.149999999994
p32,2023,2023-12-18,40664.35
p32,2023,2023-12-19,41018.26
p32,2023,2023-12-20,40761.32
p32,2023,2023-12-21,40306.5
p32,2023,2023-12-22,41564.3
p32,2023,2023-12-23,40032.14
p32,2023,2023-12-24,40308.53
p32,2023,2023-12-25,36208.54
p32,2023,2023-12-29,39689.02
p32,2024,2024-01-18,39030.59
p32,2024,2024-01-20,38047.52
p32,2025,2025-01-19,37367.15
p32,2025,2025-01-20,39586.18
p32,2025,2025-01-31,39624.62
p32,2025,2025-02-01,36577.99
p32,2025,2025-12-13,38009.55
p32,2028,2028-01-05,39174.990000000005
p32,2028,2028-02-11,38582.29
p32,2029,2029-02-03,37658.04
p32,2029,2029-12-21,40093.54
p32,2029,2029-12-22,38352.86
p32,2030,2030-12-22,38517.939999999995
p32,2030,2030-12-23,40220.939999999995
p32,2030,2030-12-30,40230.83
p32,2034,2034-01-18,39265.92
p32,2034,2034-02-07,38718.13
p32,2034,2034-02-09,38830.82
p32,2036,2036-01-19,38331.579999999994
p32,2036,2036-01-29,38700.1
p32,2036,2036-01-30,40144.729999999996
p32,2036,2036-01-31,39919.469999999994
p32,2036,2036-02-01,38867.49
p32,2036,2036-02-02,39361.03999999999
p32,2036,2036-02-03,38094.340000000004
p32,2036,2036-02-04,37896.38
p32,2036,2036-12-26,39937.7
p32,2037,2037-01-11,38051.22
p32,2037,2037-01-12,39608.92
p32,2049,2049-01-15,39384.07
p32,2051,2051-02-08,37804.92
p32,2054,2054-01-06,38953.89
p32,2056,2056-12-18,39651.16
p32,2059,2059-01-30,39498.7
p32,2059,2059-03-03,36912.89
p32,2062,2062-01-10,39489.78
p32,2062,2062-01-16,39000.39
p32,2062,2062-02-05,35752.61
p32,2063,2063-12-18,40027.84
p32,2063,2063-12-21,39801.7
p32,2063,2063-12-22,39044.86
p32,2063,2063-12-23,39259.100000000006
p32,2063,2063-12-24,41473.3
p32,2063,2063-12-25,35628.08
p32,2069,2069-12-22,37506.58
p32,2070,2070-12-22,39921.380000000005
p32,2074,2074-02-09,38076.780000000006
p32,2076,2076-01-19,37558.87
p32,2076,2076-01-30,39530.93
p32,2076,2076-01-31,39335.299999999996
p32,2076,2076-02-01,36218.71
p32,2076,2076-02-02,38639.0
p32,2076,2076-02-03,39391.3
p32,2099,2099-03-03,36429.020000000004
