rb,Year,Date,Load_sum
p62,2020,2020-06-24,1284900.2
p62,2020,2020-06-25,1302520.1900000002
p62,2020,2020-06-26,1313994.9600000002
p62,2020,2020-06-27,1257297.1199999999
p62,2020,2020-06-28,1254895.7000000002
p62,2020,2020-06-29,1298583.9400000002
p62,2020,2020-06-30,1286573.39
p62,2020,2020-07-01,1336640.6100000003
p62,2020,2020-07-02,1363889.4100000001
p62,2020,2020-07-03,1235493.7299999997
p62,2020,2020-07-16,1343966.72
p62,2020,2020-07-17,1347023.48
p62,2024,2024-08-19,1318095.4300000002
p62,2024,2024-08-20,1323624.6
p62,2025,2025-09-01,1211189.24
p62,2026,2026-07-25,1243177.9
p62,2026,2026-07-26,1249455.4599999997
p62,2026,2026-07-27,1327365.9100000001
p62,2026,2026-07-28,1340775.4100000001
p62,2026,2026-07-29,1351959.3499999999
p62,2026,2026-07-30,1352650.6600000001
p62,2026,2026-07-31,1348960.47
p62,2026,2026-08-18,1343146.16
p62,2026,2026-08-19,1319358.25
p62,2026,2026-08-20,1330097.5700000003
p62,2028,2028-08-08,1338805.8499999999
p62,2028,2028-08-09,1344393.5899999999
p62,2028,2028-08-24,1321747.0
p62,2030,2030-06-26,1279545.07
p62,2030,2030-08-27,1329448.9000000004
p62,2030,2030-08-31,1257569.52
p62,2034,2034-06-25,1209404.81
p62,2034,2034-06-26,1300326.95
p62,2034,2034-06-27,1309282.91
p62,2034,2034-06-28,1308421.5599999998
p62,2034,2034-06-29,1294652.31
p62,2034,2034-07-01,1248544.65
p62,2034,2034-07-23,1253655.8
p62,2034,2034-07-24,1337004.2199999997
p62,2035,2035-07-23,1324551.5600000003
p62,2035,2035-07-26,1336920.1500000001
p62,2035,2035-07-27,1352967.8800000001
p62,2035,2035-07-28,1286813.94
p62,2035,2035-07-29,1278435.9499999997
p62,2035,2035-08-21,1321501.83
p62,2036,2036-06-19,1208609.0600000003
p62,2036,2036-06-20,1285276.4900000002
p62,2036,2036-07-04,1218228.96
p62,2036,2036-07-05,1267409.14
p62,2036,2036-07-06,1276045.27
p62,2036,2036-07-07,1338585.5799999998
p62,2036,2036-08-02,1262172.0099999998
p62,2038,2038-06-01,1274716.07
p62,2038,2038-06-14,1286970.11
p62,2038,2038-06-15,1268023.78
p62,2038,2038-06-20,1222103.2
p62,2038,2038-07-06,1331758.8099999998
p62,2038,2038-07-07,1331059.09
p62,2038,2038-07-08,1338391.0000000002
p62,2038,2038-07-10,1266629.9900000002
p62,2038,2038-07-11,1284219.3699999999
p62,2038,2038-07-12,1361747.2000000002
p62,2038,2038-07-13,1337873.1800000002
p62,2038,2038-07-14,1341125.0400000003
p62,2038,2038-07-16,1324896.7999999998
p62,2038,2038-07-17,1264327.49
p62,2038,2038-07-18,1259364.73
p62,2038,2038-07-30,1333437.6400000001
p62,2038,2038-07-31,1234797.1400000001
p62,2038,2038-08-01,1246974.4499999997
p62,2038,2038-08-02,1323259.49
p62,2038,2038-08-03,1337920.5300000003
p62,2038,2038-08-10,1345200.4100000001
p62,2038,2038-09-04,1175620.1700000002
p62,2039,2039-08-08,1349500.7200000002
p62,2039,2039-08-09,1348535.5
p62,2039,2039-08-10,1356656.49
p62,2039,2039-08-11,1347103.8599999999
p62,2039,2039-08-13,1270251.22
p62,2039,2039-08-14,1266501.01
p62,2039,2039-08-15,1328080.8800000004
p62,2039,2039-08-19,1336411.5100000002
p62,2039,2039-08-20,1240733.8699999996
p62,2040,2040-07-13,1322907.2799999996
p62,2040,2040-07-14,1261818.2999999998
p62,2040,2040-07-15,1278345.6199999999
p62,2040,2040-07-16,1347938.45
p62,2040,2040-07-19,1331046.45
p62,2040,2040-07-20,1337595.2200000002
p62,2040,2040-08-11,1236653.67
p62,2040,2040-08-12,1244202.24
p62,2040,2040-08-30,1303862.02
p62,2040,2040-08-31,1344209.76
p62,2040,2040-09-01,1246043.0500000003
p62,2040,2040-09-02,1248951.1099999999
p62,2040,2040-09-03,1231969.78
p62,2040,2040-09-04,1339419.2300000002
p62,2040,2040-09-05,1334028.5799999998
p62,2040,2040-09-06,1238617.74
p62,2041,2041-07-22,1335851.4500000002
p62,2041,2041-08-05,1323589.2699999998
p62,2042,2042-08-26,1331194.21
p62,2043,2043-08-06,1342459.03
p62,2043,2043-08-07,1366726.6600000001
p62,2043,2043-08-08,1300583.9700000002
p62,2045,2045-07-03,1340261.6
p62,2045,2045-07-07,1331612.49
p62,2045,2045-09-25,1262739.71
p62,2046,2046-07-17,1343339.6700000002
p62,2046,2046-07-18,1324771.6700000002
p62,2047,2047-08-13,1338504.8499999999
p62,2048,2048-08-03,1361541.3199999998
p62,2048,2048-08-04,1340753.51
p62,2049,2049-06-25,1294053.22
p62,2049,2049-06-26,1219542.04
p62,2049,2049-06-27,1224387.8
p62,2049,2049-07-08,1318802.9200000002
p62,2049,2049-07-09,1355551.96
p62,2049,2049-07-10,1281042.4500000002
p62,2049,2049-07-12,1333029.34
p62,2049,2049-07-13,1341102.89
p62,2049,2049-07-14,1340151.5
p62,2049,2049-08-05,1328833.9000000001
p62,2049,2049-08-06,1335374.64
p62,2050,2050-08-01,1319147.7700000003
p62,2050,2050-08-02,1314833.8099999996
p62,2050,2050-08-03,1349311.4300000002
p62,2050,2050-08-05,1333469.7399999998
p62,2050,2050-08-06,1266665.0499999998
p62,2050,2050-08-11,1347629.5700000003
p62,2050,2050-08-12,1357742.32
p62,2050,2050-08-13,1284814.54
p62,2050,2050-08-15,1363646.96
p62,2050,2050-08-22,1356427.9
p62,2050,2050-08-23,1370208.3099999998
p62,2050,2050-08-24,1351856.4
p62,2051,2051-06-17,1212058.51
p62,2051,2051-06-18,1219604.6800000002
p62,2051,2051-06-19,1215171.94
p62,2051,2051-06-27,1289676.1
p62,2051,2051-07-26,1307489.4699999997
p62,2051,2051-07-27,1340165.42
p62,2051,2051-07-31,1324735.9999999998
p62,2051,2051-08-01,1351211.23
p62,2051,2051-08-02,1374795.45
p62,2051,2051-08-03,1375629.7
p62,2051,2051-08-04,1383117.2200000002
p62,2051,2051-08-05,1297943.29
p62,2051,2051-08-06,1282797.8200000003
p62,2051,2051-08-07,1361493.62
p62,2051,2051-08-08,1355153.9100000001
p62,2051,2051-08-09,1354982.06
p62,2051,2051-08-10,1358996.84
p62,2051,2051-08-11,1347685.5599999998
p62,2051,2051-08-12,1272036.8599999996
p62,2051,2051-08-15,1324397.21
p62,2051,2051-08-16,1341253.3299999998
p62,2051,2051-08-17,1343870.81
p62,2051,2051-08-18,1355426.0199999998
p62,2051,2051-08-19,1273344.9699999997
p62,2051,2051-08-20,1273884.6800000002
p62,2051,2051-08-21,1335515.8199999998
p62,2051,2051-08-22,1340144.0699999998
p62,2051,2051-08-24,1340621.67
p62,2051,2051-08-25,1336325.56
p62,2051,2051-08-26,1255036.79
p62,2051,2051-08-27,1266614.81
p62,2051,2051-08-28,1346734.4400000002
p62,2051,2051-08-29,1329465.49
p62,2051,2051-08-30,1316299.2500000002
p62,2051,2051-08-31,1322216.27
p62,2051,2051-09-13,1223643.6800000002
p62,2052,2052-06-25,1291314.1700000002
p62,2052,2052-06-26,1315383.26
p62,2052,2052-06-27,1305850.4399999997
p62,2052,2052-07-21,1262765.04
p62,2052,2052-07-29,1328605.25
p62,2052,2052-07-30,1337195.66
p62,2052,2052-07-31,1345511.01
p62,2052,2052-08-01,1359390.5400000003
p62,2052,2052-08-02,1360533.08
p62,2052,2052-08-03,1290518.9200000002
p62,2052,2052-08-07,1340742.74
p62,2052,2052-08-09,1340787.2
p62,2052,2052-08-10,1265974.7199999997
p62,2052,2052-08-12,1328084.0900000003
p62,2052,2052-08-13,1344320.4499999997
p62,2052,2052-08-14,1325178.71
p62,2052,2052-09-07,1218298.43
p62,2053,2053-06-27,1278315.8100000003
p62,2053,2053-06-28,1223900.45
p62,2053,2053-06-29,1228505.97
p62,2053,2053-06-30,1251626.7
p62,2053,2053-07-31,1322070.3
p62,2053,2053-08-02,1265701.3900000001
p62,2053,2053-08-06,1337665.9
p62,2053,2053-08-07,1333738.0499999998
p62,2055,2055-08-09,1322313.1400000004
p62,2055,2055-08-10,1330694.1700000002
p62,2055,2055-08-11,1332688.8900000001
p62,2057,2057-07-28,1258050.03
p62,2058,2058-07-19,1346732.8599999999
p62,2058,2058-07-20,1304741.2600000002
p62,2058,2058-07-21,1304435.38
p62,2058,2058-07-22,1356815.52
p62,2058,2058-07-23,1358645.3199999998
p62,2058,2058-07-29,1307785.32
p62,2059,2059-08-12,1346237.8699999999
p62,2059,2059-08-13,1346600.01
p62,2059,2059-08-26,1337764.7499999998
p62,2060,2060-06-19,1210564.13
p62,2060,2060-06-23,1275483.32
p62,2060,2060-06-24,1306921.4400000002
p62,2060,2060-06-25,1331446.47
p62,2060,2060-06-26,1289419.3
p62,2060,2060-06-27,1299605.3899999997
p62,2060,2060-06-28,1357084.3199999998
p62,2060,2060-06-29,1331150.4699999997
p62,2060,2060-06-30,1316105.19
p62,2060,2060-07-01,1364165.81
p62,2060,2060-07-02,1391954.2599999998
p62,2060,2060-07-03,1317635.1600000001
p62,2060,2060-07-04,1232369.3499999999
p62,2060,2060-07-05,1233390.9399999997
p62,2060,2060-07-07,1331843.5099999998
p62,2060,2060-07-08,1350185.62
p62,2060,2060-07-09,1358171.96
p62,2060,2060-07-10,1288133.55
p62,2060,2060-07-11,1285909.43
p62,2060,2060-07-12,1354496.8800000004
p62,2060,2060-07-13,1349295.63
p62,2060,2060-07-14,1344418.94
p62,2060,2060-07-15,1373151.09
p62,2060,2060-07-16,1379320.1
p62,2060,2060-07-17,1316169.16
p62,2060,2060-07-18,1298198.07
p62,2060,2060-07-19,1335285.01
p62,2060,2060-07-20,1320822.9899999998
p62,2060,2060-07-24,1253936.4000000001
p62,2060,2060-07-26,1305072.3499999996
p62,2060,2060-07-29,1309782.8599999996
p62,2060,2060-07-30,1354865.5499999998
p62,2060,2060-07-31,1280242.0999999999
p62,2060,2060-08-01,1279289.2499999998
p62,2060,2060-08-02,1357707.01
p62,2060,2060-08-08,1249414.13
p62,2060,2060-08-20,1336224.8699999999
p62,2060,2060-08-21,1273192.9799999997
p62,2060,2060-08-22,1272663.96
p62,2060,2060-08-23,1299448.3800000001
p62,2060,2060-08-24,1308122.36
p62,2061,2061-07-21,1327239.4000000001
p62,2061,2061-07-23,1275372.21
p62,2061,2061-07-24,1280722.4300000002
p62,2062,2062-07-19,1329152.2899999998
p62,2062,2062-07-20,1337085.19
p62,2062,2062-07-25,1333350.3599999999
p62,2062,2062-07-26,1337130.5200000003
p62,2062,2062-07-27,1335687.72
p62,2062,2062-08-04,1349676.9599999997
p62,2062,2062-08-05,1279049.9599999997
p62,2062,2062-08-06,1274748.3900000001
p62,2062,2062-08-13,1274722.8299999998
p62,2062,2062-08-14,1353932.09
p62,2062,2062-08-15,1364457.33
p62,2062,2062-08-16,1359811.4700000002
p62,2062,2062-08-17,1348966.0699999998
p62,2062,2062-08-23,1344545.8399999999
p62,2062,2062-08-24,1354249.7599999998
p62,2062,2062-08-25,1333941.85
p62,2062,2062-08-26,1269642.2999999998
p62,2062,2062-08-27,1281416.3800000001
p62,2062,2062-09-02,1239102.95
p62,2063,2063-07-26,1326597.61
p62,2063,2063-08-15,1360402.07
p62,2063,2063-08-30,1337842.21
p62,2063,2063-08-31,1362512.17
p62,2064,2064-06-23,1287588.51
p62,2064,2064-06-25,1267744.4399999997
p62,2064,2064-06-26,1301461.72
p62,2064,2064-06-29,1188968.19
p62,2064,2064-07-06,1240550.72
p62,2064,2064-07-07,1345518.8800000001
p62,2064,2064-08-17,1267873.0600000003
p62,2064,2064-08-18,1351074.59
p62,2064,2064-08-19,1377662.98
p62,2064,2064-08-20,1370307.61
p62,2064,2064-08-21,1345643.48
p62,2064,2064-08-22,1350224.52
p62,2064,2064-08-24,1249979.11
p62,2064,2064-08-29,1332602.1400000001
p62,2065,2065-07-10,1306472.31
p62,2065,2065-07-29,1325404.6899999997
p62,2065,2065-08-01,1283724.62
p62,2065,2065-08-02,1286614.87
p62,2065,2065-08-03,1352365.68
p62,2065,2065-08-04,1355603.24
p62,2065,2065-08-05,1360564.06
p62,2065,2065-08-07,1356164.12
p62,2065,2065-08-08,1290585.4600000002
p62,2065,2065-08-09,1298174.21
p62,2065,2065-08-10,1350047.96
p62,2065,2065-08-11,1352669.09
p62,2065,2065-08-17,1350656.4599999997
p62,2065,2065-08-18,1353534.7
p62,2065,2065-08-19,1379916.4499999997
p62,2065,2065-08-20,1354325.83
p62,2065,2065-08-21,1340049.46
p62,2065,2065-08-22,1280963.8499999999
p62,2065,2065-08-23,1285612.7799999998
p62,2065,2065-08-31,1357503.3299999998
p62,2065,2065-09-01,1348476.03
p62,2065,2065-09-02,1319660.5799999998
p62,2065,2065-09-03,1310688.62
p62,2066,2066-07-20,1341061.06
p62,2066,2066-07-21,1335028.11
p62,2066,2066-07-24,1262814.47
p62,2066,2066-07-25,1286579.05
p62,2066,2066-07-26,1347643.7300000002
p62,2066,2066-07-27,1352301.9000000001
p62,2066,2066-07-28,1366250.02
p62,2066,2066-07-29,1378982.25
p62,2066,2066-07-30,1389748.19
p62,2066,2066-07-31,1300366.15
p62,2066,2066-08-01,1296434.4
p62,2066,2066-08-17,1360403.8300000003
p62,2066,2066-08-18,1379673.66
p62,2066,2066-08-19,1368541.8900000001
p62,2066,2066-08-20,1370338.49
p62,2067,2067-08-01,1356582.6800000002
p62,2067,2067-08-02,1362921.1600000001
p62,2067,2067-08-03,1367575.27
p62,2067,2067-08-06,1272305.6400000001
p62,2067,2067-08-07,1285228.2500000002
p62,2067,2067-08-08,1346750.03
p62,2067,2067-08-11,1325430.0000000002
p62,2067,2067-08-12,1356089.67
p62,2067,2067-08-13,1276848.4799999997
p62,2067,2067-08-14,1276673.1
p62,2067,2067-08-15,1344719.9
p62,2067,2067-08-16,1343628.08
p62,2067,2067-08-17,1349536.53
p62,2067,2067-08-18,1356689.53
p62,2067,2067-08-19,1357501.9200000002
p62,2067,2067-08-20,1290371.4900000002
p62,2067,2067-08-21,1285291.25
p62,2067,2067-08-22,1334700.4100000001
p62,2068,2068-06-09,1221014.3299999998
p62,2068,2068-07-17,1333818.19
p62,2068,2068-07-18,1347323.98
p62,2068,2068-08-06,1337872.81
p62,2068,2068-08-07,1368730.42
p62,2068,2068-08-08,1384912.68
p62,2068,2068-08-09,1386485.0399999998
p62,2068,2068-08-10,1350240.0
p62,2068,2068-08-16,1310797.7899999998
p62,2068,2068-08-19,1262017.69
p62,2068,2068-08-21,1349061.7600000002
p62,2068,2068-08-22,1348916.8099999998
p62,2068,2068-08-23,1318067.0399999998
p62,2068,2068-08-24,1356961.8
p62,2068,2068-08-25,1267829.36
p62,2068,2068-08-26,1260543.22
p62,2068,2068-08-27,1303190.21
p62,2069,2069-07-17,1331071.97
p62,2069,2069-07-18,1350109.5400000003
p62,2069,2069-09-01,1233854.4000000001
p62,2069,2069-09-02,1191038.41
p62,2069,2069-09-03,1279083.2
p62,2069,2069-09-04,1290019.2400000002
p62,2070,2070-06-18,1282880.82
p62,2070,2070-06-19,1219837.3299999998
p62,2070,2070-06-20,1296476.88
p62,2070,2070-06-23,1278018.8400000003
p62,2070,2070-06-24,1280421.8199999998
p62,2070,2070-06-25,1298998.0899999999
p62,2070,2070-06-26,1299442.3100000003
p62,2070,2070-06-27,1296316.54
p62,2070,2070-07-02,1308913.9400000002
p62,2070,2070-07-03,1350553.38
p62,2070,2070-07-04,1238430.4300000002
p62,2070,2070-08-20,1359372.0
p62,2070,2070-08-21,1354725.87
p62,2070,2070-08-22,1332379.8499999999
p62,2070,2070-08-25,1357463.78
p62,2070,2070-08-26,1373097.72
p62,2070,2070-08-27,1376980.5400000003
p62,2070,2070-08-28,1344744.7
