rb,Year,Date,Load_sum
p48,2020,2020-06-24,1274784.1199999999
p48,2020,2020-06-25,1295805.1600000001
p48,2020,2020-06-26,1306401.3199999998
p48,2020,2020-06-27,1249900.03
p48,2020,2020-06-28,1246095.5299999998
p48,2020,2020-06-29,1292555.65
p48,2020,2020-07-01,1331822.5299999998
p48,2020,2020-07-02,1354460.56
p48,2020,2020-07-03,1235282.84
p48,2020,2020-07-16,1341825.61
p48,2020,2020-07-17,1346164.2799999998
p48,2020,2020-07-18,1258728.0299999998
p48,2026,2026-07-26,1246503.7199999997
p48,2026,2026-07-27,1321386.1
p48,2026,2026-07-28,1337658.99
p48,2026,2026-07-29,1348538.8599999999
p48,2026,2026-07-30,1354898.02
p48,2026,2026-07-31,1347691.41
p48,2026,2026-08-19,1330573.79
p48,2026,2026-08-20,1329627.28
p48,2030,2030-06-24,1243903.5399999998
p48,2030,2030-06-25,1257650.73
p48,2030,2030-06-26,1268685.7000000002
p48,2034,2034-06-25,1190928.18
p48,2034,2034-06-26,1284786.5999999999
p48,2034,2034-06-27,1293393.66
p48,2034,2034-06-28,1293515.61
p48,2034,2034-06-29,1279993.1999999997
p48,2034,2034-06-30,1253750.5999999999
p48,2034,2034-07-01,1236112.97
p48,2034,2034-07-07,1308966.9
p48,2034,2034-07-24,1328751.9099999997
p48,2034,2034-08-18,1326011.91
p48,2035,2035-07-23,1319800.6500000004
p48,2035,2035-07-24,1311130.86
p48,2035,2035-07-25,1314418.3500000003
p48,2035,2035-07-26,1333441.5699999998
p48,2035,2035-07-27,1347930.94
p48,2035,2035-07-28,1273520.7
p48,2035,2035-07-29,1272068.59
p48,2036,2036-06-19,1192334.43
p48,2036,2036-06-20,1278980.4199999997
p48,2036,2036-07-05,1249273.86
p48,2036,2036-07-06,1266188.62
p48,2036,2036-07-07,1339849.8699999999
p48,2036,2036-07-21,1328997.7400000002
p48,2038,2038-06-01,1271499.44
p48,2038,2038-06-02,1269317.6199999996
p48,2038,2038-06-19,1179114.34
p48,2038,2038-06-20,1212165.9999999998
p48,2038,2038-06-21,1271245.6700000002
p48,2038,2038-06-27,1199240.3800000001
p48,2038,2038-07-06,1326518.99
p48,2038,2038-07-07,1321811.95
p48,2038,2038-07-11,1276954.59
p48,2038,2038-07-12,1355437.7799999998
p48,2038,2038-07-13,1339057.2900000003
p48,2038,2038-07-14,1331044.4
p48,2038,2038-07-15,1321277.2299999997
p48,2038,2038-07-30,1326762.72
p48,2038,2038-08-01,1246356.97
p48,2038,2038-08-03,1334642.68
p48,2039,2039-08-12,1342295.6400000001
p48,2039,2039-08-13,1265374.59
p48,2039,2039-08-14,1264202.28
p48,2039,2039-08-15,1325557.0299999998
p48,2040,2040-07-14,1255247.1
p48,2040,2040-07-15,1272498.04
p48,2040,2040-07-16,1345004.5200000003
p48,2040,2040-07-17,1328184.4900000002
p48,2040,2040-07-19,1327772.5
p48,2040,2040-07-20,1328010.5499999996
p48,2040,2040-08-12,1253001.97
p48,2040,2040-09-01,1230346.3399999999
p48,2040,2040-09-02,1232288.63
p48,2040,2040-09-03,1225827.23
p48,2040,2040-09-04,1340620.0599999998
p48,2040,2040-09-05,1331774.5299999998
p48,2041,2041-07-12,1320821.0399999998
p48,2041,2041-07-22,1330602.02
p48,2041,2041-07-23,1328734.4200000002
p48,2042,2042-08-26,1323893.3699999999
p48,2043,2043-08-06,1340135.02
p48,2043,2043-08-07,1362647.6700000002
p48,2043,2043-08-08,1292443.6
p48,2043,2043-08-09,1256747.9200000004
p48,2045,2045-07-02,1248260.63
p48,2045,2045-07-03,1333717.4000000001
p48,2045,2045-07-07,1331222.2600000002
p48,2046,2046-07-12,1325417.82
p48,2046,2046-07-13,1326332.1900000002
p48,2046,2046-07-17,1331914.3700000003
p48,2046,2046-07-18,1325871.36
p48,2046,2046-07-19,1321792.0899999999
p48,2048,2048-06-16,1265551.5
p48,2049,2049-06-25,1284931.6599999997
p48,2049,2049-06-26,1215240.02
p48,2049,2049-06-27,1220998.46
p48,2049,2049-07-08,1317637.41
p48,2049,2049-07-09,1354035.8900000001
p48,2049,2049-07-10,1281370.3800000001
p48,2049,2049-07-13,1341620.9700000002
p48,2049,2049-07-14,1350223.62
p48,2049,2049-07-15,1332431.8900000001
p48,2049,2049-07-25,1242178.1500000001
p48,2049,2049-08-05,1333479.01
p48,2049,2049-08-06,1338413.4399999997
p48,2049,2049-08-16,1333042.84
p48,2050,2050-08-01,1314533.44
p48,2050,2050-08-02,1325084.5899999999
p48,2050,2050-08-11,1331779.5
p48,2050,2050-08-12,1351837.17
p48,2050,2050-08-13,1287738.38
p48,2050,2050-08-14,1296620.1400000001
p48,2050,2050-08-22,1351409.3800000001
p48,2050,2050-08-23,1372474.59
p48,2051,2051-05-28,1093952.44
p48,2051,2051-06-13,1262518.77
p48,2051,2051-06-14,1269170.36
p48,2051,2051-06-15,1268068.53
p48,2051,2051-06-16,1274012.3000000003
p48,2051,2051-06-17,1211317.85
p48,2051,2051-06-18,1219614.45
p48,2051,2051-06-19,1216034.1400000001
p48,2051,2051-06-25,1198789.09
p48,2051,2051-06-26,1279040.28
p48,2051,2051-06-27,1289261.13
p48,2051,2051-06-28,1270993.25
p48,2051,2051-06-29,1262014.0599999998
p48,2051,2051-07-09,1269522.81
p48,2051,2051-07-27,1331451.8499999996
p48,2051,2051-08-01,1349777.4000000001
p48,2051,2051-08-02,1370213.12
p48,2051,2051-08-03,1384004.87
p48,2051,2051-08-04,1386215.01
p48,2051,2051-08-05,1302805.08
p48,2051,2051-08-06,1291945.31
p48,2051,2051-08-07,1362363.1500000001
p48,2051,2051-08-08,1357651.2999999998
p48,2051,2051-08-09,1360960.0200000003
p48,2051,2051-08-10,1364802.13
p48,2051,2051-08-11,1349203.61
p48,2051,2051-08-15,1328026.3900000001
p48,2051,2051-08-16,1346265.5299999998
p48,2051,2051-08-18,1358707.3399999999
p48,2051,2051-08-19,1287815.8400000003
p48,2051,2051-08-20,1288230.64
p48,2051,2051-08-22,1349708.4399999997
p48,2051,2051-08-23,1349461.6900000004
p48,2051,2051-08-26,1257161.3699999999
p48,2051,2051-08-27,1271919.9700000002
p48,2051,2051-08-28,1350625.03
p48,2051,2051-08-29,1329295.3199999998
p48,2051,2051-08-30,1314952.8699999999
p48,2051,2051-08-31,1325076.54
p48,2051,2051-09-13,1221153.6199999999
p48,2052,2052-06-25,1296750.6300000001
p48,2052,2052-06-26,1317296.9599999997
p48,2052,2052-06-27,1305411.88
p48,2052,2052-06-28,1276940.0999999999
p48,2052,2052-07-21,1250765.56
p48,2052,2052-07-30,1333941.6
p48,2052,2052-07-31,1343902.3299999998
p48,2052,2052-08-01,1364918.58
p48,2052,2052-08-02,1366672.9799999997
p48,2052,2052-08-03,1290502.1300000001
p48,2052,2052-08-09,1341203.2900000003
p48,2052,2052-08-10,1260019.3199999998
p48,2052,2052-08-11,1236150.68
p48,2052,2052-08-12,1327870.5899999999
p48,2052,2052-09-07,1222973.46
p48,2053,2053-06-26,1275992.1600000004
p48,2053,2053-06-27,1281523.0899999999
p48,2053,2053-06-28,1220558.09
p48,2053,2053-06-29,1229423.6600000001
p48,2053,2053-06-30,1254728.86
p48,2053,2053-07-31,1315661.66
p48,2053,2053-08-02,1267174.31
p48,2053,2053-08-06,1344403.84
p48,2053,2053-08-07,1338038.9000000001
p48,2055,2055-08-05,1336330.85
p48,2055,2055-08-06,1345307.67
p48,2055,2055-08-07,1274190.56
p48,2055,2055-08-08,1267229.6
p48,2055,2055-08-09,1333980.35
p48,2055,2055-08-10,1339961.31
p48,2055,2055-08-11,1347011.6000000003
p48,2056,2056-07-05,1320810.17
p48,2056,2056-07-06,1318685.1
p48,2056,2056-07-07,1323401.6700000002
p48,2056,2056-07-12,1322823.87
p48,2056,2056-07-13,1329515.2799999998
p48,2056,2056-07-14,1325840.56
p48,2057,2057-06-17,1191028.59
p48,2057,2057-06-23,1195271.9399999997
p48,2057,2057-07-29,1260154.81
p48,2058,2058-06-01,1194555.9900000002
p48,2058,2058-06-02,1199684.1600000001
p48,2058,2058-06-06,1249854.7899999998
p48,2058,2058-07-19,1344073.21
p48,2058,2058-07-20,1302917.93
p48,2058,2058-07-21,1306034.31
p48,2058,2058-07-22,1363332.0799999998
p48,2058,2058-07-23,1366710.33
p48,2058,2058-07-24,1338011.2
p48,2058,2058-07-29,1316395.84
p48,2059,2059-07-10,1310372.0599999998
p48,2059,2059-08-08,1350409.9899999998
p48,2059,2059-08-11,1347873.81
p48,2059,2059-08-12,1351244.5400000003
p48,2059,2059-08-13,1353353.92
p48,2059,2059-08-16,1265410.41
p48,2059,2059-08-17,1266789.33
p48,2059,2059-08-18,1344302.1700000004
p48,2059,2059-08-25,1283952.37
p48,2059,2059-08-26,1334281.3600000003
p48,2059,2059-08-27,1317686.84
p48,2060,2060-06-07,1252964.3900000001
p48,2060,2060-06-18,1191504.5399999998
p48,2060,2060-06-19,1210198.5
p48,2060,2060-06-20,1223485.3699999999
p48,2060,2060-06-23,1271331.7
p48,2060,2060-06-24,1308050.0499999998
p48,2060,2060-06-25,1329821.9300000002
p48,2060,2060-06-26,1288549.79
p48,2060,2060-06-27,1297992.3899999997
p48,2060,2060-06-28,1358637.7800000003
p48,2060,2060-06-29,1335817.58
p48,2060,2060-06-30,1321721.0399999998
p48,2060,2060-07-01,1367693.6500000004
p48,2060,2060-07-02,1393937.15
p48,2060,2060-07-03,1315679.1
p48,2060,2060-07-04,1230666.58
p48,2060,2060-07-05,1232843.61
p48,2060,2060-07-06,1341519.53
p48,2060,2060-07-07,1337077.7500000002
p48,2060,2060-07-08,1349477.1899999997
p48,2060,2060-07-09,1361025.67
p48,2060,2060-07-10,1290451.99
p48,2060,2060-07-11,1289318.19
p48,2060,2060-07-12,1357904.5199999998
p48,2060,2060-07-13,1358395.05
p48,2060,2060-07-14,1357256.6
p48,2060,2060-07-15,1377353.43
p48,2060,2060-07-16,1385852.9800000002
p48,2060,2060-07-17,1321238.0599999998
p48,2060,2060-07-18,1303824.68
p48,2060,2060-07-19,1333789.47
p48,2060,2060-07-24,1248372.6100000003
p48,2060,2060-07-25,1254508.45
p48,2060,2060-07-26,1303505.5
p48,2060,2060-07-27,1284169.1300000001
p48,2060,2060-07-28,1308213.29
p48,2060,2060-07-29,1317918.0500000003
p48,2060,2060-07-30,1350704.8199999998
p48,2060,2060-07-31,1277560.36
p48,2060,2060-08-01,1282386.2799999998
p48,2060,2060-08-02,1360351.29
p48,2060,2060-08-05,1326168.5300000003
p48,2060,2060-08-06,1337941.68
