rb,Year,Date,Load_sum
p48,2022,2022-01-11,1356757.2200000002
p48,2022,2022-01-14,1145581.7000000002
p48,2023,2023-12-24,1174211.87
p48,2023,2023-12-25,1262336.8999999997
p48,2023,2023-12-26,1247768.7599999998
p48,2023,2023-12-29,1222877.2499999998
p48,2023,2023-12-30,1120822.5499999998
p48,2025,2025-01-20,1162033.41
p48,2025,2025-01-21,1235198.9299999997
p48,2025,2025-02-01,1109890.15
p48,2025,2025-02-02,1085177.6600000001
p48,2029,2029-12-16,1108933.4799999997
p48,2029,2029-12-22,1257948.7000000002
p48,2029,2029-12-23,1307385.56
p48,2029,2029-12-24,1212917.19
p48,2036,2036-02-03,1159316.04
p48,2036,2036-02-04,1206496.37
p48,2037,2037-01-12,1245222.0999999999
p48,2037,2037-01-13,1286704.9000000001
p48,2050,2050-01-08,1160660.5599999998
p48,2050,2050-01-09,1112910.33
p48,2051,2051-02-02,1290240.02
p48,2051,2051-02-03,1267217.37
p48,2051,2051-02-04,1083888.6199999999
p48,2051,2051-02-10,1166247.7899999998
p48,2054,2054-01-06,1201367.74
p48,2054,2054-03-03,1161011.48
p48,2057,2057-01-07,1088005.9000000001
p48,2058,2058-01-01,1136775.87
p48,2058,2058-01-17,1234242.45
p48,2062,2062-01-11,1280253.39
p48,2063,2063-12-24,1206045.38
p48,2063,2063-12-25,1198892.08
p48,2063,2063-12-29,1108120.96
p48,2065,2065-02-02,1136904.65
p48,2069,2069-12-22,1199738.05
p48,2069,2069-12-23,1312295.7399999998
p48,2076,2076-02-03,1202698.19
p48,2076,2076-02-04,1144624.7599999998
p48,2091,2091-02-02,1226270.49
p48,2091,2091-02-03,1105914.7
p48,2098,2098-01-17,1201646.2600000002
