rb,Year,Date,Load_sum
p62,2022,2022-01-11,1328125.8
p62,2022,2022-01-14,1137397.6
p62,2023,2023-12-24,1197105.7800000003
p62,2023,2023-12-25,1276744.78
p62,2023,2023-12-26,1274153.29
p62,2023,2023-12-29,1237250.78
p62,2023,2023-12-30,1147895.73
p62,2025,2025-01-21,1227422.51
p62,2025,2025-02-02,1090074.58
p62,2029,2029-12-16,1113127.18
p62,2029,2029-12-22,1260103.0899999999
p62,2029,2029-12-23,1316084.32
p62,2029,2029-12-24,1220783.17
p62,2036,2036-02-03,1141939.2999999998
p62,2036,2036-02-04,1187615.5399999998
p62,2050,2050-01-09,1098799.85
p62,2051,2051-02-02,1262634.48
p62,2051,2051-02-03,1246519.8599999999
p62,2058,2058-01-17,1216567.76
p62,2062,2062-01-11,1271609.0
p62,2063,2063-12-25,1203877.0499999998
p62,2069,2069-12-22,1216807.7800000003
p62,2069,2069-12-23,1335951.97
p62,2069,2069-12-24,1180646.3599999996
p62,2091,2091-02-03,1092081.9500000002
