rb,Year,Date,Load_sum
p62,2022,2022-01-11,1690173.3546382948
p62,2022,2022-01-14,1447690.0171111878
p62,2023,2023-12-24,1584132.6853257485
p62,2023,2023-12-25,1689608.6076665435
p62,2023,2023-12-26,1686272.135032414
p62,2023,2023-12-29,1637704.211851573
p62,2023,2023-12-30,1519510.1205736212
p62,2025,2025-01-21,1659742.5984701428
p62,2025,2025-02-02,1474989.7048040743
p62,2029,2029-12-16,1660526.1984820352
p62,2029,2029-12-22,1880400.8373332918
p62,2029,2029-12-23,1964043.7591277142
p62,2029,2029-12-24,1821921.541898982
p62,2036,2036-02-03,1926286.3361066408
p62,2036,2036-02-04,2003444.606243066
p62,2050,2050-01-09,2450539.970838981
p62,2051,2051-02-02,2876673.8397501074
p62,2051,2051-02-03,2840114.539262627
p62,2058,2058-01-17,3186386.956647476
p62,2062,2062-01-11,3607340.1474294094
p62,2063,2063-12-25,3551449.293695027
p62,2069,2069-12-22,4047695.234814187
p62,2069,2069-12-23,4444263.1534506995
p62,2069,2069-12-24,3927827.435580311
p62,2091,2091-02-03,5546681.736807328
