rb,Year,Date,Load_sum
p63,2021,2021-02-11,1354199.0580801286
p63,2022,2022-01-11,1703320.7287380344
p63,2023,2023-12-24,1558882.0299489312
p63,2023,2023-12-25,1664156.8193439818
p63,2023,2023-12-26,1659184.723727563
p63,2023,2023-12-29,1603518.7627378309
p63,2023,2023-12-30,1478106.6551160319
p63,2025,2025-01-20,1543444.4609732316
p63,2025,2025-01-21,1655243.335747418
p63,2025,2025-02-01,1478255.5905351704
p63,2025,2025-02-02,1460966.764885942
p63,2029,2029-12-22,1844745.514348155
p63,2029,2029-12-23,1915522.595286592
p63,2029,2029-12-24,1790211.8103970299
p63,2036,2036-02-03,1923496.5964467484
p63,2036,2036-02-04,1992365.0265039452
p63,2051,2051-02-02,2848588.7016425175
p63,2051,2051-02-03,2792602.407016425
p63,2051,2051-02-04,2412266.2953671897
p63,2051,2051-02-10,2585170.3757804837
p63,2054,2054-01-06,2858324.5682436116
p63,2058,2058-01-17,3188231.8963839994
p63,2062,2062-01-11,3554037.0693431115
p63,2063,2063-12-25,3435910.469594786
p63,2069,2069-12-22,3897084.911444096
p63,2069,2069-12-23,4270437.242936545
