rb,Year,Date,Load_sum
p26,2021,2021-06-25,107557.61723787185
p26,2025,2025-07-04,104607.48551626156
p26,2025,2025-07-05,109850.0527732786
p26,2025,2025-07-06,109971.17768731376
p26,2029,2029-07-04,110288.49466348442
p26,2029,2029-07-06,124339.5345259643
p26,2029,2029-07-07,116525.3671310265
p26,2030,2030-06-26,125621.69082909968
p26,2030,2030-06-29,114809.0378502114
p26,2034,2034-06-25,122566.55552390522
p26,2034,2034-06-26,130944.29844246572
p26,2034,2034-07-26,136130.61292913154
p26,2034,2034-07-27,136894.41600047617
p26,2034,2034-07-29,126860.44635373868
p26,2034,2034-07-30,126969.4357591741
p26,2034,2034-08-04,135950.19068043973
p26,2034,2034-08-05,124754.75401293047
p26,2035,2035-07-28,128692.88356244922
p26,2035,2035-07-29,128589.68888248481
p26,2035,2035-07-30,130654.469506853
p26,2035,2035-08-06,136574.37423984453
p26,2035,2035-08-07,137662.18913157773
p26,2035,2035-08-10,135869.70568599846
p26,2036,2036-07-03,141824.8155280288
p26,2036,2036-08-12,140305.3911507958
p26,2037,2037-07-15,140512.1705441885
p26,2038,2038-07-16,145168.05920510137
p26,2038,2038-07-17,136580.61071845016
p26,2038,2038-07-18,137961.6648689705
p26,2038,2038-07-19,148720.36290606388
p26,2038,2038-07-20,147173.9357934369
p26,2040,2040-07-22,136600.05869137752
p26,2040,2040-07-23,150317.96043694785
p26,2040,2040-07-28,137609.47402309882
p26,2040,2040-07-29,139336.5299821303
p26,2040,2040-07-30,152094.76978029084
p26,2040,2040-07-31,151816.4228325391
p26,2040,2040-08-01,154127.64686659622
p26,2040,2040-08-02,152957.17068209732
p26,2040,2040-08-03,150853.06501501467
p26,2041,2041-06-30,137640.12039905385
p26,2041,2041-07-02,152967.62314870127
p26,2041,2041-07-03,154161.11109890317
p26,2041,2041-07-04,137987.3977202365
p26,2042,2042-06-30,150368.16988378172
p26,2042,2042-07-01,154745.12446000642
p26,2042,2042-07-07,155149.1864564197
p26,2042,2042-07-08,155536.16660979288
p26,2042,2042-07-10,153992.02254866352
p26,2042,2042-07-11,155786.92727791535
p26,2042,2042-07-12,146744.70468247074
p26,2042,2042-07-13,147941.64372089956
p26,2042,2042-07-14,157967.4774484662
p26,2042,2042-07-15,155716.87863918638
p26,2043,2043-07-10,154991.77758228706
p26,2043,2043-07-11,146082.05767149676
p26,2043,2043-07-12,146452.58444647305
p26,2043,2043-07-13,159329.88270954654
p26,2043,2043-07-14,157492.27084332381
p26,2043,2043-07-15,158323.46626686509
p26,2043,2043-07-16,160605.05216617932
p26,2043,2043-07-17,160157.17184755157
p26,2043,2043-07-18,149471.80452001866
p26,2043,2043-07-21,159539.6975867991
p26,2043,2043-07-22,159581.21403287243
p26,2043,2043-07-23,160723.3014123513
p26,2043,2043-07-24,160554.98547669878
p26,2043,2043-08-11,160511.483008963
