rb,Year,Date,Load_sum
p26,2020,2020-07-22,91623.78
p26,2020,2020-07-28,90633.2
p26,2020,2020-07-29,90598.45999999999
p26,2020,2020-08-08,83391.75
p26,2021,2021-06-25,89417.15
p26,2021,2021-06-26,83838.31999999999
p26,2021,2021-07-05,81023.09000000001
p26,2021,2021-07-20,89621.34
p26,2021,2021-07-21,90851.64
p26,2021,2021-07-29,89568.14
p26,2022,2022-07-21,92229.32
p26,2022,2022-08-01,90383.65
p26,2024,2024-07-06,84117.03
p26,2025,2025-07-03,90268.65999999999
p26,2025,2025-07-04,81964.31999999999
p26,2025,2025-07-05,85975.69
p26,2025,2025-07-06,86035.26000000001
p26,2025,2025-07-07,91080.38
p26,2025,2025-08-25,89352.2
p26,2026,2026-06-27,82601.03000000001
p26,2026,2026-06-28,82038.02
p26,2026,2026-08-18,90733.5
p26,2028,2028-06-24,84754.43000000001
p26,2028,2028-06-25,84447.65000000001
p26,2028,2028-07-13,90395.87
p26,2028,2028-07-14,90828.98
p26,2028,2028-07-15,85218.0
p26,2028,2028-07-16,85466.04000000001
p26,2028,2028-07-22,83801.17
p26,2029,2029-06-19,76484.76
p26,2029,2029-07-03,90291.06999999999
p26,2029,2029-07-04,80897.15
p26,2029,2029-07-05,91732.56
p26,2029,2029-07-06,91443.3
p26,2029,2029-07-07,85488.94
p26,2029,2029-07-08,85801.03
p26,2029,2029-07-15,81584.23999999999
p26,2029,2029-07-19,91160.79999999999
p26,2029,2029-07-20,92639.84
p26,2029,2029-07-31,92273.58
p26,2029,2029-08-01,88781.84000000001
p26,2030,2030-06-23,82264.12
p26,2030,2030-06-24,89588.52
p26,2030,2030-06-25,89651.56
p26,2030,2030-06-26,90922.58
p26,2030,2030-06-27,89707.93000000001
p26,2030,2030-06-28,88705.02
p26,2030,2030-06-29,83192.57
p26,2030,2030-06-30,84590.84000000001
p26,2030,2030-07-01,92033.24
p26,2030,2030-07-05,90878.81
p26,2030,2030-08-08,91078.37
p26,2030,2030-08-09,91835.29
p26,2030,2030-09-12,88940.90000000001
p26,2030,2030-09-14,81139.73
p26,2031,2031-07-05,83412.91
p26,2031,2031-07-06,84306.78
p26,2031,2031-07-15,91472.62
p26,2032,2032-08-02,91138.72
p26,2032,2032-08-03,89631.97
p26,2034,2034-06-24,82321.26000000001
p26,2034,2034-06-25,83528.20999999999
p26,2034,2034-06-26,89201.12999999999
p26,2034,2034-06-29,89746.67
p26,2034,2034-06-30,89970.2
p26,2034,2034-07-01,84509.13
p26,2034,2034-07-09,82651.47
p26,2034,2034-07-10,91383.09999999999
p26,2034,2034-07-11,89755.20999999999
p26,2034,2034-07-17,91234.06999999999
p26,2034,2034-07-18,91630.23
p26,2034,2034-07-25,92213.79
p26,2034,2034-07-26,92320.15
p26,2034,2034-07-27,93080.09
p26,2034,2034-07-28,92819.45
p26,2034,2034-07-29,86120.73
p26,2034,2034-07-30,86369.39
p26,2034,2034-07-31,90655.78000000001
p26,2034,2034-08-04,92262.31
p26,2034,2034-08-05,84715.53
p26,2034,2034-08-06,84667.40000000001
p26,2034,2034-08-07,91886.34
p26,2034,2034-08-08,89735.63
p26,2034,2034-08-16,91177.54000000001
p26,2034,2034-08-17,90966.51999999999
p26,2035,2035-07-06,87886.46
p26,2035,2035-07-07,83031.17
p26,2035,2035-07-08,85210.85
p26,2035,2035-07-09,91934.89
p26,2035,2035-07-10,90760.56999999999
p26,2035,2035-07-27,90131.29000000001
p26,2035,2035-07-28,85832.04000000001
p26,2035,2035-07-29,85881.48
p26,2035,2035-07-30,87158.77
p26,2035,2035-08-06,91293.14
p26,2035,2035-08-07,91762.03
p26,2035,2035-08-10,90407.81
p26,2036,2036-07-02,91932.58
p26,2036,2036-07-03,93273.19
p26,2036,2036-07-04,80116.43
p26,2036,2036-07-26,84766.25
p26,2036,2036-07-27,84675.22
p26,2036,2036-08-01,91228.46
p26,2036,2036-08-02,83198.97
p26,2036,2036-08-11,89647.75
p26,2036,2036-08-12,91879.67
p26,2036,2036-08-13,91815.09
p26,2037,2037-07-09,90084.40000000001
p26,2037,2037-07-15,90896.94
p26,2037,2037-07-16,92144.78
p26,2037,2037-07-17,91579.04
p26,2037,2037-07-18,82686.53
p26,2038,2038-07-13,90417.81999999999
p26,2038,2038-07-14,90996.26000000001
p26,2038,2038-07-15,91462.26000000001
p26,2038,2038-07-16,92168.87000000001
p26,2038,2038-07-17,86865.48
p26,2038,2038-07-18,87621.1
p26,2038,2038-07-19,94514.6
p26,2038,2038-07-20,93561.62000000001
p26,2038,2038-07-21,90694.91
p26,2038,2038-08-07,84275.94
p26,2038,2038-08-08,83809.41
p26,2038,2038-08-30,89549.92
p26,2039,2039-07-02,83452.95
p26,2039,2039-07-06,90213.39
p26,2039,2039-07-07,90287.48
p26,2040,2040-06-05,86566.83
p26,2040,2040-07-12,89292.09
p26,2040,2040-07-13,90729.43000000001
p26,2040,2040-07-14,84968.75
p26,2040,2040-07-22,84213.14
p26,2040,2040-07-23,92219.33
p26,2040,2040-07-24,91419.54000000001
p26,2040,2040-07-25,91341.67
p26,2040,2040-07-26,91161.08
p26,2040,2040-07-27,91318.82999999999
p26,2040,2040-07-28,84716.0
p26,2040,2040-07-29,85862.67
p26,2040,2040-07-30,93524.0
p26,2040,2040-07-31,93377.6
p26,2040,2040-08-01,94609.18000000001
p26,2040,2040-08-02,93975.34000000001
p26,2040,2040-08-03,92668.17
p26,2040,2040-08-04,83986.52
p26,2040,2040-08-09,91958.22
p26,2040,2040-08-10,91582.6
p26,2040,2040-08-11,83200.32
p26,2040,2040-08-13,89849.76999999999
p26,2041,2041-06-29,82146.56
p26,2041,2041-06-30,83731.04000000001
p26,2041,2041-07-01,92486.11
p26,2041,2041-07-02,93377.25
p26,2041,2041-07-03,93857.21999999999
p26,2041,2041-07-04,83224.13
p26,2041,2041-07-05,91656.34999999999
p26,2041,2041-07-28,83167.06999999999
p26,2041,2041-07-29,90393.6
p26,2041,2041-08-04,81828.45
p26,2041,2041-08-06,91809.66
p26,2041,2041-08-07,92389.42
p26,2041,2041-08-18,82993.56999999999
p26,2041,2041-08-26,88588.83
p26,2041,2041-08-27,90012.37000000001
p26,2042,2042-06-24,88055.6
p26,2042,2042-06-25,89429.94
p26,2042,2042-06-26,89879.6
p26,2042,2042-06-27,89719.23000000001
p26,2042,2042-06-28,82983.58
p26,2042,2042-06-29,81824.09
p26,2042,2042-06-30,89954.04
p26,2042,2042-07-01,92610.39
p26,2042,2042-07-02,91966.32
p26,2042,2042-07-05,84760.70999999999
p26,2042,2042-07-06,85808.09
p26,2042,2042-07-07,92627.72
p26,2042,2042-07-08,92986.55
p26,2042,2042-07-09,91151.03
p26,2042,2042-07-10,92228.45
p26,2042,2042-07-11,93311.69
p26,2042,2042-07-12,87853.63
p26,2042,2042-07-13,88517.54000000001
p26,2042,2042-07-14,94399.15999999999
p26,2042,2042-07-15,93464.98
p26,2042,2042-07-16,91981.77
p26,2042,2042-07-22,90175.21
p26,2042,2042-07-23,90957.32
p26,2042,2042-07-24,92719.44
p26,2042,2042-07-30,90163.37999999999
p26,2042,2042-07-31,91776.78
p26,2042,2042-08-16,82646.46
p26,2043,2043-07-10,91275.20999999999
p26,2043,2043-07-11,85832.81
p26,2043,2043-07-12,86264.61
p26,2043,2043-07-13,93709.69
p26,2043,2043-07-14,92652.7
p26,2043,2043-07-15,93045.45000000001
p26,2043,2043-07-16,94152.6
p26,2043,2043-07-17,94250.45999999999
p26,2043,2043-07-18,88103.53
p26,2043,2043-07-19,87626.65
p26,2043,2043-07-20,93100.52
p26,2043,2043-07-21,93345.25
p26,2043,2043-07-22,94146.46
p26,2043,2043-07-23,94027.43
p26,2043,2043-07-24,93524.84
p26,2043,2043-07-30,91162.55
p26,2043,2043-07-31,90900.67000000001
p26,2043,2043-08-06,89860.38
p26,2043,2043-08-09,85060.28
p26,2043,2043-08-10,93610.25
p26,2043,2043-08-11,94070.65999999999
p26,2043,2043-08-12,91020.16
p26,2043,2043-08-13,92917.97
p26,2043,2043-08-14,93814.91
p26,2044,2044-07-12,91156.03
p26,2044,2044-07-13,92985.81
p26,2044,2044-07-14,92170.00000000001
p26,2044,2044-07-31,82526.7
p26,2045,2045-07-07,90639.23
p26,2045,2045-07-08,84201.39
p26,2045,2045-07-09,83501.51999999999
p26,2045,2045-07-12,92937.56
p26,2045,2045-07-13,95479.81999999999
p26,2045,2045-07-14,94875.06
p26,2045,2045-07-15,88137.67
p26,2045,2045-07-16,88503.93
p26,2045,2045-07-17,91907.89
p26,2045,2045-07-19,93107.68
p26,2045,2045-07-20,94975.13
p26,2045,2045-07-21,95493.15
p26,2045,2045-07-22,87726.95000000001
p26,2045,2045-07-23,85952.58
p26,2045,2045-07-28,90117.18
p26,2045,2045-07-29,85468.15999999999
p26,2045,2045-08-29,88205.0
p26,2046,2046-06-06,88788.14
p26,2046,2046-07-14,85438.5
p26,2046,2046-07-15,87415.02
p26,2046,2046-07-16,95351.07
p26,2046,2046-07-17,95066.7
p26,2046,2046-07-18,93657.76
p26,2046,2046-07-21,88036.06999999999
p26,2046,2046-07-22,88859.7
p26,2046,2046-07-23,95164.2
p26,2046,2046-07-24,94204.59
p26,2046,2046-07-26,91993.45000000001
p26,2046,2046-07-27,92285.02
p26,2046,2046-07-28,87220.54
p26,2046,2046-07-29,86528.64
p26,2046,2046-07-30,91562.01
