rb,Year,Date,Load_sum
p25,2033,2033-12-30,96193.89
p25,2033,2033-12-31,87620.09999999999
p25,2034,2034-01-03,91793.04000000001
p25,2034,2034-12-19,95942.99
p25,2034,2034-12-20,96125.85
p25,2034,2034-12-21,95729.99
p25,2034,2034-12-24,87248.93
p25,2034,2034-12-25,86248.48
p25,2034,2034-12-26,96774.42
p25,2034,2034-12-27,96782.01
p25,2034,2034-12-28,96905.09999999999
p25,2034,2034-12-29,96680.93
p25,2034,2034-12-30,87655.42
p25,2034,2034-12-31,88229.13
p25,2035,2035-01-01,87641.01
p25,2035,2035-01-02,92425.65
p25,2035,2035-01-03,92600.95000000001
p25,2035,2035-01-04,92493.52
p25,2035,2035-01-05,92291.23000000001
p25,2035,2035-01-06,87265.94
p25,2035,2035-01-07,87504.84
p25,2035,2035-01-08,92162.82
p25,2035,2035-01-09,92460.37
p25,2035,2035-01-10,92475.78
p25,2035,2035-01-11,92581.48000000001
p25,2035,2035-01-12,92531.93000000001
p25,2035,2035-01-13,87796.68000000001
p25,2035,2035-01-14,87895.17
p25,2035,2035-01-15,87178.75
p25,2035,2035-01-17,92240.73
p25,2035,2035-01-18,92249.18000000001
p25,2035,2035-01-19,91758.53
p25,2035,2035-12-19,96355.38
p25,2035,2035-12-20,96962.39
p25,2035,2035-12-21,96376.77
p25,2035,2035-12-22,87125.58
p25,2035,2035-12-23,87580.23
p25,2035,2035-12-24,97042.8
p25,2035,2035-12-25,86673.85
p25,2035,2035-12-26,97710.85
p25,2035,2035-12-27,97929.44
p25,2035,2035-12-28,97625.35
p25,2035,2035-12-29,88450.29
p25,2035,2035-12-30,88723.79999999999
p25,2035,2035-12-31,98352.33
p25,2036,2036-01-01,88618.65000000001
p25,2036,2036-01-02,93173.93
p25,2036,2036-01-03,93266.01
p25,2036,2036-01-04,93134.38
p25,2036,2036-01-05,88483.74
p25,2036,2036-01-06,88261.88
p25,2036,2036-01-07,93156.62999999999
p25,2036,2036-01-08,93028.47
p25,2036,2036-01-09,92993.72
p25,2036,2036-01-10,92632.29
p25,2036,2036-01-11,92474.9
p25,2036,2036-01-12,88087.67
p25,2036,2036-01-13,88475.13
p25,2036,2036-01-14,93172.0
p25,2036,2036-01-15,92717.26
p25,2036,2036-01-16,92806.88
p25,2036,2036-01-17,92934.23
p25,2036,2036-01-18,92457.67
p25,2036,2036-01-19,87636.31999999999
p25,2036,2036-01-20,87979.59
p25,2036,2036-01-21,87517.86
p25,2036,2036-01-22,92799.79999999999
p25,2036,2036-01-23,92532.96
