rb,Year,Date,Load_sum
p25,2022,2022-02-05,97418.57668674078
p25,2024,2024-01-18,110186.26205740136
p25,2025,2025-02-01,102230.01440864507
p25,2029,2029-02-05,118207.33898748565
p25,2029,2029-02-06,119574.09352578963
p25,2029,2029-02-07,117639.75908068081
p25,2030,2030-12-21,119762.28074029356
p25,2030,2030-12-22,123134.26084406185
p25,2030,2030-12-23,136938.85326520776
p25,2030,2030-12-24,131878.03010278716
p25,2030,2030-12-30,132071.6583581797
p25,2051,2051-02-02,162429.21027341223
p25,2053,2053-01-14,179897.37469359042
p25,2053,2053-01-15,177069.15439848526
p25,2069,2069-02-05,220179.06103186443
p25,2069,2069-02-06,221196.46866031838
p25,2070,2070-12-22,248575.93145223628
p25,2070,2070-12-23,251704.28295760415
p25,2093,2093-01-14,337476.88565409154
