rb,Year,Date,Load_sum
p26,2022,2022-01-07,88044.56999999999
p26,2022,2022-02-05,80421.97
p26,2024,2024-01-18,88012.69
p26,2025,2025-02-01,80395.45000000001
p26,2029,2029-02-05,87162.15999999999
p26,2029,2029-02-06,87921.01000000001
p26,2029,2029-02-07,86411.78
p26,2030,2030-12-21,85460.46
p26,2030,2030-12-22,88085.1
p26,2030,2030-12-23,97790.66
p26,2030,2030-12-24,94268.63
p26,2030,2030-12-30,94218.78
p26,2053,2053-01-14,89828.3
p26,2069,2069-02-06,85063.51000000001
p26,2070,2070-12-22,91995.95
p26,2070,2070-12-23,93284.68
