rb,Year,Date,Load_sum
p129,2020,2020-06-24,17345.15
p129,2020,2020-06-25,17506.95
p129,2020,2020-06-26,18647.07
p129,2020,2020-07-27,18385.6
p129,2020,2020-08-05,18542.58
p129,2020,2020-08-08,17456.29
p129,2021,2021-06-16,19466.84
p129,2021,2021-07-08,18606.55
p129,2021,2021-07-09,19740.5
p129,2022,2022-07-07,18509.84
p129,2022,2022-07-08,19474.1
p129,2022,2022-07-16,16331.07
p129,2022,2022-07-17,17207.38
p129,2022,2022-07-18,20429.18
p129,2022,2022-07-19,20834.51
p129,2023,2023-06-13,18223.77
p129,2023,2023-06-14,18719.94
p129,2023,2023-06-22,17159.11
p129,2023,2023-06-23,17286.86
p129,2023,2023-07-03,19910.14
p129,2023,2023-07-04,17853.68
p129,2023,2023-07-12,17984.66
p129,2023,2023-07-28,17448.63
p129,2023,2023-07-30,17074.91
p129,2023,2023-08-08,18215.44
p129,2023,2023-08-26,15374.82
p129,2023,2023-09-05,17534.85
p129,2023,2023-09-06,19153.25
p129,2023,2023-09-11,18374.93
p129,2023,2023-09-20,17906.63
p129,2024,2024-06-08,16383.84
p129,2024,2024-06-09,16362.1
p129,2024,2024-06-10,18221.079999999998
p129,2024,2024-07-02,17929.29
p129,2024,2024-07-15,18517.08
p129,2024,2024-07-23,18163.55
p129,2024,2024-08-05,18457.37
p129,2024,2024-08-06,18649.22
p129,2024,2024-08-09,18897.39
p129,2025,2025-07-05,16118.13
p129,2025,2025-08-10,15599.04
p129,2025,2025-08-14,18845.68
p129,2026,2026-07-06,19083.07
p129,2026,2026-07-07,19529.99
p129,2026,2026-07-18,16655.1
p129,2026,2026-07-24,18065.72
p129,2026,2026-07-25,16496.16
p129,2027,2027-07-09,20083.1
p129,2027,2027-07-10,18098.58
p129,2027,2027-07-11,18059.5
p129,2027,2027-07-12,21028.23
p129,2027,2027-07-13,21009.03
p129,2027,2027-07-14,20297.0
p129,2027,2027-07-18,15825.07
p129,2027,2027-07-22,19214.12
p129,2027,2027-07-23,18956.79
p129,2027,2027-07-24,17415.46
p129,2027,2027-07-25,17304.94
p129,2027,2027-08-15,16750.6
p129,2027,2027-08-16,18657.76
p129,2027,2027-08-17,20019.34
p129,2028,2028-06-13,17320.96
p129,2028,2028-06-14,17646.05
p129,2028,2028-06-15,18331.95
p129,2028,2028-06-20,17428.45
p129,2028,2028-07-05,18105.83
p129,2028,2028-07-07,19413.12
p129,2028,2028-07-09,17812.63
p129,2028,2028-07-10,20680.94
p129,2028,2028-07-16,15433.4
p129,2028,2028-07-18,18859.52
p129,2028,2028-07-29,16751.17
p129,2028,2028-07-30,16924.45
p129,2028,2028-07-31,18881.99
p129,2028,2028-08-02,19277.03
p129,2028,2028-08-03,20741.97
p129,2028,2028-08-04,21121.82
p129,2028,2028-08-05,18636.88
p129,2028,2028-08-06,18099.96
p129,2028,2028-08-09,18749.309999999998
p129,2028,2028-08-10,19589.89
p129,2028,2028-08-11,19463.03
p129,2028,2028-08-12,17309.06
p129,2028,2028-08-13,16919.63
p129,2028,2028-08-14,20243.94
p129,2028,2028-08-15,20070.23
p129,2029,2029-05-19,14386.57
p129,2029,2029-06-22,18442.04
p129,2029,2029-06-23,16636.72
p129,2029,2029-06-27,18736.79
p129,2029,2029-07-23,18363.47
p129,2029,2029-07-24,18059.76
p129,2029,2029-07-25,18714.36
p129,2029,2029-07-26,19329.88
p129,2029,2029-07-27,19959.97
p129,2029,2029-08-04,17526.7
p129,2029,2029-08-05,18138.07
p129,2029,2029-08-06,20447.69
p129,2029,2029-09-09,16287.84
p129,2029,2029-09-10,20465.06
p129,2030,2030-04-27,14170.49
p129,2030,2030-04-28,13865.61
p129,2030,2030-07-15,19075.7
p129,2030,2030-07-18,18594.88
p129,2030,2030-07-29,18965.98
p129,2030,2030-07-30,18979.37
p129,2030,2030-08-03,16231.27
p129,2030,2030-08-04,15950.4
p129,2030,2030-08-05,18258.05
p129,2030,2030-08-18,16941.84
p129,2031,2031-06-20,18101.45
p129,2031,2031-06-27,17420.92
p129,2031,2031-06-28,16302.17
p129,2031,2031-07-17,17739.3
p129,2031,2031-07-18,18331.27
p129,2031,2031-07-19,17588.0
p129,2031,2031-07-20,17609.75
p129,2031,2031-07-21,18619.95
p129,2031,2031-07-23,19047.2
p129,2031,2031-08-01,17556.2
p129,2031,2031-08-13,18142.24
p129,2031,2031-08-14,18498.71
p129,2031,2031-08-17,16246.21
p129,2031,2031-08-27,18917.11
p129,2031,2031-08-28,19095.31
p129,2031,2031-08-30,16357.7
p129,2032,2032-08-25,19639.34
p129,2032,2032-08-26,20119.16
p129,2033,2033-07-05,18012.56
p129,2033,2033-07-06,19536.15
p129,2033,2033-07-07,20246.84
p129,2033,2033-07-08,20223.5
p129,2033,2033-07-09,17517.9
p129,2033,2033-07-10,17777.25
p129,2033,2033-07-28,19105.25
p129,2033,2033-07-29,19561.87
p129,2033,2033-08-01,19026.67
p129,2033,2033-08-25,19355.88
p129,2033,2033-08-26,19612.91
p129,2033,2033-08-27,17144.08
p129,2033,2033-08-28,16856.51
p129,2033,2033-08-31,17603.62
p129,2033,2033-09-15,17540.43
p129,2034,2034-06-16,18860.32
p129,2034,2034-06-17,17256.58
p129,2034,2034-06-18,17886.14
p129,2034,2034-07-09,17950.16
p129,2034,2034-07-20,18836.34
p129,2034,2034-07-21,20740.89
p129,2035,2035-06-18,17409.54
p129,2035,2035-06-19,16588.739999999998
p129,2035,2035-06-25,18171.56
p129,2035,2035-06-30,15385.1
p129,2035,2035-07-06,18620.63
p129,2035,2035-07-13,18440.64
p129,2035,2035-07-14,18059.43
p129,2035,2035-07-22,16328.02
p129,2035,2035-07-24,19187.74
p129,2035,2035-07-25,19270.59
p129,2035,2035-07-28,16691.69
p129,2035,2035-07-29,17412.739999999998
