rb,Year,Date,Load_sum
p129,2060,2060-01-30,19363.680608775874
p129,2060,2060-01-31,17390.706066073202
p129,2061,2061-01-23,16848.08063080211
p129,2061,2061-01-24,17840.30969126024
p129,2061,2061-01-25,16662.716537586475
p129,2062,2062-01-19,17358.702176184404
p129,2062,2062-01-20,17660.114806570615
p129,2062,2062-01-30,19410.6815827507
p129,2062,2062-01-31,18786.945547371048
p129,2062,2062-02-02,17722.312387485283
p129,2062,2062-02-03,17347.476088835134
p129,2062,2062-02-04,16374.062004184241
p129,2062,2062-02-05,16398.827381974188
p129,2062,2062-02-06,18201.01074166422
p129,2062,2062-02-09,17808.309171176614
p129,2062,2062-02-12,16566.737436650328
p129,2063,2063-01-14,16635.775048421317
p129,2063,2063-01-15,16618.278373926645
p129,2063,2063-01-25,16703.106134227153
p129,2063,2063-01-26,17186.196874258225
p129,2063,2063-01-27,16586.169156891683
p129,2063,2063-01-28,16736.01115179155
p129,2063,2063-01-29,18901.757185835944
p129,2063,2063-01-30,19434.1926076442
p129,2063,2063-01-31,18809.701077235055
p129,2063,2063-02-01,17693.470160550787
p129,2063,2063-02-02,17743.778389384086
p129,2063,2063-02-03,16042.890871344362
p129,2063,2063-02-04,16393.894949140184
p129,2063,2063-02-05,17703.36672002424
p129,2063,2063-02-06,18223.056562920403
p129,2063,2063-02-07,18078.66778543372
p129,2063,2063-02-08,18066.261173583895
p129,2063,2063-02-11,16469.577793164004
p129,2064,2064-01-20,16342.864730135385
p129,2064,2064-01-21,17538.164610445743
p129,2064,2064-01-22,18080.13087000264
p129,2064,2064-01-23,18263.510732509665
p129,2064,2064-01-24,17905.215019272826
p129,2064,2064-01-25,16723.33763111954
p129,2064,2064-01-26,15964.673709779056
p129,2064,2064-01-27,16606.259014853287
p129,2064,2064-01-28,18035.305845938714
p129,2064,2064-01-29,18924.65178033189
p129,2064,2064-01-30,19457.73211006895
p129,2064,2064-01-31,18832.484169543313
p129,2064,2064-02-01,17714.90122754468
p129,2064,2064-02-02,16450.254502653228
p129,2064,2064-02-03,16062.322688049604
p129,2064,2064-02-04,17660.53857592294
p129,2064,2064-02-05,17724.809774142603
p129,2064,2064-02-06,18245.12908699226
p129,2064,2064-02-07,18100.565419812632
p129,2064,2064-02-08,18088.143780558497
p129,2064,2064-02-09,16672.031868882063
p129,2064,2064-02-10,16007.27990497352
p129,2064,2064-02-11,17688.624516007185
p129,2065,2065-01-15,17429.944859585466
p129,2065,2065-01-16,17526.079783989266
p129,2065,2065-01-17,16406.528105077094
p129,2065,2065-01-18,16356.426759274185
p129,2065,2065-01-19,16951.38935782524
p129,2065,2065-01-20,17724.42334482914
p129,2065,2065-01-21,17962.209408041934
p129,2065,2065-01-22,18102.09031132564
p129,2065,2065-01-23,18285.692900059566
p129,2065,2065-01-24,16634.664841832575
p129,2065,2065-01-25,15783.020484502633
p129,2065,2065-01-26,17227.912496837085
p129,2065,2065-01-27,17860.435866701555
p129,2065,2065-01-28,18057.21084448733
p129,2065,2065-01-29,18947.636944726793
p129,2065,2065-01-30,19481.36473361697
p129,2065,2065-01-31,17496.39929997353
p129,2065,2065-02-01,16499.117895398427
p129,2065,2065-02-02,17786.8474155235
p129,2065,2065-02-03,17410.646166831044
p129,2065,2065-02-04,17681.988396357257
p129,2065,2065-02-05,17746.337655936997
p129,2065,2065-02-06,18267.28892889258
p129,2065,2065-02-07,16943.220655083613
p129,2065,2065-02-08,16951.42300391109
p129,2065,2065-02-09,17873.15735275402
p129,2065,2065-02-10,17298.25625944078
p129,2065,2065-02-11,17710.10844855926
p129,2065,2065-02-12,17885.126854047547
p129,2065,2065-02-13,17762.224210626762
p129,2065,2065-02-14,16551.176148617844
p129,2065,2065-02-15,16428.449753150915
p129,2065,2065-02-16,17246.20617210889
p129,2065,2065-02-17,17324.5077572692
p129,2066,2066-01-09,17760.762741802682
p129,2066,2066-01-10,17817.703385158587
p129,2066,2066-01-11,18386.919468656768
p129,2066,2066-01-12,18749.681687605284
p129,2066,2066-01-13,19063.064515836588
p129,2066,2066-01-14,18005.541634346853
p129,2066,2066-01-15,17451.056733773858
p129,2066,2066-01-16,16239.416958821888
p129,2066,2066-01-17,16426.400374324818
p129,2066,2066-01-18,17053.85713086426
p129,2066,2066-01-19,17443.01527931572
p129,2066,2066-01-20,17745.891903607288
p129,2066,2066-01-21,17983.96598319022
p129,2066,2066-01-22,18124.01631604214
p129,2066,2066-01-23,16950.41980510575
p129,2066,2066-01-24,16654.81343978489
p129,2066,2066-01-25,16763.929767121634
p129,2066,2066-01-26,17248.77966102446
p129,2066,2066-01-27,17882.06916950344
p129,2066,2066-01-28,18079.082489326895
p129,2066,2066-01-29,18970.58711069501
p129,2066,2066-01-30,18207.048719534043
p129,2066,2066-01-31,17517.591666544202
p129,2066,2066-02-01,17757.900160876867
p129,2066,2066-02-02,17808.391584932513
p129,2066,2066-02-03,17431.73466564007
p129,2066,2066-02-04,17703.40555616079
p129,2066,2066-02-05,17767.83275824025
p129,2066,2066-02-06,16990.519718683157
p129,2066,2066-02-07,16963.742988670892
p129,2066,2066-02-08,18132.04867613386
p129,2066,2066-02-09,17894.806064348948
p129,2066,2066-02-10,17319.20862691927
p129,2066,2066-02-11,17731.559668539634
p129,2066,2066-02-12,17906.790063600296
p129,2066,2066-02-13,16514.054912716874
p129,2066,2066-02-14,16571.22362159234
p129,2066,2066-02-15,17234.660120460387
p129,2066,2066-02-16,17474.03751985292
p129,2067,2067-01-07,18379.833554129647
p129,2067,2067-01-08,17482.792954003242
p129,2067,2067-01-09,17782.27531636993
p129,2067,2067-01-10,19150.577283214243
p129,2067,2067-01-11,18409.1904702957
p129,2067,2067-01-12,18772.3920819324
p129,2067,2067-01-13,19086.154492479985
p129,2067,2067-01-14,18027.350695289988
p129,2067,2067-01-15,16314.784909199832
p129,2067,2067-01-16,16259.086816098512
p129,2067,2067-01-17,17166.641830645243
p129,2067,2067-01-18,17668.503902491753
p129,2067,2067-01-19,17464.142984940136
p129,2067,2067-01-20,17767.38646599678
p129,2067,2067-01-21,18005.748910807266
p129,2067,2067-01-22,16781.667845486583
p129,2067,2067-01-23,16970.950858602973
p129,2067,2067-01-24,17970.41607927192
p129,2067,2067-01-25,16784.234936128058
p129,2067,2067-01-26,17269.672100389038
p129,2067,2067-01-27,17903.72867546149
p129,2067,2067-01-28,18100.980626012413
p129,2067,2067-01-29,17861.5413859583
p129,2067,2067-01-30,18229.101854240165
p129,2067,2067-01-31,18901.061839733185
p129,2067,2067-02-01,17779.40926816703
p129,2067,2067-02-02,17829.96184953561
p129,2067,2067-02-03,17452.848707716
p129,2067,2067-02-04,17724.848657319093
p129,2067,2067-02-05,16498.437687183137
p129,2067,2067-02-06,17011.099342863607
p129,2067,2067-02-07,18166.47783977991
p129,2067,2067-02-08,18154.010967667895
p129,2067,2067-02-09,17916.48099776381
p129,2067,2067-02-10,17340.186372776734
p129,2067,2067-02-11,17753.03687112988
p129,2067,2067-02-12,16667.36766672368
p129,2067,2067-02-13,16534.05742290644
p129,2067,2067-02-14,17731.662781606137
p129,2067,2067-02-15,17667.669033199778
p129,2067,2067-02-16,17495.202800905397
p129,2067,2067-02-17,17366.50150293102
