rb,Year,Date,Load_sum
p118,2044,2044-07-06,479021.67000000004
p118,2044,2044-07-07,477332.39
p118,2044,2044-07-10,447848.08
p118,2044,2044-07-11,480089.2
p118,2044,2044-07-12,479669.04000000004
p118,2044,2044-07-13,479453.44
p118,2044,2044-07-14,478337.0299999999
p118,2044,2044-07-19,478590.8
p118,2044,2044-07-20,480301.43
p118,2045,2045-07-04,421613.32000000007
p118,2045,2045-07-05,482908.84
p118,2045,2045-07-06,483215.05
p118,2045,2045-07-07,480956.68
p118,2045,2045-07-11,479022.31
p118,2045,2045-07-12,482603.13999999996
p118,2045,2045-07-13,480528.65
p118,2045,2045-07-14,481465.8
p118,2045,2045-07-15,449818.67
p118,2045,2045-07-17,481856.85000000003
p118,2045,2045-07-18,485242.77999999997
p118,2045,2045-07-19,484658.53
p118,2045,2045-07-20,482205.2899999999
p118,2045,2045-07-21,480804.35
p118,2045,2045-07-22,446111.36
p118,2045,2045-07-24,477421.34
p118,2045,2045-07-25,483229.91000000003
p118,2045,2045-07-26,482244.41000000003
p118,2046,2046-06-26,471313.95999999996
p118,2046,2046-06-27,468777.60000000003
p118,2046,2046-07-02,479748.72
p118,2046,2046-07-03,479608.39
p118,2046,2046-07-04,424684.29999999993
p118,2046,2046-07-05,476589.36
p118,2046,2046-07-08,447829.99000000005
p118,2046,2046-07-09,481826.22
p118,2046,2046-07-10,486313.70999999996
p118,2046,2046-07-11,488098.1699999999
p118,2046,2046-07-12,487069.99
p118,2046,2046-07-13,484836.94000000006
p118,2046,2046-07-14,452348.73
p118,2046,2046-07-15,452646.59
p118,2046,2046-07-16,484993.26000000007
p118,2046,2046-07-17,485945.0000000001
p118,2046,2046-07-18,485556.17000000004
p118,2046,2046-07-19,486367.86
p118,2046,2046-07-20,486875.43999999994
p118,2046,2046-07-21,450444.65
p118,2046,2046-07-23,481517.19
p118,2046,2046-07-24,489204.7799999999
p118,2046,2046-07-25,490089.88999999996
p118,2046,2046-07-26,487014.52
p118,2046,2046-07-27,482266.43
p118,2046,2046-07-28,446431.50000000006
p118,2046,2046-07-31,479240.44999999995
p118,2046,2046-08-01,482146.84
p118,2046,2046-08-02,481061.37
