rb,Year,Date,Load_sum
p99,2020,2020-03-03,392229.76999999996
p99,2020,2020-12-25,356607.81
p99,2021,2021-01-12,437902.65
p99,2022,2022-01-10,451007.30000000005
p99,2022,2022-01-11,495299.5
p99,2022,2022-01-12,438232.52
p99,2022,2022-01-17,453974.47000000003
p99,2022,2022-01-18,431194.66
p99,2023,2023-12-24,371949.73
p99,2023,2023-12-25,441489.87
p99,2023,2023-12-26,459654.85
p99,2024,2024-01-21,410982.96
p99,2024,2024-01-22,435895.07
p99,2025,2025-01-20,427506.70999999996
p99,2025,2025-01-21,532800.96
p99,2025,2025-01-22,447034.0
p99,2026,2026-01-28,441334.66
p99,2027,2027-01-27,440976.1
p99,2028,2028-01-06,444497.80000000005
p99,2029,2029-12-22,449081.01
p99,2029,2029-12-23,449409.55
p99,2029,2029-12-24,438670.95
p99,2033,2033-03-15,396981.42000000004
p99,2034,2034-01-15,403585.38
p99,2034,2034-01-16,452591.87
p99,2034,2034-01-18,395507.35
p99,2034,2034-01-19,506921.01
p99,2034,2034-01-20,444578.75
p99,2035,2035-02-06,423453.86
p99,2036,2036-02-04,443700.02
p99,2036,2036-02-05,475480.15
p99,2037,2037-01-17,405474.13
p99,2037,2037-01-19,424774.63999999996
p99,2044,2044-12-20,423571.35
p99,2049,2049-01-17,411450.75
p99,2049,2049-03-03,402959.43999999994
p99,2054,2054-01-07,461737.4
p99,2054,2054-01-22,434040.96
p99,2054,2054-01-24,418233.06
p99,2055,2055-01-08,439935.56999999995
p99,2055,2055-02-15,416126.92000000004
p99,2055,2055-02-16,434160.72
p99,2055,2055-02-19,430320.43000000005
p99,2055,2055-02-20,435309.42
p99,2055,2055-03-06,357725.16
p99,2058,2058-01-05,422384.95
p99,2058,2058-01-06,430469.55
p99,2058,2058-01-07,451203.37
p99,2059,2059-01-31,440331.28
p99,2062,2062-01-10,439348.53
p99,2062,2062-01-11,480829.5
p99,2062,2062-01-17,459314.70999999996
p99,2062,2062-01-18,418751.92
p99,2063,2063-12-24,377764.06000000006
p99,2063,2063-12-25,426747.87
p99,2063,2063-12-26,445557.66
p99,2065,2065-01-20,432385.88
p99,2065,2065-01-21,511955.35
p99,2069,2069-12-22,431927.81
p99,2069,2069-12-23,440258.55
p99,2074,2074-01-16,452528.68
p99,2074,2074-01-19,483388.47
p99,2076,2076-02-04,427130.2
p99,2076,2076-02-05,451707.43
p99,2094,2094-01-07,454812.78
p99,2095,2095-01-08,406693.84
p99,2095,2095-02-15,421885.41000000003
p99,2095,2095-02-16,429310.56
p99,2095,2095-02-19,403355.30999999994
p99,2095,2095-02-20,429626.31999999995
p99,2098,2098-01-05,411310.18
p99,2098,2098-01-06,441949.66000000003
p99,2098,2098-01-07,438818.93
p99,2099,2099-01-31,408278.58
