rb,Year,Date,Load_sum
p99,2020,2020-03-03,441860.54789813684
p99,2020,2020-12-25,406683.4381509238
p99,2021,2021-01-05,492673.9862393689
p99,2021,2021-01-11,481779.29646096716
p99,2021,2021-01-12,505666.73230763397
p99,2021,2021-01-13,487952.71970451344
p99,2022,2022-01-10,522924.6267166647
p99,2022,2022-01-11,572335.6597102882
p99,2022,2022-01-12,505968.9525708477
p99,2022,2022-01-17,526427.3393760325
p99,2022,2022-01-18,500922.9968549212
p99,2022,2022-01-27,495773.56733728456
p99,2023,2023-12-24,441305.71395680367
p99,2023,2023-12-25,521809.00882837013
p99,2023,2023-12-26,543350.2253434773
p99,2024,2024-01-20,474127.5634198311
p99,2024,2024-01-21,489698.80072994233
p99,2024,2024-01-22,519805.1617396797
p99,2025,2025-01-20,512555.7294647792
p99,2025,2025-01-21,638619.3973399788
p99,2025,2025-01-22,533623.5547607032
p99,2026,2026-01-28,532807.7838562094
p99,2027,2027-01-24,488324.68128582445
p99,2027,2027-01-27,532125.2179487561
p99,2027,2027-01-28,526916.4929164143
p99,2028,2028-01-06,543417.1834354068
p99,2028,2028-01-07,536008.9459690639
p99,2029,2029-12-22,562367.0575218693
p99,2029,2029-12-23,563309.272100962
p99,2029,2029-12-24,549065.5079300426
p99,2029,2029-12-25,476505.81827804237
p99,2033,2033-03-15,519829.54274189274
p99,2034,2034-01-16,590574.2238815282
p99,2034,2034-01-19,657497.7178080752
p99,2034,2034-01-20,578148.4458099831
p99,2035,2035-02-06,567880.151317575
p99,2036,2036-01-11,582126.2420465675
p99,2036,2036-02-04,597530.5321637887
p99,2036,2036-02-05,637848.330908042
p99,2036,2036-02-06,564026.8209681949
p99,2037,2037-01-19,576410.6992111787
p99,2040,2040-01-28,576085.0768410772
p99,2045,2045-01-24,632500.3113886949
p99,2047,2047-02-06,630999.6099824737
p99,2049,2049-01-17,642278.4050639484
p99,2049,2049-03-03,640603.1030464951
p99,2049,2049-03-04,597545.6914056566
p99,2054,2054-01-07,760780.0649349019
p99,2054,2054-01-23,724416.6866693802
p99,2054,2054-01-24,685970.9307813316
p99,2054,2054-03-04,638944.2154152893
p99,2055,2055-01-08,732913.2379628274
p99,2055,2055-02-15,697739.905760496
p99,2055,2055-02-16,730637.8347642961
p99,2055,2055-02-19,722059.3013277142
p99,2055,2055-02-20,731080.5110144634
p99,2057,2057-01-09,731418.8010228777
p99,2058,2058-01-05,726648.9497270585
p99,2058,2058-01-06,736693.2771819382
p99,2058,2058-01-07,773285.919287695
p99,2059,2059-01-31,779464.8656757928
p99,2062,2062-01-10,809863.8397589338
p99,2062,2062-01-11,884350.4895215041
p99,2062,2062-01-17,841626.8677014672
p99,2062,2062-01-18,769701.6772974709
p99,2063,2063-12-25,793264.6792440917
p99,2063,2063-12-26,830750.4683234842
p99,2065,2065-01-20,827810.2762859573
p99,2065,2065-01-21,966854.4111547217
p99,2067,2067-01-27,815127.2806070213
p99,2069,2069-12-22,858850.036977807
p99,2074,2074-01-16,950592.5665466395
p99,2074,2074-01-19,1011370.5807181862
p99,2076,2076-01-11,852507.3628258712
p99,2076,2076-02-05,962330.4169536639
p99,2076,2076-02-06,858810.3801807966
p99,2094,2094-01-07,1177464.5199504145
p99,2095,2095-02-20,1129504.0872621897
p99,2098,2098-01-07,1190890.5002963813
