rb,Year,Date,Load_sum
p3,2020,2020-07-21,259110.65329251037
p3,2020,2020-07-22,262330.82470089034
p3,2020,2020-07-23,248669.07371825835
p3,2021,2021-07-04,223617.48803370135
p3,2021,2021-07-27,260408.95665337675
p3,2021,2021-07-28,250739.29391791276
p3,2021,2021-08-06,255842.00277039077
p3,2021,2021-08-07,245082.3399337927
p3,2021,2021-08-08,248342.20142683538
p3,2021,2021-08-09,266790.43334109685
p3,2021,2021-08-10,263519.67851178866
p3,2021,2021-08-11,265498.1109721479
p3,2021,2021-08-12,257876.05570150548
p3,2021,2021-08-13,255834.10910826185
p3,2021,2021-08-14,239275.56964331912
p3,2021,2021-08-15,236197.34172854284
p3,2021,2021-08-16,252772.10666338756
p3,2021,2021-08-17,252790.3313617896
p3,2021,2021-08-18,253161.5094048666
p3,2021,2021-08-19,249363.9763161929
p3,2021,2021-08-23,247637.52815971305
p3,2021,2021-08-24,244323.89301363047
p3,2021,2021-09-07,244333.84073895012
p3,2021,2021-09-08,247414.33030217994
p3,2021,2021-09-15,239826.8694863824
p3,2021,2021-09-16,244744.8930364259
p3,2021,2021-09-17,244316.35841977753
p3,2022,2022-06-18,236083.28535148996
p3,2022,2022-06-19,222144.6419095231
p3,2022,2022-06-20,230906.4268315005
p3,2022,2022-07-25,252356.5248553165
p3,2022,2022-07-26,256408.27307631797
p3,2022,2022-07-27,260866.08658719703
p3,2022,2022-07-28,256041.8310147465
p3,2022,2022-07-29,255350.137645281
p3,2022,2022-07-30,234283.8372815862
p3,2022,2022-08-07,239718.51152803205
p3,2022,2022-08-08,258896.0622318245
p3,2022,2022-08-09,247962.4710667028
p3,2022,2022-08-19,247331.25430710442
p3,2022,2022-08-20,235699.26309558772
p3,2022,2022-08-21,231484.6553705974
p3,2022,2022-08-24,251098.19139789176
p3,2022,2022-08-25,251851.01489865463
p3,2022,2022-09-02,248032.79750799673
p3,2023,2023-05-28,232115.76440825997
p3,2023,2023-05-29,228783.76975108575
p3,2023,2023-05-30,244675.188387587
p3,2023,2023-07-30,235533.60265437592
p3,2023,2023-07-31,257889.08177813492
p3,2023,2023-08-01,248485.04579721973
p3,2023,2023-08-06,233627.36218301003
p3,2023,2023-08-07,258401.16565457208
p3,2023,2023-08-08,255077.67754328746
p3,2024,2024-07-16,259404.84772945294
p3,2024,2024-07-17,257744.28632501155
p3,2024,2024-07-24,259973.99240384638
p3,2024,2024-07-25,260519.3349076995
p3,2024,2024-07-26,249682.96648947007
p3,2024,2024-08-08,253449.15455074148
p3,2024,2024-08-09,256675.0800642665
p3,2024,2024-08-10,234265.08464904776
p3,2025,2025-06-18,256006.26409117004
p3,2025,2025-06-19,230618.28931849636
p3,2025,2025-07-02,256969.18551289372
p3,2025,2025-07-03,256772.05113504673
p3,2025,2025-07-04,229144.70735281467
p3,2025,2025-07-07,255459.436513411
p3,2025,2025-07-08,259805.77948429686
p3,2025,2025-07-09,263801.16013930144
p3,2025,2025-07-10,257055.76427598376
p3,2025,2025-07-18,258189.7742518689
p3,2025,2025-07-19,242526.73378675003
p3,2025,2025-07-20,240333.1899942937
p3,2025,2025-07-21,254548.09179814128
p3,2025,2025-07-22,253009.23831434414
p3,2025,2025-07-26,234353.6073990699
p3,2025,2025-07-27,234197.88889317244
p3,2025,2025-07-28,256594.64390887858
p3,2025,2025-07-29,260211.3607602098
p3,2025,2025-07-30,250899.42270149343
p3,2025,2025-08-24,230466.14095011703
p3,2025,2025-08-25,246853.94671833227
p3,2026,2026-05-30,237336.70938867424
p3,2026,2026-05-31,240652.96493698223
p3,2026,2026-06-01,258827.36342514312
p3,2026,2026-08-01,231320.83191928046
p3,2026,2026-08-02,238112.05483259732
p3,2026,2026-08-03,254036.5343366288
p3,2026,2026-08-06,251146.32810788474
p3,2026,2026-08-07,258850.85570673342
p3,2026,2026-08-08,240386.68882970637
p3,2026,2026-08-09,241649.717069125
p3,2026,2026-08-10,251204.21428613685
p3,2026,2026-08-14,252229.57933543454
p3,2026,2026-08-20,245093.7393334655
p3,2026,2026-08-26,252515.49513797276
p3,2026,2026-08-27,258437.8268398044
p3,2026,2026-08-28,252525.16889138403
p3,2027,2027-06-26,237351.8302935577
p3,2027,2027-06-27,236387.16570542683
p3,2027,2027-06-28,254873.47214854683
p3,2027,2027-06-29,262502.82719094766
p3,2027,2027-06-30,262433.46159587393
p3,2027,2027-07-01,257988.6598006987
p3,2027,2027-07-13,254748.80249859212
p3,2027,2027-07-14,258791.37748276466
p3,2027,2027-07-15,246083.11665608495
p3,2027,2027-08-08,240184.56879167998
p3,2027,2027-08-09,257370.90338623855
p3,2027,2027-08-10,241983.3159180557
p3,2027,2027-08-30,249349.99160794623
p3,2027,2027-08-31,253653.51668720072
p3,2027,2027-09-01,251092.86114191596
p3,2027,2027-09-02,236599.46682020742
p3,2028,2028-07-19,256007.28760786535
p3,2028,2028-07-20,262485.4799433962
p3,2028,2028-07-21,255585.19829289717
p3,2028,2028-07-24,252635.3258492031
p3,2028,2028-07-25,258251.8805187587
p3,2028,2028-07-26,261370.5595253131
p3,2028,2028-07-27,253383.90880905965
p3,2028,2028-08-04,250244.4641663385
p3,2028,2028-08-23,249340.37934534176
p3,2028,2028-08-24,252640.1074050059
p3,2028,2028-08-25,244563.1045457737
p3,2028,2028-08-27,231241.8262404573
p3,2028,2028-08-28,254261.9446935495
p3,2028,2028-08-29,246507.66367689223
p3,2028,2028-09-01,240987.9105733488
p3,2028,2028-09-02,228735.82365005667
p3,2028,2028-09-03,233242.34086343372
p3,2028,2028-09-04,232953.4981256898
p3,2028,2028-09-05,246574.34174668058
p3,2028,2028-09-06,235872.55470537115
p3,2029,2029-07-12,253875.7698667695
p3,2029,2029-08-06,254370.84734144097
p3,2029,2029-08-07,255306.95071310445
p3,2029,2029-08-08,251327.741321238
p3,2030,2030-06-22,238690.5979187744
p3,2030,2030-07-10,257761.81164284196
p3,2030,2030-07-11,267643.9400313629
p3,2030,2030-07-12,268328.39304156095
p3,2030,2030-07-13,241505.2980097094
p3,2030,2030-07-14,238347.929126388
p3,2030,2030-07-15,259362.6873758352
p3,2030,2030-07-16,253281.68416382052
p3,2030,2030-07-20,240055.15159464546
p3,2030,2030-07-21,243685.3145425585
p3,2030,2030-07-22,262970.96022924565
p3,2030,2030-07-23,248865.1855702519
p3,2030,2030-07-29,261809.174277288
p3,2030,2030-07-30,264622.06503472396
p3,2030,2030-07-31,253256.79048413874
p3,2030,2030-08-04,241378.61923186958
p3,2030,2030-08-05,261618.0533279826
p3,2030,2030-08-06,255021.3489708769
p3,2030,2030-08-07,252532.11059665075
p3,2030,2030-08-08,255484.95955595118
p3,2030,2030-08-09,255679.93232777563
p3,2030,2030-08-10,241596.8337104668
p3,2030,2030-08-11,244027.24837012257
p3,2030,2030-08-12,262654.58620014
p3,2030,2030-08-13,253119.70472280314
p3,2030,2030-09-06,245384.3072470105
p3,2031,2031-07-02,260200.07501150953
p3,2031,2031-07-03,262858.5644250124
p3,2031,2031-07-04,226939.5602781048
p3,2031,2031-07-23,263107.5957654376
p3,2031,2031-07-24,260876.75155346972
p3,2031,2031-08-17,240035.16866314242
p3,2031,2031-08-18,259020.45400363053
p3,2031,2031-08-19,258043.50574089892
p3,2031,2031-08-20,252881.24645272866
p3,2031,2031-08-21,252678.80641167166
p3,2031,2031-08-22,251462.26209877024
p3,2032,2032-06-21,256638.67647332468
p3,2032,2032-06-22,261720.6692551137
p3,2032,2032-06-23,265137.4874710757
p3,2032,2032-06-24,262966.9214230041
p3,2032,2032-06-25,260952.61667638412
p3,2032,2032-06-26,234166.99564323417
p3,2032,2032-06-27,236910.26575438643
p3,2032,2032-06-28,256367.89010446885
p3,2032,2032-07-16,253526.46012883662
p3,2032,2032-07-17,241374.9840896126
p3,2032,2032-07-18,242039.6747754083
p3,2032,2032-07-19,257357.4113038007
p3,2032,2032-07-20,250732.87801532506
p3,2032,2032-07-30,260100.10391024948
p3,2032,2032-07-31,243101.40860003492
p3,2032,2032-08-01,235390.72181815506
p3,2032,2032-08-02,245957.40600573557
p3,2032,2032-08-10,246367.52053027423
p3,2032,2032-08-11,256309.1791885335
p3,2032,2032-08-12,258963.68437529774
p3,2032,2032-08-13,262277.3223125184
p3,2032,2032-08-14,240981.38979426413
p3,2032,2032-08-15,235365.95459584123
p3,2032,2032-08-16,249842.34420798538
p3,2032,2032-08-17,255141.92986866453
p3,2032,2032-08-18,253326.8391533412
p3,2032,2032-08-19,249315.90387585392
p3,2033,2033-08-03,256897.49197113575
p3,2033,2033-08-04,260447.58525638556
p3,2033,2033-08-05,259859.56430947152
p3,2034,2034-07-16,239033.15407424557
p3,2034,2034-07-19,253864.60668048257
p3,2034,2034-07-20,264908.5458987081
p3,2034,2034-07-21,268770.14646508906
p3,2034,2034-07-22,248904.48715876162
p3,2034,2034-07-23,244928.85426228485
p3,2034,2034-07-24,262514.18831151427
p3,2034,2034-07-25,251123.48690880413
p3,2034,2034-07-27,253920.54748071093
p3,2034,2034-07-28,253635.2728798639
p3,2034,2034-07-29,234741.9637719402
p3,2034,2034-08-01,251473.81445427035
p3,2034,2034-08-02,256129.21664791586
p3,2034,2034-08-03,255561.14740111498
p3,2034,2034-08-04,253327.09870256853
p3,2034,2034-08-11,251729.51143699032
p3,2034,2034-08-13,234622.8314293915
p3,2034,2034-08-14,250653.75704033373
p3,2035,2035-06-30,237806.71035262925
p3,2035,2035-07-17,259897.80544830175
p3,2035,2035-07-18,264208.18764700805
p3,2035,2035-07-19,264482.2663941763
p3,2035,2035-07-20,259822.47409562452
p3,2035,2035-09-02,228068.65988188641
p3,2036,2036-07-13,244951.1673945591
p3,2036,2036-07-14,269747.73652940174
p3,2036,2036-07-15,262997.2964167285
p3,2036,2036-07-23,261723.39749186893
p3,2036,2036-07-24,265241.5786311476
p3,2036,2036-07-25,263271.00330611574
p3,2036,2036-07-26,246076.15402275752
p3,2036,2036-07-27,247458.2872798893
p3,2036,2036-07-28,265839.1830279617
p3,2036,2036-07-29,261728.5701254763
p3,2036,2036-08-08,254600.4899035833
p3,2036,2036-08-09,237620.91859473646
p3,2036,2036-08-10,241778.66841210416
p3,2036,2036-08-11,250132.38254289556
p3,2036,2036-08-13,252516.45703452587
p3,2036,2036-08-14,255375.787949447
p3,2036,2036-08-23,227523.46769109942
p3,2036,2036-08-24,235170.90604784907
p3,2036,2036-08-25,258136.46438423806
p3,2036,2036-08-26,256370.03285345118
p3,2036,2036-08-27,246195.76243263
p3,2036,2036-08-29,254756.725915993
p3,2036,2036-08-30,230601.2897766171
p3,2037,2037-08-03,254260.8588538649
p3,2037,2037-08-04,257108.1216171685
