rb,Year,Date,Load_sum
p1,2020,2020-07-21,259469.55
p1,2020,2020-07-22,262796.61
p1,2021,2021-08-06,256869.71000000002
p1,2021,2021-08-07,246152.78
p1,2021,2021-08-08,248581.77000000002
p1,2021,2021-08-09,267575.02
p1,2021,2021-08-10,263859.5
p1,2021,2021-08-11,266288.58999999997
p1,2021,2021-08-12,257566.35
p1,2021,2021-08-13,255480.55
p1,2021,2021-08-14,238741.74000000002
p1,2021,2021-08-18,253005.14
p1,2021,2021-08-19,247935.61
p1,2021,2021-08-23,247349.14
p1,2022,2022-07-26,256841.37
p1,2022,2022-07-27,261444.77
p1,2022,2022-07-28,256641.69
p1,2022,2022-08-07,240763.15
p1,2022,2022-08-08,258471.06
p1,2022,2022-08-19,247255.3
p1,2022,2022-08-20,236157.65000000002
p1,2022,2022-08-21,232197.44
p1,2023,2023-05-28,231116.88
p1,2023,2023-05-29,227880.04
p1,2023,2023-07-30,235607.38
p1,2023,2023-07-31,257379.81999999998
p1,2023,2023-08-07,258890.87
p1,2023,2023-08-08,256145.91000000003
p1,2024,2024-07-16,259129.27000000002
p1,2024,2024-07-17,257636.25
p1,2024,2024-07-24,259212.88
p1,2024,2024-07-25,260238.96000000002
p1,2024,2024-08-08,254511.23
p1,2024,2024-08-09,257588.72
p1,2024,2024-08-10,234606.99
p1,2025,2025-07-02,256089.66
p1,2025,2025-07-08,258987.77000000002
p1,2025,2025-07-09,263248.54000000004
p1,2025,2025-07-10,256818.44
p1,2025,2025-07-18,257970.74
p1,2025,2025-07-19,242682.68
p1,2025,2025-07-20,241083.72999999998
p1,2025,2025-07-21,256005.76
p1,2025,2025-07-22,252686.63
p1,2025,2025-07-27,234315.87
p1,2025,2025-07-28,256896.71000000002
p1,2025,2025-07-29,257384.38
p1,2025,2025-08-24,230751.07
p1,2026,2026-05-30,235578.81
p1,2026,2026-05-31,239078.39
p1,2026,2026-06-01,257327.91999999998
p1,2026,2026-08-02,239245.85
p1,2026,2026-08-03,254290.16000000003
p1,2026,2026-08-07,259202.96000000002
p1,2026,2026-08-08,240956.15000000002
p1,2026,2026-08-09,242247.24
p1,2026,2026-08-10,251297.09000000003
p1,2026,2026-08-26,251473.86
p1,2026,2026-08-27,256842.97000000003
p1,2026,2026-08-28,251895.88
p1,2027,2027-06-29,261736.27000000002
p1,2027,2027-06-30,261843.2
p1,2027,2027-07-01,258029.05
p1,2027,2027-07-14,258596.2
p1,2027,2027-07-15,245593.2
p1,2027,2027-08-08,241221.64
p1,2027,2027-08-09,258098.27000000002
p1,2027,2027-08-31,252914.32
p1,2027,2027-09-01,250161.49
p1,2027,2027-09-02,235159.41000000003
p1,2028,2028-07-19,256495.41999999998
p1,2028,2028-07-20,263443.45999999996
p1,2028,2028-07-21,254794.61
p1,2028,2028-07-24,252143.1
p1,2028,2028-07-25,257770.38
p1,2028,2028-07-26,260877.41
p1,2028,2028-07-27,253097.38
p1,2028,2028-08-23,249632.72999999998
p1,2028,2028-08-24,252406.85
p1,2028,2028-08-25,243935.41
p1,2028,2028-08-28,253578.63
p1,2028,2028-08-29,245762.90000000002
p1,2028,2028-09-01,239990.64
p1,2028,2028-09-02,227895.12
p1,2028,2028-09-03,231944.08
p1,2028,2028-09-04,231413.33000000002
p1,2028,2028-09-05,244576.19
p1,2029,2029-07-12,253867.09999999998
p1,2029,2029-08-06,255139.91999999998
p1,2029,2029-08-07,256106.12
p1,2029,2029-08-08,252565.94
p1,2030,2030-07-10,256541.46000000002
p1,2030,2030-07-11,266317.09
p1,2030,2030-07-12,266131.84
p1,2030,2030-07-13,239655.32
p1,2030,2030-07-15,258559.93
p1,2030,2030-07-16,252175.81
p1,2030,2030-07-21,241863.30000000002
p1,2030,2030-07-22,261552.41999999998
p1,2030,2030-07-29,262127.12
p1,2030,2030-07-30,264783.32
p1,2030,2030-07-31,251777.52000000002
p1,2030,2030-08-04,241820.68
p1,2030,2030-08-05,262349.44
p1,2030,2030-08-06,255110.7
p1,2030,2030-08-08,254869.77
p1,2030,2030-08-09,255564.52000000002
p1,2030,2030-08-10,242390.66999999998
p1,2030,2030-08-11,244471.1
p1,2030,2030-08-12,263168.94999999995
p1,2030,2030-08-13,253687.96000000002
p1,2031,2031-07-23,262585.71
p1,2031,2031-07-24,258572.59
p1,2031,2031-08-18,258960.13
p1,2031,2031-08-19,257660.38
p1,2032,2032-06-21,255269.98
p1,2032,2032-06-22,261326.72
p1,2032,2032-06-23,264632.16000000003
p1,2032,2032-06-24,262509.96
p1,2032,2032-06-25,259634.33000000002
p1,2032,2032-07-17,240739.26
p1,2032,2032-07-18,241178.01
p1,2032,2032-07-19,255754.68
p1,2032,2032-07-30,260904.55
p1,2032,2032-07-31,243195.32
p1,2032,2032-08-01,235592.91999999998
p1,2032,2032-08-02,245277.64
p1,2032,2032-08-10,247412.2
p1,2032,2032-08-11,257644.64
p1,2032,2032-08-12,260412.68
p1,2032,2032-08-13,262983.87
p1,2032,2032-08-14,240048.95
p1,2032,2032-08-15,234480.91999999998
p1,2032,2032-08-16,249598.66999999998
p1,2032,2032-08-17,255688.07
p1,2032,2032-08-18,253841.59999999998
p1,2033,2033-08-03,257281.27999999997
p1,2033,2033-08-04,261427.25
p1,2033,2033-08-05,260700.46000000002
p1,2034,2034-07-20,264453.88
p1,2034,2034-07-21,267912.79000000004
p1,2034,2034-07-22,247217.85
p1,2034,2034-07-23,242795.13999999998
p1,2034,2034-07-24,261978.81
p1,2034,2034-07-25,249950.90999999997
p1,2034,2034-07-27,253194.95
p1,2034,2034-07-28,252877.66999999998
p1,2034,2034-08-02,255172.44
p1,2034,2034-08-03,256274.21999999997
p1,2034,2034-08-13,234959.28
p1,2034,2034-08-14,250810.25
p1,2035,2035-07-17,258963.37
p1,2035,2035-07-18,262825.63
p1,2035,2035-07-19,263534.6
p1,2035,2035-07-20,258538.65000000002
p1,2036,2036-07-13,243682.82
p1,2036,2036-07-14,268410.74
p1,2036,2036-07-15,260681.47000000003
p1,2036,2036-07-23,261539.08000000002
p1,2036,2036-07-24,264657.08
p1,2036,2036-07-25,262799.38
p1,2036,2036-07-26,245429.16999999998
p1,2036,2036-07-27,246379.97
p1,2036,2036-07-28,265561.58999999997
p1,2036,2036-07-29,258603.35
p1,2036,2036-08-08,253997.87
p1,2036,2036-08-09,237032.46000000002
p1,2036,2036-08-10,240345.15
p1,2036,2036-08-11,248927.19
p1,2036,2036-08-13,251741.97999999998
p1,2036,2036-08-14,254508.65
p1,2036,2036-08-24,234416.07
p1,2036,2036-08-25,256406.97
p1,2036,2036-08-26,254427.7
p1,2036,2036-08-27,245400.22999999998
p1,2036,2036-08-29,252983.11000000002
