rb,Year,Date,Load_sum
p3,2020,2020-01-26,320933.10178146785
p3,2020,2020-01-27,344933.1465876345
p3,2020,2020-01-28,352463.3963948022
p3,2020,2020-01-29,355296.640167487
p3,2020,2020-01-30,343538.3783933517
p3,2020,2020-01-31,331018.8297255144
p3,2022,2022-01-05,327663.20480635477
p3,2022,2022-01-06,359613.8340226518
p3,2022,2022-01-07,335567.9688178034
p3,2023,2023-12-19,345128.3053386986
p3,2023,2023-12-20,364576.1587074435
p3,2023,2023-12-21,379326.6260892539
p3,2023,2023-12-22,390602.2400090044
p3,2023,2023-12-23,370153.8032650452
p3,2023,2023-12-24,360382.1727076764
p3,2023,2023-12-25,326287.3852942594
p3,2024,2024-12-18,349012.1379076523
p3,2024,2024-12-19,352726.0167663706
p3,2024,2024-12-20,346383.68977036054
p3,2025,2025-02-02,295310.4418083078
p3,2025,2025-02-03,311126.0824446467
p3,2025,2025-02-04,321199.73426699487
p3,2025,2025-11-21,334344.61541463685
p3,2025,2025-11-22,327075.31483619555
p3,2025,2025-11-23,347488.48568318994
p3,2025,2025-11-24,361175.4721174658
p3,2025,2025-11-25,359738.94020910445
p3,2025,2025-11-26,339548.5566411774
p3,2025,2025-11-27,318617.8638726993
p3,2025,2025-11-28,350383.10223476466
p3,2025,2025-11-29,336361.214477148
p3,2025,2025-11-30,336226.7063740287
p3,2025,2025-12-01,373036.4484488808
p3,2025,2025-12-02,345439.7217638013
p3,2029,2029-02-01,319857.48698605434
p3,2029,2029-02-02,362810.84479609504
p3,2029,2029-02-03,358228.93265325594
p3,2029,2029-02-04,333568.01354823785
p3,2029,2029-02-05,319868.9523475793
p3,2029,2029-03-03,291118.2760311151
p3,2030,2030-02-14,322991.21242597885
p3,2030,2030-12-19,360119.7219161268
p3,2030,2030-12-20,394194.6687270924
p3,2030,2030-12-21,377307.7532269249
p3,2030,2030-12-22,375029.3311705703
p3,2030,2030-12-23,375041.04155876744
p3,2030,2030-12-24,360417.71640722407
p3,2030,2030-12-28,315713.9006207168
p3,2030,2030-12-29,374829.4028795509
p3,2030,2030-12-30,380041.597447552
p3,2031,2031-01-05,317908.27951123257
p3,2033,2033-01-02,322454.2165685511
p3,2033,2033-01-03,327902.88023802865
p3,2033,2033-01-06,335347.4360848719
p3,2033,2033-01-07,327298.6987203833
p3,2033,2033-01-08,324948.7238418557
p3,2033,2033-01-10,331997.7153554021
p3,2033,2033-01-11,336372.9190105773
p3,2033,2033-01-12,331906.8206683097
p3,2036,2036-01-29,340034.84554037446
p3,2036,2036-01-30,356783.9064038697
p3,2036,2036-01-31,343573.082067105
p3,2036,2036-02-01,316347.0962197185
p3,2036,2036-02-02,311323.77759611135
p3,2036,2036-02-03,312579.8381704589
p3,2038,2038-01-11,334202.3428957749
p3,2038,2038-01-12,338109.6874361216
p3,2038,2038-12-20,361955.0958221472
p3,2038,2038-12-21,369313.91199804825
p3,2038,2038-12-22,357604.5384204588
p3,2038,2038-12-23,351766.6621927863
p3,2044,2044-01-04,339049.63873714214
p3,2044,2044-01-05,355675.92760736594
p3,2044,2044-01-06,349228.528004707
p3,2046,2046-02-17,304733.5868936274
p3,2046,2046-11-29,334179.34057826333
p3,2048,2048-12-15,353118.119109835
p3,2048,2048-12-16,353408.77469627553
p3,2048,2048-12-17,348812.68639353645
p3,2048,2048-12-19,332938.1601876142
p3,2048,2048-12-20,351320.8764630405
p3,2048,2048-12-21,354309.4236283661
p3,2049,2049-12-08,354646.87327494955
p3,2050,2050-11-23,337416.6226103288
p3,2050,2050-11-24,336090.16728067625
p3,2051,2051-02-25,313705.3000216895
p3,2051,2051-02-26,314781.1418762666
p3,2053,2053-12-07,333852.025233699
p3,2053,2053-12-08,364713.0729778076
p3,2054,2054-02-05,321127.15764130023
p3,2054,2054-02-06,329251.92435489304
p3,2056,2056-12-17,337262.62595742615
p3,2056,2056-12-18,346892.6872492614
p3,2057,2057-01-03,328728.4206727086
p3,2057,2057-01-05,327987.6635751554
p3,2057,2057-01-06,329744.66487126495
p3,2057,2057-01-12,331588.22377904
p3,2057,2057-01-13,325023.307972402
p3,2060,2060-01-27,338275.8541553662
p3,2060,2060-01-28,345916.0352597564
p3,2060,2060-01-29,347878.2415595963
p3,2060,2060-01-30,338180.2239829772
p3,2062,2062-01-06,356195.882770391
p3,2062,2062-01-07,326944.2691469702
p3,2063,2063-12-20,358019.27018464415
p3,2063,2063-12-21,372151.9189794344
p3,2063,2063-12-22,360410.69113031204
p3,2063,2063-12-23,365206.27192143095
p3,2063,2063-12-24,380500.66662582423
p3,2065,2065-02-03,312345.1100803541
p3,2065,2065-02-04,321974.4095784168
p3,2065,2065-11-22,327685.7510589592
p3,2065,2065-11-23,369766.8953057668
p3,2065,2065-11-24,361210.31582334894
p3,2065,2065-11-25,358905.0663207271
p3,2065,2065-11-26,319221.4132176482
p3,2065,2065-11-28,330749.7936587901
p3,2065,2065-11-29,336437.68231316784
p3,2065,2065-11-30,356786.3772663877
p3,2065,2065-12-01,372509.35988017975
p3,2069,2069-02-01,322986.79740325786
p3,2069,2069-02-02,358335.93689996615
p3,2069,2069-02-03,361542.0933061036
p3,2069,2069-02-04,346346.3557949824
p3,2069,2069-02-05,324449.3486481478
p3,2069,2069-03-03,293799.18666455837
p3,2070,2070-02-14,326950.7661619155
p3,2070,2070-12-19,361702.41587366606
p3,2070,2070-12-20,369332.420113828
p3,2070,2070-12-21,378899.0463279629
p3,2070,2070-12-22,400488.066096212
p3,2070,2070-12-23,377860.1971059576
p3,2070,2070-12-24,362255.12062534003
p3,2070,2070-12-29,405069.8291318353
p3,2070,2070-12-30,384565.2773962233
p3,2071,2071-01-05,329894.0039735182
p3,2073,2073-01-06,338236.91421144543
p3,2073,2073-01-07,324281.7215511494
p3,2073,2073-01-11,340148.116869653
p3,2073,2073-01-12,336826.4311142528
p3,2076,2076-01-29,343178.0940040754
p3,2076,2076-01-30,359166.81351063825
p3,2076,2076-01-31,346310.712211409
p3,2076,2076-02-01,312930.1485636246
p3,2076,2076-02-02,313030.40538243164
p3,2076,2076-02-03,321187.98617299495
p3,2078,2078-12-20,361396.2765995235
p3,2078,2078-12-21,368931.48314049386
p3,2078,2078-12-22,357585.0044474264
p3,2084,2084-01-04,340097.3297621366
p3,2084,2084-01-05,357968.1244307203
p3,2084,2084-01-06,351724.9787567
p3,2088,2088-12-16,355030.22834366385
p3,2088,2088-12-20,373470.39632701623
p3,2088,2088-12-21,357752.69425265037
p3,2090,2090-11-24,358455.54204757547
p3,2091,2091-02-25,318044.4700743681
p3,2093,2093-12-08,365566.0177093673
p3,2094,2094-02-05,325508.766212785
p3,2094,2094-02-06,327572.3138634847
p3,2096,2096-12-17,360301.7262455996
p3,2096,2096-12-18,350412.60386699735
p3,2097,2097-01-12,325875.74406287435
