rb,Year,Date,Load_sum
p116,2020,2020-03-03,111669.87
p116,2021,2021-01-12,119104.81
p116,2022,2022-01-10,124273.59
p116,2022,2022-01-11,130150.48
p116,2022,2022-01-17,124627.54
p116,2022,2022-01-18,114411.88
p116,2023,2023-12-24,109098.01000000001
p116,2023,2023-12-25,105817.86
p116,2023,2023-12-26,122605.26000000001
p116,2024,2024-01-21,115458.56
p116,2025,2025-01-20,119795.11
p116,2025,2025-01-21,138555.18
p116,2025,2025-12-26,116282.18
p116,2026,2026-01-28,119544.20999999999
p116,2028,2028-01-06,122237.09
p116,2029,2029-12-16,107594.08
p116,2029,2029-12-22,117059.95999999999
p116,2029,2029-12-23,115889.5
p116,2029,2029-12-24,120186.39
p116,2033,2033-03-15,109807.19
p116,2034,2034-01-15,114320.62
p116,2034,2034-01-16,118248.45
p116,2034,2034-01-18,121431.10999999999
p116,2034,2034-01-19,141679.64
p116,2034,2034-01-20,121988.03
p116,2034,2034-01-21,111670.43
p116,2035,2035-02-12,115353.01000000001
p116,2036,2036-02-04,118687.98000000001
p116,2036,2036-02-05,117865.95
p116,2037,2037-01-17,112196.89
p116,2044,2044-01-31,109628.41
p116,2049,2049-01-16,110438.70999999999
p116,2054,2054-01-07,126606.69
p116,2054,2054-01-22,116979.75
p116,2054,2054-01-24,112222.95
p116,2054,2054-01-28,122096.28
p116,2054,2054-01-29,120480.28
p116,2055,2055-02-15,112777.23
p116,2055,2055-02-19,120860.79000000001
p116,2055,2055-02-20,112727.43
p116,2055,2055-03-06,97515.32
p116,2058,2058-01-05,109076.29000000001
p116,2059,2059-01-30,112916.20999999999
p116,2059,2059-01-31,123146.93000000001
p116,2060,2060-03-03,108994.2
p116,2062,2062-01-10,121392.76000000001
p116,2062,2062-01-11,126526.28
p116,2062,2062-01-17,131113.0
p116,2063,2063-12-24,113721.25
p116,2063,2063-12-25,102745.93
p116,2063,2063-12-26,119632.59
p116,2064,2064-01-21,115245.81
p116,2065,2065-01-20,123690.63
p116,2065,2065-01-21,133314.59999999998
p116,2069,2069-12-22,114515.98999999999
p116,2069,2069-12-23,120066.43000000001
p116,2069,2069-12-24,116678.56
p116,2073,2073-03-15,107774.6
p116,2074,2074-01-16,120859.85
p116,2074,2074-01-18,117373.95999999999
p116,2074,2074-01-19,134469.13
p116,2076,2076-02-05,114981.32
p116,2094,2094-01-07,125156.47
p116,2094,2094-01-24,110367.54000000001
p116,2094,2094-01-28,120071.49
p116,2094,2094-01-29,118571.57
p116,2095,2095-02-15,119068.09
p116,2095,2095-02-19,110991.97
p116,2095,2095-02-20,111439.65
p116,2095,2095-03-06,97251.41
p116,2099,2099-01-31,111933.19
