rb,Year,Date,Load_sum
p78,2020,2020-07-07,230421.34999999998
p78,2020,2020-07-08,233160.69999999998
p78,2020,2020-07-11,220108.6
p78,2020,2020-07-15,255172.29
p78,2020,2020-08-07,250151.26
p78,2020,2020-08-08,214020.46
p78,2020,2020-08-19,245420.52999999997
p78,2020,2020-08-20,250860.15999999997
p78,2021,2021-07-07,234276.90999999997
p78,2021,2021-07-08,246867.74
p78,2021,2021-07-09,230669.94
p78,2021,2021-07-12,230473.75
p78,2021,2021-07-13,238728.43
p78,2021,2021-08-12,211309.47999999998
p78,2021,2021-08-13,219814.33000000002
p78,2022,2022-07-17,225743.48
p78,2023,2023-06-26,250543.51
p78,2023,2023-07-11,244301.88999999998
p78,2023,2023-07-14,248119.96
p78,2023,2023-07-19,257841.72000000003
p78,2023,2023-07-20,264221.63
p78,2023,2023-07-21,265083.85000000003
p78,2023,2023-07-28,240788.94000000003
p78,2023,2023-08-06,211974.58
p78,2023,2023-08-16,236478.03
p78,2023,2023-08-17,238288.23
p78,2023,2023-08-18,247117.47999999998
p78,2023,2023-08-19,212148.44999999998
p78,2023,2023-08-20,198974.07
p78,2023,2023-08-27,209542.99
p78,2023,2023-08-29,230915.84999999998
p78,2023,2023-09-03,181372.71
p78,2023,2023-09-04,182909.59
p78,2023,2023-09-09,186395.28
p78,2024,2024-07-23,249520.68
p78,2024,2024-08-06,253485.46
p78,2024,2024-08-28,229118.51
p78,2024,2024-08-29,219936.21
p78,2024,2024-09-07,169657.14
p78,2025,2025-07-08,243918.81
p78,2025,2025-09-03,224409.47999999998
p78,2025,2025-09-06,206961.88999999996
p78,2025,2025-09-07,206116.84999999998
p78,2026,2026-07-05,221216.16
p78,2026,2026-07-17,251838.6
p78,2026,2026-07-18,228336.96000000002
p78,2026,2026-07-19,230220.86
p78,2027,2027-06-13,196584.69
p78,2027,2027-06-14,233141.34
p78,2027,2027-06-16,213850.68
p78,2027,2027-06-17,223896.98
p78,2027,2027-06-18,186327.87
p78,2027,2027-07-10,225840.22000000003
p78,2027,2027-07-11,227754.29
p78,2027,2027-07-18,211464.27000000002
p78,2027,2027-07-19,247968.21
p78,2027,2027-07-20,263527.26
p78,2027,2027-07-21,257327.22000000003
p78,2027,2027-07-22,251331.95
p78,2027,2027-07-23,248139.73
p78,2027,2027-07-24,221050.93
p78,2027,2027-07-29,232464.21000000002
