rb,Year,Date,Load_sum
p46,2020,2020-07-07,238343.981945731
p46,2020,2020-07-11,227091.56064523273
p46,2021,2021-07-08,255203.3991311419
p46,2021,2021-07-12,237633.6786234458
p46,2023,2023-07-14,257612.07496106377
p46,2023,2023-07-20,273549.96328242705
p46,2023,2023-07-21,275679.5558734165
p46,2023,2023-08-19,215304.34862544655
p46,2023,2023-09-03,191249.39305326637
p46,2023,2023-09-09,196978.54709830985
p46,2024,2024-08-28,233938.5565861062
p46,2024,2024-08-29,223673.73656141548
p46,2025,2025-09-06,218115.7367339881
p46,2025,2025-09-07,215820.93151072558
p46,2026,2026-07-17,265405.9652896457
p46,2026,2026-07-18,239968.16543844398
p46,2027,2027-06-14,244646.62221775498
p46,2027,2027-07-11,238215.4931678741
p46,2027,2027-07-19,257391.73341345778
p46,2027,2027-07-20,270315.00286756945
p46,2027,2027-07-21,261903.244738302
p46,2027,2027-07-22,259290.8727752413
p46,2027,2027-07-23,255929.97328985616
p46,2027,2027-07-24,227482.165880267
p46,2027,2027-07-29,235179.34114519542
p46,2027,2027-07-30,248596.98700172835
p46,2027,2027-08-02,259790.5035697805
p46,2027,2027-08-03,255918.4071158261
p46,2027,2027-08-15,238129.2912285332
p46,2027,2027-08-16,265338.60128829954
p46,2027,2027-08-21,196321.50019481202
p46,2028,2028-06-19,188445.71960736744
p46,2028,2028-06-20,247384.48059204905
p46,2028,2028-06-21,235233.69469865068
p46,2028,2028-06-22,252265.17855787807
p46,2028,2028-06-25,212579.41784435452
p46,2028,2028-07-05,221070.03742946422
p46,2028,2028-07-06,235775.26368774957
p46,2028,2028-07-07,246480.51691684593
p46,2028,2028-07-08,220077.5682956371
p46,2028,2028-07-13,220645.45064692298
p46,2028,2028-07-14,235563.50959452233
p46,2028,2028-07-15,202881.4465577632
p46,2028,2028-07-16,221918.70489115943
p46,2028,2028-07-17,229103.19973701212
p46,2028,2028-07-27,225178.2797369858
p46,2028,2028-07-28,229481.9770061517
p46,2028,2028-07-29,203348.80794792707
p46,2028,2028-07-30,204841.23762243075
