rb,Year,Date,Load_sum
p78,2020,2020-08-07,258696.79292563477
p78,2021,2021-07-12,241071.39044627792
p78,2023,2023-07-21,271922.1942451074
p78,2023,2023-08-19,222120.88039113607
p78,2023,2023-09-09,194886.82010757283
p78,2024,2024-08-28,239878.5443546374
p78,2027,2027-06-14,241823.6452967876
p78,2027,2027-07-19,257535.70340111895
p78,2027,2027-07-20,272552.5623429547
p78,2027,2027-07-21,260634.32322474426
p78,2027,2027-07-23,255775.96752298638
p78,2027,2027-08-02,264315.53914516576
p78,2028,2028-06-20,241920.87062551276
p78,2028,2028-06-21,230497.72566174928
p78,2028,2028-06-22,248578.60848243654
p78,2028,2028-06-25,209424.24007286294
p78,2028,2028-07-06,236915.72570396517
p78,2028,2028-07-07,245521.09195095205
p78,2028,2028-07-14,233353.5442065851
p78,2028,2028-07-15,202902.00698149257
p78,2028,2028-07-16,220495.01647399535
p78,2028,2028-07-27,219443.60468274407
p78,2028,2028-07-28,225941.09162348858
p78,2028,2028-07-29,201802.3272249735
p78,2028,2028-07-30,200888.40975168394
p78,2028,2028-07-31,215336.4999306573
p78,2028,2028-08-01,226655.68733503006
p78,2028,2028-08-02,242111.50153672602
p78,2028,2028-08-03,251252.4883323643
p78,2028,2028-08-07,220124.9165746521
p78,2028,2028-08-08,229232.67202006443
p78,2028,2028-08-11,238521.3908007129
p78,2028,2028-08-13,227917.69890730717
p78,2028,2028-08-14,261971.7630700249
p78,2028,2028-08-15,236834.67123453453
p78,2028,2028-08-16,235001.2452165879
p78,2028,2028-08-17,251458.2006307861
p78,2029,2029-07-09,249574.1405308065
p78,2029,2029-07-10,253220.17461278872
p78,2029,2029-07-27,256788.7716653137
p78,2029,2029-08-04,245255.1787256283
p78,2029,2029-08-05,229098.4018713304
p78,2030,2030-07-04,231306.6137246513
p78,2031,2031-08-26,233425.72014590557
p78,2035,2035-07-13,283637.73840662616
p78,2035,2035-07-14,251497.76622279992
p78,2039,2039-07-04,234789.02155122717
p78,2039,2039-07-24,230273.33218651143
p78,2039,2039-07-25,259560.41920078782
p78,2039,2039-07-29,268010.40762442444
p78,2039,2039-07-30,248127.79751258876
p78,2040,2040-08-31,232390.86583905667
p78,2041,2041-07-31,259914.89037565724
p78,2041,2041-08-06,251277.92554695715
p78,2041,2041-08-07,256992.2678256334
p78,2041,2041-08-08,259604.6895097533
p78,2041,2041-08-09,253904.85143969505
p78,2042,2042-07-21,256222.23789598298
p78,2042,2042-07-28,259742.76253654683
p78,2042,2042-07-30,245035.62490669978
p78,2043,2043-07-26,211811.86000960818
p78,2043,2043-08-16,211157.05925419304
p78,2043,2043-08-20,231652.38126935507
p78,2043,2043-08-21,247194.664719498
p78,2043,2043-08-24,216789.98931343952
p78,2043,2043-08-26,227200.5654559055
p78,2045,2045-07-17,260129.47411581507
p78,2045,2045-07-24,252349.6027304223
p78,2045,2045-07-25,250452.725076201
p78,2045,2045-08-01,239816.1799997562
p78,2045,2045-08-02,240322.09138251742
p78,2045,2045-08-03,244440.4274124213
p78,2045,2045-08-08,225847.6937996428
p78,2045,2045-08-09,237502.78070452478
p78,2045,2045-09-11,226328.28198563334
p78,2046,2046-07-15,231637.04183198855
p78,2046,2046-07-16,257320.86211361276
p78,2046,2046-07-17,265299.6155821796
p78,2046,2046-07-31,266866.2194939279
p78,2046,2046-08-01,263769.5460887614
p78,2047,2047-07-08,268375.00250970444
p78,2047,2047-07-31,247246.65887245545
p78,2047,2047-08-01,246067.76722790857
p78,2051,2051-07-20,277973.08243374026
p78,2052,2052-06-28,250479.26999623817
p78,2052,2052-07-03,262096.50171497534
p78,2052,2052-07-04,226240.03112487646
p78,2052,2052-07-05,268349.1449769243
p78,2052,2052-07-06,218263.59064775676
p78,2052,2052-07-16,255823.67754796162
p78,2052,2052-07-17,263267.3670419184
p78,2052,2052-07-21,205393.87488711017
p78,2052,2052-07-22,241877.37469777418
p78,2052,2052-07-23,249709.60508002996
p78,2052,2052-07-24,247719.04439592158
p78,2052,2052-07-25,228830.4378772048
p78,2052,2052-07-26,244473.4245222414
p78,2052,2052-08-01,244886.75238210923
p78,2052,2052-08-07,222000.70680937482
p78,2052,2052-08-30,228494.4811014211
p78,2052,2052-08-31,202340.01862469778
p78,2053,2053-08-26,252597.41520117703
