rb,Year,Date,Load_sum
p78,2022,2022-01-09,202416.83753920894
p78,2022,2022-01-10,230043.28915888755
p78,2022,2022-01-16,204676.98172330167
p78,2022,2022-01-17,221878.2033637247
p78,2022,2022-02-06,197062.32752789714
p78,2022,2022-02-10,222351.39508395275
p78,2023,2023-12-23,199681.9569541437
p78,2023,2023-12-24,199172.59137214272
p78,2024,2024-01-20,205811.84529477003
p78,2024,2024-01-21,207925.3523531682
p78,2025,2025-01-20,203190.24343474518
p78,2034,2034-01-18,237096.69946852812
p78,2034,2034-01-19,240403.02939876795
p78,2036,2036-01-31,239824.41604495762
p78,2036,2036-02-02,212038.1585268193
p78,2036,2036-02-03,214089.50731973813
p78,2036,2036-02-04,234310.93641294143
p78,2049,2049-01-15,242923.46751347822
p78,2049,2049-01-16,216883.80575760017
p78,2051,2051-02-10,234684.6119886106
p78,2054,2054-01-06,240377.20725671077
p78,2054,2054-01-07,243341.14995826996
p78,2054,2054-01-28,246768.87470913722
p78,2059,2059-01-30,246807.99555516808
p78,2059,2059-01-31,252114.750247663
p78,2062,2062-01-17,255149.4301577464
p78,2074,2074-01-18,252520.0718966737
p78,2074,2074-01-19,255656.04812037118
p78,2076,2076-02-02,224581.82355781237
p78,2076,2076-02-03,253831.44472072518
p78,2099,2099-01-31,238655.31253183703
