rb,Year,Date,Load_sum
p78,2022,2022-01-09,201167.20604188665
p78,2022,2022-01-10,228979.23705503962
p78,2022,2022-01-16,202898.45990678744
p78,2022,2022-01-17,220412.8958658405
p78,2022,2022-02-06,196434.58032224764
p78,2022,2022-02-10,221884.27428446818
p78,2023,2023-12-19,220483.0397550403
p78,2023,2023-12-23,199671.22634034557
p78,2023,2023-12-24,199296.68117494037
p78,2024,2024-01-20,204798.20308452344
p78,2024,2024-01-21,207083.6102278446
p78,2025,2025-01-20,202474.078069967
p78,2034,2034-01-18,238496.47551998257
p78,2034,2034-01-19,241685.90961669513
p78,2036,2036-01-31,239613.36710460854
p78,2036,2036-02-02,211763.4144767618
p78,2036,2036-02-03,213704.53224339127
p78,2036,2036-02-04,234076.75720995758
p78,2049,2049-01-15,242152.69706586245
p78,2049,2049-01-16,216454.33628475943
p78,2059,2059-01-30,246690.25467047843
p78,2059,2059-01-31,250877.1468831851
p78,2062,2062-01-17,254156.43708002052
p78,2074,2074-01-18,252802.4799418779
p78,2074,2074-01-19,255461.6207704897
p78,2076,2076-02-02,224729.17415811514
p78,2076,2076-02-03,253920.5355737377
