rb,Year,Date,Load_sum
p75,2022,2022-01-09,196280.54000000004
p75,2022,2022-01-10,223238.04
p75,2022,2022-01-16,198591.15
p75,2022,2022-01-17,215163.43
p75,2022,2022-02-06,191017.51
p75,2022,2022-02-10,216075.72
p75,2023,2023-12-24,193090.17
p75,2024,2024-01-20,198157.86000000002
p75,2024,2024-01-21,199759.29
p75,2025,2025-01-20,195515.06
p75,2034,2034-01-18,225148.12
p75,2034,2034-01-19,228567.16999999998
p75,2036,2036-01-31,226775.40999999997
p75,2036,2036-02-01,216884.63
p75,2036,2036-02-02,200044.86999999997
p75,2036,2036-02-03,202315.00999999998
p75,2036,2036-02-04,221490.56
p75,2049,2049-01-15,222322.77000000002
p75,2049,2049-01-16,198286.85
p75,2059,2059-01-30,221953.07
p75,2059,2059-01-31,226799.02999999997
p75,2062,2062-01-17,226760.58000000002
p75,2076,2076-02-02,192636.6
p75,2076,2076-02-03,217174.38999999998
