rb,Year,Date,Load_sum
p24,2020,2020-06-26,49439.71
p24,2020,2020-06-27,43578.240000000005
p24,2020,2020-07-06,53397.11
p24,2020,2020-07-07,53032.649999999994
p24,2020,2020-07-10,53986.770000000004
p24,2020,2020-07-11,50620.5
p24,2020,2020-07-22,54071.44
p24,2020,2020-07-23,54521.12
p24,2020,2020-07-24,53937.41
p24,2020,2020-07-28,53816.020000000004
p24,2020,2020-07-29,54116.96000000001
p24,2020,2020-08-06,52720.66
p24,2021,2021-06-26,47174.96
p24,2021,2021-07-05,49075.53
p24,2021,2021-07-06,53997.18
p24,2021,2021-07-07,53825.69
p24,2021,2021-07-11,51188.4
p24,2021,2021-07-12,53889.93
p24,2021,2021-07-29,53023.7
p24,2021,2021-07-30,53555.33
p24,2021,2021-08-02,52894.53999999999
p24,2021,2021-08-03,52834.8
p24,2021,2021-08-04,53046.86
p24,2021,2021-08-30,51525.92
p24,2022,2022-07-20,53927.83
p24,2022,2022-07-21,54377.03
p24,2022,2022-07-22,54351.909999999996
p24,2022,2022-08-01,52820.97
p24,2022,2022-08-02,51984.04
p24,2023,2023-07-06,53426.95
p24,2023,2023-07-08,49994.89
p24,2023,2023-07-13,53341.369999999995
p24,2023,2023-07-14,53984.66
p24,2023,2023-07-15,47925.78
p24,2023,2023-07-18,53679.16
p24,2023,2023-08-06,50767.33
p24,2023,2023-08-07,53973.46000000001
p24,2023,2023-08-08,53844.61
p24,2023,2023-08-09,53885.83
p24,2023,2023-08-10,53837.72
p24,2023,2023-08-11,53159.17
p24,2023,2023-09-01,50337.630000000005
p24,2024,2024-06-29,46898.32
p24,2024,2024-06-30,44550.4
p24,2024,2024-08-10,49705.89
p24,2024,2024-08-11,49831.19
p24,2025,2025-07-05,50626.84
p24,2025,2025-07-06,51334.03999999999
p24,2025,2025-07-07,54547.380000000005
p24,2025,2025-07-08,53999.66
p24,2025,2025-07-09,54189.100000000006
p24,2025,2025-07-10,54519.92
p24,2025,2025-07-11,54514.67
p24,2025,2025-07-16,54155.979999999996
p24,2025,2025-07-17,52893.32
p24,2025,2025-07-26,49620.14
p24,2025,2025-08-07,52205.53
p24,2025,2025-08-25,51720.02
p24,2025,2025-08-30,49136.7
p24,2025,2025-08-31,48895.66
p24,2026,2026-06-17,49324.2
p24,2026,2026-07-03,48362.53999999999
p24,2026,2026-07-04,43977.86
p24,2026,2026-08-18,53011.82
p24,2026,2026-08-19,52931.520000000004
p24,2027,2027-07-24,50115.83
p24,2028,2028-06-23,50271.84
p24,2028,2028-06-24,48769.850000000006
p24,2028,2028-06-25,47138.47
p24,2028,2028-06-26,48835.31
p24,2028,2028-07-03,53819.54
p24,2028,2028-07-05,52993.51
p24,2028,2028-07-06,53570.020000000004
p24,2028,2028-07-13,53231.24
p24,2028,2028-07-14,54567.72
p24,2028,2028-07-15,50547.94
p24,2028,2028-07-22,50896.25
p24,2028,2028-07-23,50413.520000000004
p24,2028,2028-07-24,53628.49
p24,2028,2028-07-25,54272.42
p24,2028,2028-07-30,51146.03
p24,2028,2028-07-31,54911.03
p24,2028,2028-08-01,52784.82
p24,2028,2028-08-14,52131.53
p24,2029,2029-06-19,45463.83
p24,2029,2029-06-20,48217.34
p24,2029,2029-07-03,54198.09
p24,2029,2029-07-04,49479.28
p24,2029,2029-07-05,55040.07
p24,2029,2029-07-06,54710.86
p24,2029,2029-07-07,51948.57
p24,2029,2029-07-08,52137.850000000006
p24,2029,2029-07-09,53827.92
p24,2029,2029-07-31,52796.67
p24,2030,2030-06-23,46043.16
p24,2030,2030-06-25,50016.729999999996
p24,2030,2030-06-26,50180.29
p24,2030,2030-06-27,50287.64
p24,2030,2030-06-30,48111.88
p24,2030,2030-07-01,54655.18000000001
p24,2030,2030-07-02,54098.59
p24,2030,2030-07-06,49546.02
p24,2030,2030-07-07,49750.68000000001
p24,2030,2030-08-07,52755.06
p24,2030,2030-08-08,53259.86
p24,2030,2030-08-09,53231.69
p24,2030,2030-08-10,50167.86
p24,2030,2030-09-12,48857.11
p24,2031,2031-07-06,49967.27
p24,2031,2031-07-14,53661.8
p24,2031,2031-07-15,54154.869999999995
p24,2031,2031-07-16,54273.880000000005
