rb,Year,Date,Load_sum
p22,2020,2020-06-26,49812.78
p22,2020,2020-06-27,43876.79
p22,2020,2020-07-06,53875.35999999999
p22,2020,2020-07-10,54396.450000000004
p22,2020,2020-07-11,51084.96
p22,2020,2020-07-23,54972.61
p22,2020,2020-07-28,54293.270000000004
p22,2020,2020-07-29,54435.95999999999
p22,2021,2021-06-26,47676.03
p22,2021,2021-07-06,54532.14
p22,2021,2021-07-07,54506.75
p22,2021,2021-07-11,51680.84
p22,2021,2021-07-12,54521.78
p22,2021,2021-08-02,53312.45
p22,2021,2021-08-03,53332.85
p22,2021,2021-08-04,53489.729999999996
p22,2022,2022-07-20,54396.35
p22,2022,2022-07-21,54764.02
p22,2022,2022-07-22,54671.20999999999
p22,2022,2022-08-01,53217.81
p22,2023,2023-07-06,53919.0
p22,2023,2023-07-08,50531.479999999996
p22,2023,2023-07-13,53894.049999999996
p22,2023,2023-07-14,54464.75
p22,2023,2023-07-15,48227.39
p22,2023,2023-07-18,54118.87
p22,2023,2023-07-19,54276.87999999999
p22,2023,2023-07-20,53860.72
p22,2023,2023-08-07,54469.240000000005
p22,2023,2023-08-08,54240.009999999995
p22,2023,2023-08-09,54224.8
p22,2023,2023-08-10,54136.87
p22,2023,2023-08-11,53502.649999999994
p22,2023,2023-09-01,50444.48
p22,2024,2024-06-29,47357.02
p22,2025,2025-07-05,51226.46000000001
p22,2025,2025-07-06,51758.799999999996
p22,2025,2025-07-07,54853.649999999994
p22,2025,2025-07-10,55005.72
p22,2025,2025-07-11,54777.759999999995
p22,2025,2025-07-16,54645.39
p22,2025,2025-08-30,49391.600000000006
p22,2025,2025-08-31,49210.56
p22,2026,2026-07-04,44335.369999999995
p22,2026,2026-08-18,53482.799999999996
p22,2026,2026-08-19,52983.740000000005
p22,2027,2027-07-24,50462.04000000001
p22,2028,2028-06-20,50520.02
p22,2028,2028-06-23,50853.2
p22,2028,2028-06-24,49376.0
p22,2028,2028-06-25,47746.13999999999
p22,2028,2028-07-03,54396.2
p22,2028,2028-07-04,47877.28999999999
p22,2028,2028-07-05,53323.74
p22,2028,2028-07-06,54131.78
p22,2028,2028-07-13,53788.31999999999
p22,2028,2028-07-14,55031.060000000005
p22,2028,2028-07-15,50985.62
p22,2028,2028-07-22,51441.969999999994
p22,2028,2028-07-23,50892.6
p22,2028,2028-07-24,54028.3
p22,2028,2028-07-30,51583.05
p22,2028,2028-07-31,55400.89
p22,2028,2028-08-11,52764.93
p22,2029,2029-06-19,45764.31
p22,2029,2029-06-20,48551.939999999995
p22,2029,2029-07-03,54696.24
p22,2029,2029-07-04,49862.060000000005
p22,2029,2029-07-05,55488.15
p22,2029,2029-07-07,52520.520000000004
p22,2029,2029-07-08,52540.35
p22,2029,2029-07-09,54738.36
p22,2030,2030-06-23,46512.64
p22,2030,2030-06-25,50497.630000000005
p22,2030,2030-06-26,50624.25
p22,2030,2030-06-27,51039.09
p22,2030,2030-06-28,50539.310000000005
p22,2030,2030-06-30,48230.09000000001
p22,2030,2030-07-01,55261.130000000005
p22,2030,2030-07-02,54705.06
p22,2030,2030-07-06,50195.659999999996
p22,2030,2030-07-07,50338.990000000005
p22,2030,2030-08-07,53214.79
p22,2030,2030-08-08,53654.450000000004
p22,2030,2030-08-09,53639.530000000006
p22,2030,2030-08-30,52364.850000000006
p22,2031,2031-07-06,50505.05
p22,2031,2031-07-14,54160.740000000005
p22,2031,2031-07-15,54688.31
p22,2031,2031-07-16,54831.66
p22,2031,2031-07-17,54776.810000000005
p22,2031,2031-07-18,53437.29
p22,2031,2031-07-29,54349.36
p22,2031,2031-07-30,53972.79
p22,2031,2031-07-31,54418.479999999996
p22,2031,2031-08-23,49915.280000000006
p22,2031,2031-08-25,52681.08
p22,2032,2032-08-08,50203.939999999995
p22,2032,2032-08-09,53520.91
p22,2033,2033-07-29,53893.64
p22,2034,2034-06-26,48642.77
p22,2034,2034-07-02,49945.25
p22,2034,2034-07-10,54632.76
p22,2034,2034-07-18,54449.06
p22,2034,2034-07-22,51168.92
p22,2034,2034-07-30,51769.770000000004
p22,2034,2034-08-05,50402.67999999999
p22,2034,2034-08-06,50643.78
p22,2034,2034-08-15,53225.68
p22,2034,2034-08-22,52629.63
p22,2034,2034-08-24,52416.84
p22,2034,2034-08-26,49598.09
p22,2034,2034-08-27,49888.189999999995
p22,2034,2034-09-09,46158.310000000005
p22,2035,2035-07-11,54360.55
p22,2035,2035-07-12,54083.66
p22,2035,2035-07-26,53148.45
p22,2035,2035-07-28,51411.61000000001
p22,2035,2035-07-29,51905.88
p22,2035,2035-07-30,53674.77
p22,2035,2035-08-06,53367.700000000004
p22,2035,2035-08-07,54326.21
p22,2035,2035-08-08,52601.46000000001
p22,2035,2035-08-10,53133.740000000005
p22,2035,2035-08-16,53264.340000000004
p22,2035,2035-08-17,53121.520000000004
p22,2035,2035-08-29,52670.23
p22,2035,2035-09-04,50959.27000000001
p22,2036,2036-06-26,49251.4
p22,2036,2036-07-02,54994.0
p22,2036,2036-07-03,55573.48
p22,2036,2036-07-04,49913.969999999994
p22,2036,2036-08-02,50044.29
p22,2036,2036-08-03,49453.420000000006
p22,2036,2036-08-11,53148.990000000005
p22,2036,2036-08-12,54073.53
p22,2036,2036-08-13,54293.939999999995
p22,2036,2036-08-17,49985.64000000001
p22,2036,2036-08-20,51622.47
p22,2036,2036-09-04,49112.090000000004
p22,2037,2037-07-10,53828.92
p22,2037,2037-07-15,54032.020000000004
p22,2037,2037-07-16,55188.21
p22,2037,2037-07-17,54867.05
p22,2037,2037-07-18,51298.64
p22,2038,2038-07-11,50183.93
p22,2038,2038-07-13,54409.03
p22,2038,2038-07-14,55017.49
p22,2038,2038-07-16,54991.75000000001
p22,2038,2038-07-17,52847.99
p22,2038,2038-07-18,53140.719999999994
p22,2038,2038-07-19,56075.590000000004
p22,2038,2038-07-20,55874.340000000004
p22,2038,2038-07-21,54835.47
p22,2038,2038-08-30,52915.78
p22,2038,2038-09-03,50290.520000000004
p22,2038,2038-09-04,48598.39
p22,2038,2038-09-05,48884.82
p22,2038,2038-09-06,46577.590000000004
p22,2039,2039-07-07,54958.58
p22,2039,2039-07-13,54561.95
p22,2039,2039-07-14,53807.08
p22,2039,2039-07-21,54336.51
p22,2039,2039-07-23,50788.03999999999
p22,2039,2039-07-24,51176.41
p22,2039,2039-07-25,54006.42
p22,2039,2039-07-27,54845.130000000005
p22,2039,2039-07-28,54818.14
p22,2039,2039-07-29,54213.200000000004
p22,2039,2039-08-08,52754.97000000001
p22,2039,2039-08-27,50377.68
p22,2040,2040-06-07,49504.57
p22,2040,2040-06-08,49602.740000000005
p22,2040,2040-07-08,51365.80000000001
p22,2040,2040-07-12,54448.53
p22,2040,2040-07-13,55439.350000000006
p22,2040,2040-07-14,52929.43000000001
p22,2040,2040-07-15,52647.71999999999
p22,2040,2040-07-16,53248.37
p22,2040,2040-07-23,54735.74
p22,2040,2040-07-24,54366.19
p22,2040,2040-07-26,54602.579999999994
p22,2040,2040-07-27,54856.96000000001
p22,2040,2040-07-28,51539.42
p22,2040,2040-07-29,52059.98
p22,2040,2040-07-30,55199.5
p22,2040,2040-07-31,55099.83
p22,2040,2040-08-01,54520.69
p22,2040,2040-08-02,54222.3
p22,2040,2040-08-03,53846.03
p22,2040,2040-08-04,51040.850000000006
p22,2040,2040-08-08,53793.600000000006
p22,2040,2040-08-09,54189.31
p22,2040,2040-08-10,53785.71
p22,2040,2040-08-11,51246.100000000006
p22,2040,2040-08-12,50165.21
