rb,Year,Date,Load_sum
p23,2020,2020-06-26,48892.392813925646
p23,2020,2020-06-27,43065.90053041195
p23,2020,2020-07-06,52737.10513480097
p23,2020,2020-07-10,53201.7918747956
p23,2020,2020-07-11,50101.09007699947
p23,2020,2020-07-29,53194.1624907214
p23,2020,2020-08-06,51924.32270157195
p23,2021,2021-07-05,48390.49690736075
p23,2021,2021-07-06,53156.287094454616
p23,2021,2021-07-07,53104.62328558052
p23,2021,2021-07-11,50336.89349988054
p23,2021,2021-08-02,52051.401068055085
p23,2021,2021-08-03,52082.73651268584
p23,2021,2021-08-04,52208.24550882011
p23,2022,2022-07-21,53404.067265218946
p23,2022,2022-07-22,53436.83735535689
p23,2022,2022-08-01,51886.59538496862
p23,2022,2022-08-02,50967.61882816383
p23,2023,2023-07-06,52305.3933284215
p23,2023,2023-07-08,49124.91028820533
p23,2023,2023-07-13,52466.076885148075
p23,2023,2023-07-14,53153.77392322111
p23,2023,2023-07-15,47094.40101195811
p23,2023,2023-07-18,52661.55840755461
p23,2023,2023-07-19,52786.434377067766
p23,2023,2023-08-06,49960.413104465195
p23,2023,2023-08-07,53090.286112401496
p23,2023,2023-08-08,52857.48137779509
p23,2023,2023-08-09,52788.58558638626
p23,2023,2023-08-10,52770.41886855051
p23,2023,2023-08-11,52009.17114865398
p23,2023,2023-09-01,49118.256696605786
p23,2024,2024-06-29,46049.405838377425
p23,2025,2025-07-05,49633.18613850192
p23,2025,2025-07-06,50208.67295741883
p23,2025,2025-07-07,53262.96443674257
p23,2025,2025-07-10,53353.575191828466
p23,2025,2025-07-11,53087.789531266775
p23,2025,2025-07-16,53020.263788503136
p23,2025,2025-07-17,51812.30157588602
p23,2025,2025-08-30,47881.95581190043
p23,2025,2025-08-31,47855.78359003564
p23,2026,2026-07-04,42924.125194607164
p23,2026,2026-08-18,51875.29182935094
p23,2026,2026-08-19,51451.86846346635
p23,2027,2027-07-24,48793.18340252286
p23,2027,2027-07-25,49051.294834766384
p23,2027,2027-08-05,51062.701376748046
p23,2028,2028-06-23,49074.03529378276
p23,2028,2028-06-24,47608.524077279326
p23,2028,2028-06-25,45961.11729708276
p23,2028,2028-07-03,52272.1791516343
p23,2028,2028-07-05,51560.64249831386
p23,2028,2028-07-06,52250.160599473085
p23,2028,2028-07-13,51847.868249318344
p23,2028,2028-07-14,53031.072641433624
p23,2028,2028-07-15,49302.33137041991
p23,2028,2028-07-22,49656.12027301359
p23,2028,2028-07-23,49129.499322425065
p23,2028,2028-07-24,52087.412228128545
p23,2028,2028-07-25,52720.80249113822
