rb,Year,Date,Load_sum
p24,2020,2020-01-27,57648.83
p24,2020,2020-01-28,57757.53
p24,2021,2021-02-10,55260.84999999999
p24,2021,2021-02-11,54306.07000000001
p24,2022,2022-02-04,56457.51
p24,2022,2022-02-05,52952.55
p24,2022,2022-02-09,55217.6
p24,2023,2023-12-20,54698.490000000005
p24,2023,2023-12-21,57884.899999999994
p24,2023,2023-12-22,57014.96000000001
p24,2023,2023-12-23,53355.71000000001
p24,2023,2023-12-24,54884.69
p24,2023,2023-12-25,50196.64
p24,2023,2023-12-28,54124.009999999995
p24,2024,2024-01-18,58546.23
p24,2024,2024-01-20,54211.229999999996
p24,2025,2025-01-30,57068.79
p24,2025,2025-01-31,58471.81
p24,2025,2025-02-01,53155.240000000005
p24,2025,2025-02-02,52580.770000000004
p24,2025,2025-02-04,55479.25
p24,2025,2025-12-01,54378.590000000004
p24,2025,2025-12-11,54412.35
p24,2029,2029-02-02,55703.51
p24,2029,2029-02-03,54767.84
p24,2029,2029-02-04,55260.899999999994
p24,2029,2029-02-05,57081.079999999994
p24,2029,2029-02-06,55875.46
p24,2029,2029-12-22,50783.490000000005
p24,2030,2030-12-20,57598.14
p24,2030,2030-12-21,55046.93000000001
p24,2030,2030-12-22,54322.520000000004
p24,2030,2030-12-23,56188.88
p24,2030,2030-12-29,52309.84
p24,2030,2030-12-30,55190.95
p24,2031,2031-01-29,56450.81
p24,2031,2031-11-02,48871.56
p24,2033,2033-02-16,55778.8
p24,2033,2033-02-17,55536.979999999996
p24,2036,2036-02-02,52797.23
p24,2036,2036-02-03,51915.04
p24,2037,2037-01-12,57969.61
p24,2037,2037-01-13,56935.2
p24,2038,2038-12-21,55014.659999999996
p24,2043,2043-02-24,54883.67
p24,2046,2046-02-17,53052.979999999996
p24,2046,2046-02-18,53098.840000000004
p24,2048,2048-01-22,56663.95
p24,2049,2049-01-27,56805.68
p24,2049,2049-12-09,54293.8
p24,2051,2051-02-01,55622.3
p24,2051,2051-02-02,55607.91
p24,2053,2053-12-06,51111.869999999995
p24,2054,2054-02-05,55892.810000000005
p24,2054,2054-02-06,56197.39
p24,2054,2054-12-30,54850.58
p24,2054,2054-12-31,54205.39
p24,2056,2056-12-17,50838.36
p24,2057,2057-01-05,56725.08
p24,2057,2057-01-06,54191.380000000005
p24,2062,2062-02-04,52799.56
p24,2062,2062-02-05,52395.880000000005
p24,2063,2063-12-20,53954.369999999995
p24,2063,2063-12-21,57025.67
p24,2063,2063-12-22,52697.240000000005
p24,2063,2063-12-23,52704.41
p24,2063,2063-12-24,58198.21000000001
p24,2063,2063-12-25,49814.14
p24,2063,2063-12-28,53402.92999999999
p24,2064,2064-01-18,57911.98
p24,2065,2065-01-31,54894.979999999996
p24,2065,2065-02-01,52681.509999999995
p24,2065,2065-02-02,55241.28999999999
p24,2069,2069-02-03,54392.649999999994
p24,2069,2069-02-04,57481.67999999999
p24,2069,2069-02-05,56698.59
p24,2069,2069-02-06,55424.520000000004
p24,2069,2069-12-22,50323.68
p24,2070,2070-12-20,53361.45
p24,2070,2070-12-21,54487.2
p24,2070,2070-12-22,57582.5
p24,2070,2070-12-23,55419.78
p24,2070,2070-12-29,55311.630000000005
p24,2070,2070-12-30,54567.399999999994
p24,2076,2076-02-02,52314.69
p24,2077,2077-01-12,57352.270000000004
p24,2086,2086-02-18,53514.71
p24,2094,2094-02-06,52539.92
