rb,Year,Date,Load_sum
p24,2020,2020-01-27,56511.44407182375
p24,2020,2020-01-28,56617.69257753578
p24,2021,2021-02-10,54059.180473328975
p24,2021,2021-02-11,53124.878582285295
p24,2022,2022-02-04,55122.51667585409
p24,2022,2022-02-05,51700.1561207884
p24,2022,2022-02-09,53910.466536607186
p24,2023,2023-12-20,53207.57231562643
p24,2023,2023-12-21,56306.82793062528
p24,2023,2023-12-22,55460.304345863246
p24,2023,2023-12-23,51900.55080509628
p24,2023,2023-12-24,53387.54262430751
p24,2023,2023-12-25,48827.11029868834
p24,2023,2023-12-28,52646.47037470048
p24,2024,2024-01-18,56941.49187338143
p24,2024,2024-01-20,52724.741236466594
p24,2025,2025-01-30,55391.006688917405
p24,2025,2025-01-31,56752.47292197899
p24,2025,2025-02-01,51591.95508985125
p24,2025,2025-02-02,51034.10406310437
p24,2025,2025-02-04,53846.741451049515
p24,2025,2025-12-01,52692.76641909678
p24,2025,2025-12-11,52722.62338457613
p24,2029,2029-02-02,53638.783054390326
p24,2029,2029-02-03,52737.51003106539
p24,2029,2029-02-04,53212.00402042801
p24,2029,2029-02-05,54964.40054311071
p24,2029,2029-02-06,53803.19584044679
p24,2029,2029-12-22,48815.643212597686
p24,2030,2030-12-20,55257.459397914135
p24,2030,2030-12-21,52809.64084569463
p24,2030,2030-12-22,52114.39189929468
p24,2030,2030-12-23,53904.59603350819
p24,2030,2030-12-29,50181.61915118509
p24,2030,2030-12-30,52945.22877961962
p24,2031,2031-01-29,54145.021455051
p24,2031,2031-11-02,46805.0676253846
p24,2033,2033-02-16,53283.82654299843
p24,2033,2033-02-17,53052.536814932275
p24,2036,2036-02-02,50141.13926108375
p24,2036,2036-02-03,49303.06359641961
p24,2037,2037-01-12,54950.51654589005
p24,2037,2037-01-13,53969.68809308385
p24,2038,2038-12-21,51949.8357416072
p24,2043,2043-02-24,51399.48654533531
p24,2046,2046-02-17,49392.77207553781
p24,2046,2046-02-18,49435.20257363716
p24,2048,2048-01-22,52553.81349454106
p24,2049,2049-01-27,52579.484683025934
p24,2049,2049-12-09,50168.52960695035
p24,2051,2051-02-01,51279.56350935575
p24,2051,2051-02-02,51266.020925436314
p24,2053,2053-12-06,46856.81552344804
p24,2054,2054-02-05,51222.814229716256
p24,2054,2054-02-06,51501.66747931099
p24,2054,2054-12-30,50178.42805983224
p24,2054,2054-12-31,49587.92844068524
p24,2056,2056-12-17,46327.42646283563
p24,2057,2057-01-05,51686.493043931885
p24,2057,2057-01-06,49377.58118726722
p24,2062,2062-02-04,47628.37664597879
p24,2062,2062-02-05,47263.978065390686
p24,2063,2063-12-20,48490.0789208848
p24,2063,2063-12-21,51250.0540158547
p24,2063,2063-12-22,47359.75512187608
p24,2063,2063-12-23,47365.94184836176
p24,2063,2063-12-24,52302.988227329304
p24,2063,2063-12-25,44767.94593947222
p24,2063,2063-12-28,47992.407643680366
p24,2064,2064-01-18,52038.7045782637
p24,2065,2065-01-31,49226.508916337116
p24,2065,2065-02-01,47241.34729227625
p24,2065,2065-02-02,49536.52375907029
p24,2069,2069-02-03,48390.753442660105
p24,2069,2069-02-04,51138.65142246733
p24,2069,2069-02-05,50441.70185201724
p24,2069,2069-02-06,49307.96284218204
p24,2069,2069-12-22,44692.74416051922
p24,2070,2070-12-20,47297.50517824714
p24,2070,2070-12-21,48295.06548442379
p24,2070,2070-12-22,51038.32859080746
p24,2070,2070-12-23,49121.13290022366
p24,2070,2070-12-29,49023.67839029383
p24,2070,2070-12-30,48363.795687001984
p24,2076,2076-02-02,45902.34519377335
p24,2077,2077-01-12,50228.495560104784
p24,2086,2086-02-18,46031.23333055417
p24,2094,2094-02-06,44485.93372237554
