rb,Year,Date,Load_sum
p24,2020,2020-01-27,57708.14
p24,2020,2020-01-28,57829.97
p24,2021,2021-02-10,55216.66
p24,2021,2021-02-11,54295.41
p24,2022,2022-02-04,56597.21000000001
p24,2022,2022-02-05,53033.26
p24,2022,2022-02-09,55249.94
p24,2023,2023-12-20,54598.94
p24,2023,2023-12-21,57774.22
p24,2023,2023-12-22,56928.29
p24,2023,2023-12-23,53214.979999999996
p24,2023,2023-12-24,54821.159999999996
p24,2023,2023-12-25,50107.770000000004
p24,2023,2023-12-28,54047.47
p24,2024,2024-01-18,58628.41
p24,2024,2024-01-20,54199.59
p24,2025,2025-01-30,57075.16
p24,2025,2025-01-31,58460.39
p24,2025,2025-02-01,53110.81
p24,2025,2025-02-02,52590.69
p24,2025,2025-02-04,55526.16
p24,2025,2025-12-11,54195.33
p24,2029,2029-02-02,55818.0
p24,2029,2029-02-03,54928.45
p24,2029,2029-02-04,55449.87
p24,2029,2029-02-05,57190.2
p24,2029,2029-02-06,55967.4
p24,2029,2029-02-08,54876.61
p24,2029,2029-12-22,50565.36
p24,2030,2030-12-20,57411.630000000005
p24,2030,2030-12-21,54883.29000000001
p24,2030,2030-12-22,54090.92
p24,2030,2030-12-23,55964.55
p24,2030,2030-12-29,52183.76
p24,2030,2030-12-30,54989.67999999999
p24,2033,2033-02-17,55346.8
p24,2036,2036-02-02,52798.380000000005
p24,2036,2036-02-03,51914.049999999996
p24,2037,2037-01-12,57887.130000000005
p24,2037,2037-01-13,56889.520000000004
p24,2038,2038-12-21,54681.23
p24,2043,2043-02-24,54866.25
p24,2046,2046-02-18,53177.24
p24,2051,2051-02-01,55487.28999999999
p24,2051,2051-02-02,55362.11
p24,2054,2054-02-05,55758.53999999999
p24,2054,2054-02-06,56046.810000000005
p24,2054,2054-12-30,54690.82000000001
p24,2054,2054-12-31,53893.05
p24,2056,2056-12-17,50660.16
p24,2062,2062-02-04,52469.29
p24,2062,2062-02-05,52148.82
p24,2063,2063-12-21,55831.740000000005
p24,2063,2063-12-22,51807.46
p24,2063,2063-12-23,51903.11
p24,2063,2063-12-24,57367.200000000004
p24,2064,2064-01-18,57325.219999999994
p24,2065,2065-01-31,54438.81
p24,2065,2065-02-01,52238.14
p24,2069,2069-02-03,54232.29000000001
p24,2069,2069-02-04,57222.22
p24,2069,2069-02-05,56372.44
p24,2070,2070-12-20,52521.12
p24,2070,2070-12-21,53736.71
p24,2070,2070-12-22,56615.06999999999
p24,2070,2070-12-23,54580.69
p24,2070,2070-12-29,54800.8
p24,2070,2070-12-30,53885.33
p24,2076,2076-02-02,51911.18
