rb,Year,Date,Load_sum
p125,2020,2020-03-01,32805.56921580871
p125,2020,2020-12-25,33556.79542624545
p125,2021,2021-01-11,38126.601489571665
p125,2021,2021-01-12,38805.00354435701
p125,2021,2021-01-13,38433.63199423221
p125,2022,2022-01-11,40942.55280523782
p125,2022,2022-01-17,39441.32517536205
p125,2022,2022-01-18,39796.926823390306
p125,2023,2023-02-13,36155.29894651326
p125,2023,2023-12-25,36106.05262226757
p125,2024,2024-01-21,35773.924193628634
p125,2024,2024-01-22,38692.804539882425
p125,2025,2025-01-20,37085.70872497799
p125,2025,2025-01-21,43013.260410814444
p125,2027,2027-01-24,34931.05168982556
p125,2027,2027-01-25,39481.029784090046
p125,2027,2027-01-27,39217.19767406591
p125,2027,2027-01-28,39578.53333006606
p125,2029,2029-12-23,37659.0194306311
p125,2034,2034-01-19,42736.59035794004
p125,2034,2034-01-20,40206.955221788645
p125,2034,2034-01-21,35721.43817052417
p125,2036,2036-01-11,37935.06928438544
p125,2036,2036-02-05,40079.94068921079
p125,2036,2036-02-06,37533.688702672196
p125,2040,2040-01-29,36390.17228853765
p125,2045,2045-01-24,39271.918539460166
p125,2049,2049-01-17,35834.1336551012
p125,2049,2049-03-03,37928.89459937982
p125,2049,2049-03-04,36463.28110105612
p125,2054,2054-01-07,41047.86324315703
p125,2054,2054-01-23,39549.1192213122
p125,2054,2054-03-04,37163.39350763919
p125,2055,2055-02-16,40862.520457809005
p125,2055,2055-02-20,36570.81697169292
p125,2055,2055-02-24,38796.30388948363
p125,2056,2056-02-14,39489.1613791728
p125,2058,2058-01-07,40141.98209603291
p125,2059,2059-01-31,41501.451637889164
p125,2062,2062-01-17,41724.39259773871
p125,2062,2062-01-18,41385.558245507185
p125,2065,2065-01-21,43448.85922952982
p125,2067,2067-01-27,39328.63530425285
p125,2067,2067-01-28,39992.835492915285
p125,2074,2074-01-19,43211.04756187169
p125,2076,2076-02-05,40634.31062575037
p125,2094,2094-01-07,42135.79619402268
p125,2098,2098-01-07,41388.55973839277
