rb,Year,Date,Load_sum
p16,2020,2020-07-22,18457.3
p16,2020,2020-07-23,18422.94
p16,2020,2020-07-24,18146.05
p16,2021,2021-07-05,16532.05
p16,2021,2021-07-06,17663.94
p16,2021,2021-08-25,17533.63
p16,2021,2021-08-26,17766.08
p16,2022,2022-07-21,18313.37
p16,2022,2022-08-07,16375.16
p16,2023,2023-08-06,17163.66
p16,2023,2023-08-07,18533.29
p16,2023,2023-08-08,18014.1
p16,2025,2025-07-03,18292.38
p16,2025,2025-07-04,16572.02
p16,2025,2025-07-05,17174.45
p16,2025,2025-07-06,17155.23
p16,2025,2025-07-07,18111.12
p16,2025,2025-07-09,18410.64
p16,2025,2025-07-10,18655.59
p16,2025,2025-07-11,17954.63
p16,2025,2025-07-15,18057.82
p16,2025,2025-07-16,18023.82
p16,2025,2025-08-25,17116.36
p16,2026,2026-08-18,17507.87
p16,2028,2028-06-23,17653.94
p16,2028,2028-06-24,16961.83
p16,2028,2028-06-25,16888.79
p16,2028,2028-07-15,16985.13
p16,2028,2028-07-21,18278.84
p16,2028,2028-07-22,16744.72
p16,2028,2028-07-23,16940.07
p16,2028,2028-07-24,18263.31
p16,2028,2028-07-30,16867.67
p16,2028,2028-07-31,18318.79
p16,2029,2029-07-07,17040.03
p16,2029,2029-07-08,16963.35
p16,2029,2029-07-19,18269.76
p16,2029,2029-07-26,18159.05
p16,2029,2029-07-30,18009.15
p16,2029,2029-07-31,18142.76
p16,2030,2030-06-26,17926.14
p16,2030,2030-06-29,16365.18
p16,2030,2030-06-30,16370.85
p16,2030,2030-08-06,17720.84
p16,2030,2030-08-07,18031.26
p16,2030,2030-08-08,18098.46
p16,2030,2030-08-09,17875.510000000002
p16,2030,2030-08-10,16071.79
p16,2032,2032-08-01,16369.18
p16,2032,2032-08-02,17742.67
p16,2032,2032-08-03,17396.18
p16,2034,2034-07-09,16513.01
p16,2034,2034-07-22,17377.84
p16,2034,2034-07-23,16788.99
p16,2034,2034-07-24,18310.13
p16,2034,2034-07-25,18381.03
p16,2034,2034-07-26,18455.79
p16,2034,2034-07-27,18493.579999999998
p16,2034,2034-07-28,18462.42
p16,2034,2034-07-29,17266.16
p16,2034,2034-07-30,17086.48
p16,2034,2034-07-31,17856.24
p16,2034,2034-08-04,17927.74
p16,2034,2034-08-05,16370.99
p16,2034,2034-08-06,15999.48
p16,2035,2035-07-28,16793.12
p16,2035,2035-07-29,16826.99
p16,2035,2035-08-06,17544.06
p16,2035,2035-09-01,15018.57
p16,2036,2036-07-02,18265.09
p16,2036,2036-07-03,18318.08
p16,2036,2036-07-27,17088.52
p16,2036,2036-08-11,17610.83
p16,2036,2036-08-12,17706.15
p16,2037,2037-08-03,17563.73
p16,2038,2038-07-17,17492.64
p16,2038,2038-07-18,17349.49
p16,2038,2038-07-19,18791.09
p16,2038,2038-07-20,18616.58
p16,2038,2038-07-21,18476.2
p16,2038,2038-08-06,18065.28
p16,2038,2038-08-07,16498.27
p16,2039,2039-07-27,18266.85
p16,2040,2040-07-13,18006.72
p16,2040,2040-07-14,16768.97
p16,2040,2040-07-22,16774.84
p16,2040,2040-07-23,18143.06
p16,2040,2040-07-27,18244.14
p16,2040,2040-07-28,16957.29
p16,2040,2040-07-29,17327.56
p16,2040,2040-07-30,19016.260000000002
p16,2040,2040-07-31,18919.86
p16,2040,2040-08-01,18383.29
p16,2040,2040-08-02,18107.7
p16,2040,2040-08-03,17737.62
p16,2040,2040-08-08,17620.55
p16,2040,2040-08-09,17759.7
p16,2040,2040-08-10,17590.74
p16,2041,2041-06-30,16672.07
p16,2041,2041-07-01,18219.66
p16,2041,2041-07-02,18431.28
p16,2041,2041-07-03,18714.99
p16,2041,2041-07-04,16557.95
p16,2041,2041-07-05,17781.08
p16,2041,2041-08-02,17371.09
p16,2041,2041-08-03,16086.66
p16,2041,2041-08-06,17891.76
p16,2041,2041-08-07,18205.52
p16,2041,2041-08-08,18010.53
p16,2041,2041-08-09,17501.95
p16,2041,2041-08-18,15646.46
p16,2042,2042-06-26,18242.62
p16,2042,2042-06-27,17971.08
p16,2042,2042-07-07,18330.51
p16,2042,2042-07-08,17912.26
p16,2042,2042-07-10,18608.43
p16,2042,2042-07-11,19049.7
p16,2042,2042-07-12,18069.77
p16,2042,2042-07-13,18022.66
p16,2042,2042-07-14,19065.17
p16,2042,2042-07-15,18486.65
p16,2042,2042-07-23,17979.0
p16,2042,2042-07-24,18382.25
p16,2042,2042-07-25,17635.9
p16,2043,2043-07-10,18222.38
p16,2043,2043-07-11,16897.79
p16,2043,2043-07-12,17175.09
p16,2043,2043-07-13,18170.68
p16,2043,2043-07-15,18433.34
p16,2043,2043-07-16,18540.85
p16,2043,2043-07-17,18535.35
p16,2043,2043-07-18,17721.29
p16,2043,2043-07-19,17624.98
p16,2043,2043-07-20,18896.38
p16,2043,2043-07-21,18893.08
p16,2043,2043-07-22,19012.54
p16,2043,2043-07-23,19342.93
p16,2043,2043-07-24,18689.78
p16,2043,2043-07-30,18466.05
p16,2043,2043-07-31,18426.25
p16,2043,2043-08-01,16511.72
p16,2043,2043-08-02,16584.82
p16,2043,2043-08-09,16282.6
p16,2043,2043-08-10,17705.55
p16,2043,2043-08-11,18007.14
p16,2043,2043-08-12,17579.93
p16,2043,2043-08-13,17847.31
p16,2043,2043-08-14,18167.57
p16,2043,2043-08-15,17167.95
p16,2044,2044-07-14,18391.45
p16,2044,2044-07-15,17848.06
p16,2045,2045-07-12,18180.25
p16,2045,2045-07-13,18704.98
p16,2045,2045-07-14,18312.69
p16,2045,2045-07-15,17123.88
p16,2045,2045-07-16,17054.02
p16,2045,2045-07-19,18090.02
p16,2045,2045-07-20,18448.18
p16,2045,2045-07-21,18796.43
p16,2045,2045-07-22,16934.6
p16,2045,2045-07-23,16094.57
p16,2045,2045-08-06,16693.44
p16,2045,2045-08-07,17987.89
p16,2046,2046-07-14,16740.91
p16,2046,2046-07-15,17179.69
p16,2046,2046-07-16,18764.37
p16,2046,2046-07-17,18769.14
p16,2046,2046-07-18,18431.84
p16,2046,2046-07-19,18340.19
p16,2046,2046-07-20,18526.02
p16,2046,2046-07-21,17542.489999999998
p16,2046,2046-07-22,17830.39
p16,2046,2046-07-23,18695.07
p16,2046,2046-07-26,18247.45
p16,2046,2046-07-27,18404.61
p16,2046,2046-07-28,17325.85
p16,2046,2046-07-29,17258.98
p16,2046,2046-07-30,17842.07
p16,2047,2047-07-04,16779.59
p16,2047,2047-07-05,18924.420000000002
p16,2047,2047-07-06,17794.3
p16,2047,2047-07-07,17177.77
p16,2047,2047-07-11,18507.67
p16,2047,2047-07-12,18012.87
p16,2047,2047-07-13,16917.43
p16,2047,2047-07-14,17183.66
p16,2047,2047-07-15,18629.24
p16,2047,2047-07-16,18326.08
p16,2047,2047-07-18,17999.96
p16,2047,2047-07-19,18279.21
p16,2047,2047-07-20,16803.27
p16,2047,2047-07-21,16935.23
p16,2047,2047-07-22,18752.3
p16,2047,2047-07-23,18813.94
p16,2047,2047-07-24,18088.09
p16,2047,2047-07-28,16925.68
p16,2047,2047-07-29,18579.24
p16,2047,2047-07-30,18799.55
p16,2047,2047-07-31,18509.42
p16,2047,2047-08-01,18093.27
p16,2047,2047-08-13,17704.27
p16,2047,2047-08-14,17980.99
p16,2047,2047-08-15,17897.47
p16,2047,2047-08-16,17739.55
p16,2047,2047-08-17,16158.3
