rb,Year,Date,Load_sum
p1,2020,2020-01-27,181330.26
p1,2020,2020-01-28,184929.62
p1,2020,2020-01-29,186924.97
p1,2022,2022-01-06,187498.46
p1,2023,2023-12-20,193249.73
p1,2023,2023-12-21,200097.71
p1,2023,2023-12-22,206524.51
p1,2023,2023-12-23,198153.32
p1,2023,2023-12-24,190953.5
p1,2025,2025-02-04,166362.44
p1,2025,2025-11-21,179212.7
p1,2025,2025-11-22,175411.91
p1,2025,2025-11-23,186350.88
p1,2025,2025-11-24,188315.69
p1,2025,2025-11-25,188819.02
p1,2025,2025-11-29,177370.76
p1,2025,2025-11-30,178943.66
p1,2025,2025-12-01,196450.61
p1,2029,2029-02-02,189959.84
p1,2029,2029-02-03,188584.12
p1,2029,2029-02-04,174469.96
p1,2029,2029-03-03,151593.91
p1,2030,2030-02-14,170306.86
p1,2030,2030-12-19,190998.1
p1,2030,2030-12-20,208561.22
p1,2030,2030-12-21,203768.09
p1,2030,2030-12-22,199348.45
p1,2030,2030-12-23,193189.9
p1,2030,2030-12-29,200429.92
p1,2030,2030-12-30,196396.79
p1,2036,2036-01-30,185133.85
p1,2038,2038-12-20,192170.9
p1,2038,2038-12-21,195050.31
p1,2044,2044-01-04,174909.01
p1,2044,2044-01-05,180890.33
p1,2048,2048-12-20,183423.28
p1,2050,2050-11-23,178510.17
p1,2050,2050-11-24,178931.9
p1,2051,2051-02-25,163092.82
p1,2060,2060-01-28,179872.78
p1,2060,2060-01-29,181102.82
p1,2062,2062-01-06,180370.11
p1,2063,2063-12-21,192919.01
p1,2063,2063-12-22,189306.27
p1,2063,2063-12-23,191684.49
p1,2063,2063-12-24,197284.5
p1,2065,2065-11-22,168110.3
p1,2065,2065-11-23,187738.65
p1,2065,2065-11-24,179944.52
p1,2065,2065-11-25,180469.76
p1,2065,2065-11-29,171324.83000000002
p1,2065,2065-11-30,181850.94
p1,2069,2069-02-02,181448.87
p1,2069,2069-02-03,184331.14
p1,2069,2069-02-04,174105.07
p1,2070,2070-12-19,185520.69
p1,2070,2070-12-20,191022.74
p1,2070,2070-12-21,196395.73
p1,2070,2070-12-22,202800.2
p1,2070,2070-12-29,204862.56
p1,2070,2070-12-30,191937.73
p1,2076,2076-01-30,178975.39
p1,2090,2090-11-24,179568.37
