rb,Year,Date,Load_sum
p25,2020,2020-07-16,102434.19448305125
p25,2021,2021-07-16,104079.90662875048
p25,2022,2022-07-16,97767.00427298136
p25,2023,2023-07-16,99337.73314133103
p25,2024,2024-07-16,109182.15705203649
p25,2025,2025-07-16,110936.28225271747
p25,2026,2026-07-16,112718.58930382844
p25,2027,2027-07-16,114529.53097618266
p25,2028,2028-07-16,107587.51100969614
p25,2029,2029-07-16,118244.32898419815
p25,2030,2030-07-16,120144.04742637859
p25,2031,2031-07-16,122074.28682622832
p25,2032,2032-07-16,124040.95387705849
p25,2033,2033-07-16,116517.32654776548
p25,2034,2034-07-16,118389.29889500533
p25,2035,2035-07-16,130116.06157045452
p25,2036,2036-07-16,132212.28492532586
p25,2037,2037-07-16,134336.41314452374
p25,2038,2038-07-16,136494.6676984578
p25,2039,2039-07-16,128215.66806083235
p25,2040,2040-07-16,140921.9111818561
p25,2041,2041-07-16,143185.96862866406
p25,2042,2042-07-16,145486.40051915834
p25,2043,2043-07-16,147823.79124670546
p25,2044,2044-07-16,138863.69421662355
p25,2045,2045-07-16,141094.68426171807
p25,2046,2046-07-16,155070.47339593692
p25,2047,2047-07-16,157561.84224786115
p25,2048,2048-07-16,160100.22843608496
p25,2049,2049-07-16,162672.4055474116
p25,2050,2050-07-16,152805.61141334375
p25,2051,2051-07-16,155260.5928958754
p25,2052,2052-07-16,170647.00292115635
p25,2053,2053-07-16,173388.62496203632
p25,2054,2054-07-16,176174.29401977782
p25,2055,2055-07-16,179004.71775563597
p25,2056,2056-07-16,168154.63992712088
p25,2057,2057-07-16,184810.78683909614
p25,2058,2058-07-16,187779.964837637
p25,2059,2059-07-16,190796.84577677894
p25,2060,2060-07-16,193870.66156343726
p25,2061,2061-07-16,182111.55650904952
p25,2062,2062-07-16,185037.36855776655
p25,2063,2063-07-16,203365.79289526466
p25,2064,2064-07-16,206642.09959793987
p25,2065,2065-07-16,209962.02040014218
p25,2066,2066-07-16,213335.27919181684
p25,2067,2067-07-16,200395.55979542507
p25,2068,2068-07-16,220254.86982862817
p25,2069,2069-07-16,223793.49397904653
p25,2070,2070-07-16,227388.96981627512
p25,2071,2071-07-16,231042.21072194356
p25,2072,2072-07-16,217037.96547390823
p25,2073,2073-07-16,220524.90670150155
p25,2074,2074-07-16,242368.4624033352
p25,2075,2075-07-16,246262.36447699883
p25,2076,2076-07-16,250229.75261964562
p25,2077,2077-07-16,254249.95451784675
p25,2078,2078-07-16,238828.5807981807
p25,2079,2079-07-16,242665.61098271256
p25,2080,2080-07-16,266713.90630333754
p25,2081,2081-07-16,270998.9433190083
p25,2082,2082-07-16,275352.8239224775
p25,2083,2083-07-16,279776.6541577685
p25,2084,2084-07-16,262818.4504284271
p25,2085,2085-07-16,288851.28974473034
p25,2086,2086-07-16,293491.9869087271
p25,2087,2087-07-16,298207.24171166314
p25,2088,2088-07-16,303011.4832259152
p25,2089,2089-07-16,284632.5091449222
p25,2090,2090-07-16,289205.42719952896
p25,2091,2091-07-16,317851.96401387826
p25,2092,2092-07-16,322972.6900973129
p25,2093,2093-07-16,328161.58313742216
p25,2094,2094-07-16,333433.8411548413
p25,2095,2095-07-16,313209.6177720535
p25,2096,2096-07-16,344248.86290835345
p25,2097,2097-07-16,349779.5798500009
p25,2098,2098-07-16,355399.15352636704
p25,2099,2099-07-16,361109.01151354867
