rb,Year,Date,Load_sum
p41,2020,2020-07-10,73391.79220201878
p41,2020,2020-07-13,69882.89843121768
p41,2020,2020-07-19,63762.41464681264
p41,2020,2020-08-06,71372.09193684916
p41,2020,2020-08-07,74338.14538316557
p41,2020,2020-08-08,66430.37618669105
p41,2020,2020-08-24,68381.65020644707
p41,2020,2020-08-25,69228.43486598115
p41,2020,2020-09-06,59627.43448827146
p41,2023,2023-08-16,75652.15483039041
p41,2023,2023-08-17,77580.63422536505
p41,2023,2023-08-18,75927.99852318857
p41,2023,2023-08-26,68856.83042539736
p41,2024,2024-08-27,75258.60670000155
p41,2024,2024-08-28,71142.1928807597
p41,2024,2024-08-29,69784.34750495586
p41,2025,2025-08-09,67611.80030698085
p41,2025,2025-08-31,64608.43235120872
p41,2025,2025-09-01,59330.89970844454
p41,2025,2025-09-02,68166.63870883253
p41,2025,2025-09-06,66564.04056374733
p41,2025,2025-09-08,71238.95451789207
p41,2027,2027-08-01,73397.78763076584
p41,2027,2027-08-02,80589.81851692556
p41,2027,2027-08-21,69068.95416106455
p41,2028,2028-06-19,61840.32716279319
p41,2028,2028-06-20,73652.94941950041
p41,2028,2028-06-21,75082.92441878408
p41,2028,2028-06-22,71812.28981144691
p41,2028,2028-06-23,70483.94646846982
p41,2028,2028-06-24,68538.4460161542
p41,2028,2028-06-25,67380.33720658376
p41,2028,2028-07-13,78247.24497454273
p41,2028,2028-07-14,78364.87290441958
p41,2028,2028-07-15,75708.81027495321
p41,2028,2028-07-29,67829.12203730064
p41,2028,2028-07-30,69541.42638028771
p41,2028,2028-07-31,77026.70623388
p41,2028,2028-08-01,79326.3640436088
p41,2028,2028-08-02,78183.64055209473
p41,2028,2028-08-03,79869.03434448225
p41,2028,2028-08-04,75642.91287150334
p41,2028,2028-08-06,66780.73739527982
p41,2028,2028-08-07,74210.20030168565
p41,2028,2028-08-08,75735.58656260211
p41,2028,2028-08-11,78830.95774577576
p41,2028,2028-08-13,74458.94043669308
p41,2028,2028-08-14,80272.26362156814
p41,2028,2028-08-15,79868.77581030614
p41,2028,2028-08-16,81534.27986187275
p41,2028,2028-08-17,81254.73370540187
p41,2028,2028-08-18,77816.95932349784
p41,2029,2029-07-06,75456.47148210934
p41,2029,2029-07-08,69391.30031953426
p41,2029,2029-07-09,78101.45281986007
p41,2029,2029-07-10,79421.27512390228
p41,2029,2029-07-29,71933.33775213566
p41,2029,2029-07-30,77976.60304051833
p41,2029,2029-08-04,77526.96109842516
p41,2029,2029-08-05,67787.71345620445
p41,2029,2029-08-31,77404.10455371723
p41,2030,2030-07-03,80906.7285176341
p41,2030,2030-07-04,67306.71457757817
p41,2030,2030-08-18,74170.26231713613
p41,2030,2030-08-23,77669.9223023741
p41,2030,2030-08-25,74314.38917087496
p41,2030,2030-08-26,81203.17024741047
p41,2030,2030-08-27,80396.8937507677
p41,2030,2030-08-28,76738.02193634615
p41,2030,2030-08-30,73870.75400842812
p41,2030,2030-08-31,68808.08999197723
p41,2030,2030-09-01,68190.73385174724
p41,2030,2030-09-04,74837.86176445974
p41,2030,2030-09-05,76263.92111566814
p41,2030,2030-09-06,75556.9982087331
p41,2031,2031-07-05,69623.38760849935
p41,2031,2031-07-07,78428.81471845915
p41,2031,2031-07-21,78873.04307616748
p41,2031,2031-07-22,79054.77063833401
p41,2031,2031-08-01,76143.76219367051
p41,2031,2031-08-02,73505.14484236242
p41,2031,2031-08-07,79002.81539063429
p41,2034,2034-07-04,67214.36996583102
p41,2034,2034-07-05,82018.71332943633
p41,2034,2034-07-19,80360.80520279588
p41,2034,2034-07-31,75475.83728003054
p41,2034,2034-08-12,76125.37516732511
p41,2034,2034-08-24,80333.14158548464
p41,2034,2034-08-27,75719.52555245454
p41,2034,2034-08-28,72029.66446212896
p41,2035,2035-07-12,84839.35374213304
p41,2035,2035-08-08,87563.30617386414
p41,2035,2035-08-11,77413.92407961166
p41,2035,2035-08-12,79519.08245523504
p41,2035,2035-08-13,87304.83408269685
p41,2035,2035-08-30,79401.48242257818
p41,2036,2036-07-17,81267.22360115661
p41,2036,2036-07-18,83434.21944253668
p41,2036,2036-08-05,82406.20428936911
p41,2036,2036-08-06,81522.41283176438
p41,2036,2036-08-07,80539.35904754778
p41,2037,2037-07-17,84200.25991584588
p41,2037,2037-07-18,78470.43472531416
p41,2037,2037-07-23,82247.60291800911
p41,2037,2037-07-24,85498.49135406034
p41,2037,2037-07-25,81503.93715066987
p41,2037,2037-07-26,81497.78165772892
p41,2037,2037-07-27,85141.03481214563
p41,2037,2037-08-25,79118.80018703944
p41,2037,2037-08-29,72088.29702176535
p41,2038,2038-07-20,85523.38951532874
p41,2038,2038-08-23,81273.6561851629
p41,2038,2038-08-24,84261.25411412792
p41,2038,2038-08-25,77148.57144677649
p41,2038,2038-09-03,74766.72564368919
p41,2038,2038-09-05,69626.98027477662
p41,2038,2038-09-06,66217.82440952597
p41,2039,2039-07-29,86716.00924957443
p41,2039,2039-07-30,81598.40925798239
p41,2039,2039-09-01,79635.13143951824
p41,2040,2040-07-02,87226.56744122156
p41,2040,2040-07-05,86102.13215786983
p41,2040,2040-07-06,85443.10391561277
p41,2040,2040-07-07,81916.49403251565
p41,2040,2040-07-08,83603.64254159978
p41,2040,2040-07-09,89294.17893631938
p41,2040,2040-07-10,89197.89797609432
p41,2040,2040-07-13,84687.37777044387
p41,2040,2040-07-14,78955.21119828135
p41,2040,2040-07-15,78579.36500203205
p41,2040,2040-07-16,84388.7349666381
p41,2040,2040-07-26,82273.58704339246
p41,2040,2040-08-04,76269.22609373777
p41,2040,2040-08-05,78704.11905197363
p41,2040,2040-08-06,84429.36778437458
p41,2040,2040-08-07,83867.23743986685
p41,2040,2040-08-08,89009.43734021416
p41,2040,2040-08-09,83579.582866435
p41,2040,2040-08-10,82970.74206265232
p41,2040,2040-08-11,75000.1827052423
p41,2040,2040-08-12,77497.9231876208
p41,2040,2040-08-13,84919.12946979316
p41,2040,2040-08-14,83731.68198174505
p41,2040,2040-08-15,84422.40916875833
p41,2040,2040-08-16,79949.25224938498
p41,2040,2040-08-17,81154.03571435013
p41,2040,2040-08-25,72354.6771158509
p41,2040,2040-08-26,76921.2838826575
p41,2040,2040-08-28,86077.46449910106
p41,2040,2040-08-30,80282.12863317202
p41,2040,2040-09-01,73048.1124326289
p41,2040,2040-09-02,75356.9819491381
p41,2040,2040-09-03,69046.09810069345
p41,2041,2041-07-07,81918.46623441837
p41,2041,2041-08-01,90176.84495673356
p41,2041,2041-08-05,88105.67711233806
p41,2041,2041-08-06,88238.28079713082
p41,2041,2041-08-21,83068.95835960926
p41,2041,2041-08-22,87883.40407587253
p41,2042,2042-07-08,91355.20733804836
p41,2042,2042-07-09,90540.84756881595
p41,2042,2042-07-18,85343.49548488756
p41,2042,2042-07-19,81696.49718997876
p41,2042,2042-07-20,84278.50415901278
p41,2042,2042-07-21,92793.73497856245
p41,2042,2042-07-22,83777.15309075642
p41,2042,2042-07-25,86588.7720491646
p41,2042,2042-07-26,77722.35435088795
p41,2042,2042-07-27,80351.5298252541
p41,2042,2042-07-28,83530.85592842379
p41,2042,2042-07-30,85735.70190995262
p41,2042,2042-07-31,90296.79880798717
p41,2042,2042-08-01,90529.9106103497
p41,2042,2042-08-03,75490.56911970534
p41,2042,2042-08-04,87719.48490726497
p41,2042,2042-08-11,84881.74873720977
p41,2042,2042-09-02,80469.2208916212
p41,2043,2043-07-03,73460.7019374004
p41,2043,2043-07-04,69866.77336247102
p41,2043,2043-07-14,83414.79454606645
p41,2043,2043-07-15,84558.59995323552
p41,2043,2043-07-17,87493.95032843103
p41,2043,2043-07-18,80163.87569939748
p41,2043,2043-07-20,84605.54582762679
p41,2043,2043-07-21,82179.02951659929
p41,2043,2043-07-25,78210.66946889723
p41,2043,2043-07-26,84693.92039145133
p41,2043,2043-07-27,83916.89729837279
p41,2043,2043-08-16,82559.80786221314
p41,2043,2043-08-17,88683.9825174185
p41,2043,2043-08-18,86741.87919970181
p41,2043,2043-08-19,90250.48268381394
p41,2043,2043-08-20,91583.40032631569
p41,2043,2043-08-21,91806.71510015587
p41,2043,2043-08-23,78801.15580095428
p41,2043,2043-08-24,86366.03824261359
p41,2043,2043-08-25,83978.15266423253
p41,2043,2043-08-26,86399.90778322911
p41,2043,2043-08-28,89525.51682163148
p41,2044,2044-07-19,84291.85583419167
p41,2044,2044-07-20,86523.65634581551
p41,2044,2044-08-01,89647.00427407924
p41,2044,2044-08-02,92756.45285500762
p41,2044,2044-08-03,88472.09960121458
p41,2044,2044-08-26,79834.49903467887
p41,2044,2044-09-18,71452.70483925221
p41,2045,2045-07-20,95503.44017512129
p41,2045,2045-07-21,92117.79420904318
p41,2045,2045-07-22,84765.47924528451
p41,2045,2045-07-23,85429.6908427616
p41,2045,2045-07-24,94878.02144526373
p41,2045,2045-07-25,90201.40568027839
p41,2045,2045-07-31,86335.15838060688
p41,2045,2045-08-01,91011.06452858707
p41,2045,2045-08-02,91733.44215208248
p41,2045,2045-08-03,93378.21701997149
p41,2045,2045-08-04,86074.0333659941
p41,2045,2045-08-08,90123.27814678996
p41,2045,2045-08-09,91517.74107169049
p41,2045,2045-08-10,89286.96940379054
p41,2045,2045-08-18,90824.26425998851
p41,2045,2045-08-19,78960.42007905249
p41,2045,2045-09-21,77818.91929266143
p41,2046,2046-06-20,82598.96836275303
p41,2046,2046-06-21,84649.69965258137
p41,2046,2046-06-30,77766.64046725527
p41,2046,2046-07-01,82432.11913821401
p41,2046,2046-07-02,86942.74868479487
p41,2046,2046-07-15,81775.61430641459
p41,2046,2046-07-16,89170.34177725081
p41,2046,2046-07-17,92080.39709334882
p41,2046,2046-07-18,88919.45586105628
p41,2046,2046-07-19,93264.1789694817
p41,2046,2046-07-20,88672.9314235133
p41,2046,2046-07-25,89689.95557787412
p41,2046,2046-07-26,90191.01713738817
p41,2046,2046-07-28,85583.14439272555
p41,2046,2046-07-29,89757.52084778555
p41,2046,2046-07-30,96439.24480119866
p41,2046,2046-07-31,95115.98986053621
p41,2046,2046-08-01,96377.84126637726
p41,2046,2046-08-02,92621.95724507923
p41,2046,2046-08-05,83419.62660120033
p41,2046,2046-08-06,91857.9934052144
p41,2046,2046-08-09,94471.77522395003
p41,2046,2046-08-10,95785.49662268804
p41,2046,2046-08-12,81721.69306407231
p41,2046,2046-08-24,88528.57992655206
p41,2047,2047-07-18,94893.03716200971
p41,2047,2047-08-09,92799.62006556078
p41,2047,2047-08-10,85873.5239031248
p41,2047,2047-08-11,90277.01232068773
p41,2047,2047-08-12,92171.29737327325
p41,2047,2047-08-13,93393.80286517371
p41,2047,2047-08-14,96391.6027240488
p41,2047,2047-08-15,93680.51193126386
p41,2047,2047-08-16,84611.02064302097
p41,2047,2047-08-21,94925.13575359409
p41,2047,2047-08-22,92553.31474530046
p41,2047,2047-08-27,91591.23961990152
p41,2048,2048-07-27,91287.31062037824
p41,2048,2048-07-28,94408.74451136618
p41,2048,2048-07-29,87502.68374270023
p41,2048,2048-07-31,91601.74073012691
p41,2048,2048-08-01,86872.75185065858
p41,2048,2048-08-02,87901.90384935262
p41,2048,2048-08-03,99913.19532381129
p41,2048,2048-08-04,94933.52334911683
p41,2049,2049-07-24,83729.41921844802
p41,2049,2049-08-03,93010.45881718221
p41,2049,2049-08-07,85626.50689102177
p41,2049,2049-08-08,93472.794642965
p41,2049,2049-08-09,96269.72903506062
p41,2050,2050-07-14,98965.71029869822
p41,2050,2050-08-08,99546.75183932585
p41,2050,2050-08-09,101336.71323973879
p41,2050,2050-08-10,101664.89227748249
p41,2050,2050-08-11,98374.50557736578
p41,2050,2050-08-12,98714.4894840526
p41,2050,2050-08-13,92303.81027858911
p41,2050,2050-08-19,91317.50591084083
p41,2050,2050-08-22,91488.87066070721
p41,2050,2050-09-06,81958.80071034307
p41,2051,2051-06-30,93954.44793152153
p41,2051,2051-07-01,92906.70391745659
p41,2051,2051-07-10,96786.06237132032
p41,2051,2051-07-11,97589.13344557493
p41,2051,2051-07-15,92667.88614624584
p41,2051,2051-07-16,91497.33937309202
p41,2051,2051-07-17,101039.14249819254
p41,2051,2051-07-18,103301.67375189341
p41,2051,2051-07-19,101905.93081553066
p41,2051,2051-07-20,104605.22386305754
p41,2051,2051-07-21,93586.24284014154
p41,2051,2051-07-26,97303.98616529004
p41,2051,2051-07-27,100013.1091900069
p41,2051,2051-07-28,91511.76316396742
p41,2051,2051-07-31,96815.96323306106
p41,2051,2051-08-01,102171.84827329127
p41,2051,2051-08-02,101975.90590410923
p41,2051,2051-08-06,88830.30423095058
p41,2051,2051-08-07,96826.52509116207
p41,2051,2051-08-18,87062.57569279517
p41,2051,2051-08-19,87379.1527935149
p41,2051,2051-08-22,93644.07204390594
p41,2051,2051-08-23,98799.2736629664
p41,2051,2051-08-24,91334.91133984021
p41,2051,2051-08-26,78462.64275920323
p41,2051,2051-08-27,82101.16426216334
p41,2051,2051-08-31,91231.58840294172
p41,2051,2051-09-01,90658.51623920343
p41,2051,2051-09-02,88357.77160320301
p41,2052,2052-06-18,91331.47821499272
p41,2052,2052-06-24,92532.85554654434
p41,2052,2052-06-25,91068.07709595862
p41,2052,2052-06-27,95693.14602262429
p41,2052,2052-06-28,94087.22069017512
p41,2052,2052-06-29,84425.98564281019
p41,2052,2052-06-30,84843.24485091459
p41,2052,2052-07-01,95455.34675200266
p41,2052,2052-07-02,95906.16775770106
p41,2052,2052-07-03,100700.98630359127
p41,2052,2052-07-04,84994.2197048675
p41,2052,2052-07-05,99954.52121845342
p41,2052,2052-07-06,93619.60523625703
p41,2052,2052-07-07,89852.1191159612
p41,2052,2052-07-13,87519.03656847282
p41,2052,2052-07-15,96120.39507976662
p41,2052,2052-07-16,97918.01535699825
p41,2052,2052-07-17,99276.64565202112
p41,2052,2052-07-18,98826.88880954092
p41,2052,2052-07-19,99005.85299182615
p41,2052,2052-07-20,91406.74495622845
p41,2052,2052-07-21,90213.53765885878
p41,2052,2052-07-22,98578.16058884443
p41,2052,2052-07-23,102142.80025849328
p41,2052,2052-07-24,99932.18859115941
p41,2052,2052-07-25,101700.37891235578
p41,2052,2052-07-26,96750.9326252876
p41,2052,2052-07-29,94887.15182110641
p41,2052,2052-07-30,89321.015689801
p41,2052,2052-07-31,93527.12363939061
p41,2052,2052-08-01,97861.31918395581
p41,2052,2052-08-02,97663.93792423084
p41,2052,2052-08-03,89661.92242662216
p41,2052,2052-08-04,86972.2948490614
p41,2052,2052-08-06,87820.69212802885
p41,2052,2052-08-07,94616.7748720496
p41,2052,2052-08-08,94764.23364491679
p41,2052,2052-08-29,92996.71497167654
p41,2052,2052-08-30,95804.20812933762
p41,2052,2052-09-04,92975.24515667537
p41,2053,2053-07-09,100614.18387388448
p41,2053,2053-08-21,93292.6953389695
p41,2053,2053-08-24,89911.18619577351
p41,2053,2053-08-25,100471.12408970407
p41,2053,2053-08-26,101412.13540017384
p41,2053,2053-08-27,102114.86535300783
