rb,Year,Date,Load_sum
p64,2022,2022-01-11,189093.71531084433
p64,2023,2023-12-24,177679.7267677575
p64,2023,2023-12-25,186852.4937376974
p64,2023,2023-12-26,187507.3447637928
p64,2023,2023-12-29,173283.99522301217
p64,2023,2023-12-30,166689.47667818025
p64,2025,2025-01-21,180858.17767305838
p64,2025,2025-02-02,157392.72658066562
p64,2029,2029-12-16,187105.6859722382
p64,2029,2029-12-22,217958.52737770855
p64,2029,2029-12-23,228797.49379508893
p64,2029,2029-12-24,203604.52888265054
p64,2036,2036-02-03,201307.93572262095
p64,2036,2036-02-04,221997.6715865228
p64,2050,2050-01-09,266891.7772031509
p64,2051,2051-02-02,310636.11546195694
p64,2051,2051-02-03,315607.51705838594
p64,2054,2054-01-06,314307.0869209484
p64,2054,2054-03-03,295837.7493598246
p64,2058,2058-01-17,350217.85649638297
p64,2062,2062-01-11,404514.1440882482
p64,2063,2063-12-24,393036.60156485473
p64,2063,2063-12-25,395342.74570393184
p64,2063,2063-12-26,401649.3640795784
p64,2063,2063-12-29,364948.45294863207
p64,2063,2063-12-30,357235.5460434378
p64,2065,2065-01-21,391282.91197929677
p64,2069,2069-12-16,418814.40163228026
p64,2069,2069-12-22,469522.269750102
p64,2069,2069-12-23,505485.55207274284
p64,2069,2069-12-24,438418.470570757
p64,2076,2076-02-04,479609.14050527825
p64,2090,2090-01-09,630495.8599107546
p64,2091,2091-02-02,688209.829076374
p64,2091,2091-02-03,624864.4261488233
p64,2094,2094-01-06,694445.116493563
p64,2094,2094-03-03,655794.9248084822
p64,2098,2098-01-17,758420.3715482231
