rb,Year,Date,Load_sum
p76,2020,2020-07-07,39037.58
p76,2020,2020-07-11,37162.74
p76,2020,2020-08-07,43223.69
p76,2021,2021-07-12,39402.08
p76,2023,2023-07-14,42207.34
p76,2023,2023-07-21,45142.75
p76,2023,2023-08-19,36387.51
p76,2023,2023-09-09,32021.52
p76,2023,2023-09-10,35028.27
p76,2024,2024-08-28,38310.9
p76,2024,2024-08-29,36461.47
p76,2025,2025-09-03,39119.26
p76,2025,2025-09-06,35663.92
p76,2026,2026-07-17,42958.53
p76,2027,2027-06-14,39116.63
p76,2027,2027-07-11,38605.28
p76,2027,2027-07-20,44187.33
p76,2027,2027-07-21,41286.71
p76,2027,2027-07-23,41804.89
p76,2027,2027-07-24,37373.36
p76,2027,2027-08-02,42673.48
p76,2027,2027-08-03,40828.39
p76,2027,2027-08-16,44213.7
p76,2028,2028-06-20,39428.84
p76,2028,2028-06-21,37824.27
p76,2028,2028-06-22,40572.73
p76,2028,2028-06-25,33368.94
p76,2028,2028-07-05,35536.76
p76,2028,2028-07-06,37586.0
p76,2028,2028-07-07,40060.89
p76,2028,2028-07-08,35931.0
p76,2028,2028-07-13,35387.81
p76,2028,2028-07-14,37179.88
p76,2028,2028-07-15,32496.21
p76,2028,2028-07-16,36290.86
p76,2028,2028-07-17,37215.22
p76,2028,2028-07-27,35906.28
p76,2028,2028-07-28,36904.19
p76,2028,2028-07-29,33296.89
p76,2028,2028-07-30,32996.79
p76,2028,2028-07-31,35190.64
p76,2028,2028-08-01,36502.88
p76,2028,2028-08-02,38951.33
p76,2028,2028-08-03,40044.47
p76,2028,2028-08-04,39678.04
p76,2028,2028-08-06,30813.35
p76,2028,2028-08-07,35793.95
p76,2028,2028-08-08,37155.01
p76,2028,2028-08-11,37662.81
p76,2028,2028-08-12,35393.07
p76,2028,2028-08-14,41458.28
p76,2028,2028-08-15,39242.87
p76,2028,2028-08-16,37954.32
p76,2028,2028-08-17,39963.99
p76,2028,2028-09-18,35575.78
p76,2029,2029-07-09,40585.07
p76,2029,2029-07-10,40282.15
p76,2029,2029-07-27,41628.92
p76,2029,2029-08-02,39692.51
p76,2029,2029-08-04,39425.74
p76,2029,2029-08-05,36779.47
p76,2029,2029-08-22,38472.82
p76,2030,2030-07-04,37728.89
p76,2030,2030-09-06,38843.73
p76,2031,2031-07-18,41818.92
p76,2031,2031-07-22,41312.76
p76,2031,2031-08-26,38238.63
p76,2031,2031-08-27,39431.58
p76,2031,2031-09-09,39141.01
p76,2034,2034-09-15,37767.81
p76,2035,2035-07-13,46303.12
p76,2035,2035-07-14,40017.11
p76,2038,2038-07-14,42978.6
p76,2038,2038-07-20,39928.15
p76,2038,2038-08-20,34961.71
p76,2038,2038-08-23,36340.59
p76,2038,2038-09-05,29135.63
p76,2038,2038-09-06,30617.59
p76,2039,2039-07-04,37141.56
p76,2039,2039-07-05,45218.82
p76,2039,2039-07-24,36629.23
p76,2039,2039-07-29,41494.1
p76,2039,2039-07-30,38548.28
p76,2040,2040-08-31,36538.57
p76,2040,2040-09-03,31267.22
p76,2040,2040-09-10,39522.28
p76,2040,2040-09-11,39819.46
p76,2040,2040-09-18,32554.0
p76,2041,2041-07-21,39519.36
p76,2041,2041-07-22,45053.43
p76,2041,2041-07-23,43476.54
p76,2041,2041-07-31,39119.91
p76,2041,2041-08-01,41242.03
p76,2041,2041-08-05,38376.15
p76,2041,2041-08-06,39400.87
p76,2041,2041-08-07,40476.65
p76,2041,2041-08-08,39633.43
p76,2041,2041-08-09,38906.04
p76,2041,2041-08-30,35080.81
p76,2041,2041-09-07,33878.68
p76,2042,2042-06-30,40748.08
p76,2042,2042-07-01,43078.43
p76,2042,2042-07-21,40955.14
p76,2042,2042-07-22,40790.72
p76,2042,2042-07-28,40461.62
p76,2042,2042-07-30,38801.11
p76,2042,2042-07-31,38274.05
p76,2042,2042-08-01,40582.6
p76,2042,2042-08-11,35934.24
p76,2042,2042-09-02,36080.63
p76,2042,2042-09-07,29498.31
p76,2042,2042-09-08,34420.65
p76,2042,2042-09-09,35511.59
p76,2043,2043-06-25,42735.3
p76,2043,2043-07-03,33322.39
p76,2043,2043-07-26,33187.27
p76,2043,2043-07-27,39335.38
p76,2043,2043-08-15,35062.83
p76,2043,2043-08-16,33154.37
p76,2043,2043-08-19,34783.71
p76,2043,2043-08-20,36170.8
p76,2043,2043-08-21,38431.979999999996
p76,2043,2043-08-24,34252.78
p76,2043,2043-08-25,36969.15
p76,2043,2043-08-26,35343.41
p76,2043,2043-09-06,27668.239999999998
p76,2043,2043-09-07,29387.19
p76,2045,2045-06-24,34517.81
p76,2045,2045-07-16,36417.67
p76,2045,2045-07-17,40948.99
p76,2045,2045-07-20,37376.13
p76,2045,2045-07-24,39490.95
p76,2045,2045-07-25,39113.53
p76,2045,2045-07-31,35934.59
p76,2045,2045-08-01,38216.33
p76,2045,2045-08-02,37807.63
p76,2045,2045-08-03,39598.01
p76,2045,2045-08-08,35646.78
p76,2045,2045-08-09,37258.38
p76,2045,2045-09-10,29880.1
p76,2045,2045-09-11,36953.92
p76,2045,2045-09-12,36031.229999999996
p76,2045,2045-09-13,38353.78
p76,2045,2045-09-21,33888.48
p76,2046,2046-07-15,36035.93
p76,2046,2046-07-16,39934.45
p76,2046,2046-07-17,41673.26
p76,2046,2046-07-28,34478.3
p76,2046,2046-07-29,35304.38
p76,2046,2046-07-31,43284.32
p76,2046,2046-08-01,40449.76
p76,2046,2046-08-02,42316.13
p76,2047,2047-06-26,41502.770000000004
p76,2047,2047-07-08,42296.090000000004
p76,2047,2047-07-09,40855.3
p76,2047,2047-07-30,37647.59
p76,2047,2047-07-31,39502.51
p76,2047,2047-08-01,38998.13
p76,2047,2047-08-02,39905.21
p76,2047,2047-08-07,42343.78
p76,2047,2047-08-14,34765.65
p76,2050,2050-08-29,36195.18
p76,2051,2051-07-17,43152.49
p76,2051,2051-07-20,44425.01
p76,2051,2051-07-21,42451.15
p76,2051,2051-07-31,41723.3
p76,2052,2052-06-18,39604.22
p76,2052,2052-06-19,33924.86
p76,2052,2052-06-20,41649.74
p76,2052,2052-06-28,39631.25
p76,2052,2052-06-29,33482.04
p76,2052,2052-06-30,33905.4
p76,2052,2052-07-02,39585.54
p76,2052,2052-07-03,40633.26
p76,2052,2052-07-04,35610.23
p76,2052,2052-07-05,42579.97
p76,2052,2052-07-06,34038.65
p76,2052,2052-07-13,31080.61
p76,2052,2052-07-14,33845.65
p76,2052,2052-07-15,39266.77
p76,2052,2052-07-16,39236.02
p76,2052,2052-07-17,41706.84
p76,2052,2052-07-21,31061.24
p76,2052,2052-07-22,38270.56
p76,2052,2052-07-23,38724.85
p76,2052,2052-07-24,39855.64
p76,2052,2052-07-25,35671.56
p76,2052,2052-07-26,38730.05
p76,2052,2052-07-30,37053.97
p76,2052,2052-08-01,38550.77
p76,2052,2052-08-03,31875.63
p76,2052,2052-08-04,32865.27
p76,2052,2052-08-06,34045.64
p76,2052,2052-08-07,34871.73
p76,2052,2052-08-23,33979.45
p76,2052,2052-08-24,29518.26
p76,2052,2052-08-25,29708.85
p76,2052,2052-08-30,35991.54
p76,2052,2052-08-31,32074.71
p76,2052,2052-09-03,37198.03
p76,2052,2052-09-04,39627.07
p76,2052,2052-09-05,38306.46
p76,2052,2052-09-12,34055.33
p76,2053,2053-07-17,44942.25
p76,2053,2053-07-18,44237.29
p76,2053,2053-08-25,37573.08
p76,2053,2053-08-26,39785.27
p76,2053,2053-08-27,40448.77
p76,2053,2053-08-30,34952.82
p76,2053,2053-09-10,38525.36
p76,2054,2054-09-04,38411.07
p76,2055,2055-08-14,36449.49
p76,2055,2055-08-16,41018.03
p76,2055,2055-09-01,39607.35
p76,2055,2055-09-06,35212.36
p76,2056,2056-07-22,37896.71
p76,2056,2056-07-24,42693.55
p76,2056,2056-08-11,40770.92
p76,2057,2057-09-22,32684.79
p76,2057,2057-09-23,31837.11
p76,2057,2057-09-24,37807.48
p76,2058,2058-05-27,31418.98
p76,2058,2058-06-17,41787.03
p76,2058,2058-06-29,38081.89
p76,2058,2058-06-30,36342.77
p76,2058,2058-07-04,34634.03
p76,2058,2058-08-05,39797.29
p76,2058,2058-08-06,40305.78
p76,2058,2058-08-09,39269.35
p76,2058,2058-08-11,33001.74
p76,2058,2058-08-13,37629.68
p76,2058,2058-08-14,37336.88
p76,2058,2058-08-27,40249.36
p76,2058,2058-09-17,41233.79
p76,2059,2059-07-19,40451.549999999996
p76,2060,2060-06-25,43542.38
p76,2060,2060-06-26,39828.74
p76,2060,2060-07-07,41191.54
p76,2060,2060-07-08,41964.159999999996
p76,2060,2060-07-10,34195.65
p76,2060,2060-07-11,39084.04
p76,2060,2060-07-12,40452.95
p76,2060,2060-07-13,41750.38
p76,2060,2060-07-14,43475.79
p76,2060,2060-07-15,44914.59
p76,2060,2060-07-16,41698.91
p76,2060,2060-07-19,39988.69
p76,2060,2060-07-20,37980.27
p76,2060,2060-07-28,37984.42
p76,2060,2060-08-01,34180.81
p76,2060,2060-08-04,37356.89
p76,2060,2060-08-05,41374.01
p76,2060,2060-08-06,38083.45
p76,2060,2060-08-07,37758.9
p76,2060,2060-08-08,37154.41
p76,2060,2060-08-09,41064.34
p76,2060,2060-08-18,40905.11
p76,2060,2060-08-19,41630.17
p76,2060,2060-08-20,42112.45
p76,2060,2060-08-21,35224.36
p76,2060,2060-08-22,33302.71
p76,2060,2060-08-23,37402.0
p76,2060,2060-08-24,35735.67
p76,2060,2060-08-25,36510.69
p76,2060,2060-08-26,37209.17
p76,2060,2060-08-28,31042.53
p76,2060,2060-08-29,31986.8
p76,2060,2060-09-03,36148.61
p76,2060,2060-09-04,31290.04
p76,2060,2060-09-05,29463.35
p76,2060,2060-09-07,34648.55
p76,2060,2060-09-08,35195.3
p76,2060,2060-09-13,36755.76
p76,2061,2061-06-14,45245.41
p76,2061,2061-06-28,37606.36
p76,2061,2061-07-06,41666.57
p76,2061,2061-07-07,41321.88
p76,2061,2061-07-08,44507.37
p76,2061,2061-07-09,36047.72
p76,2061,2061-07-12,38802.84
p76,2061,2061-07-13,41185.85
p76,2061,2061-07-17,34824.74
p76,2061,2061-07-18,40253.12
p76,2061,2061-07-19,40647.95
p76,2061,2061-07-25,38710.62
p76,2061,2061-08-01,38014.35
p76,2061,2061-08-02,40434.72
p76,2061,2061-08-03,41325.02
p76,2061,2061-08-06,35186.74
p76,2061,2061-08-09,38685.95
p76,2061,2061-08-12,37389.0
p76,2061,2061-08-13,33768.31
p76,2061,2061-08-15,42315.25
p76,2061,2061-08-23,35872.07
p76,2061,2061-08-31,40588.29
p76,2061,2061-09-10,32170.69
p76,2061,2061-09-11,31078.6
p76,2061,2061-09-13,35005.92
p76,2062,2062-07-05,43756.7
p76,2062,2062-07-17,46831.32
