rb,Year,Date,Load_sum
p83,2020,2020-07-15,55175.89319637732
p83,2023,2023-08-17,49702.648216605034
p83,2023,2023-08-18,52661.425422915876
p83,2023,2023-08-19,47458.5408159304
p83,2023,2023-08-20,48740.518728166746
p83,2023,2023-08-21,52569.434556417706
p83,2023,2023-08-26,46882.92480075907
p83,2023,2023-09-06,48597.20854117685
p83,2023,2023-09-09,40261.140450430634
p83,2024,2024-08-28,47374.767981743586
p83,2024,2024-08-29,49540.110624171306
p83,2027,2027-08-02,53321.40962185761
p83,2027,2027-08-03,53948.268494202086
p83,2027,2027-08-21,42836.77756392886
p83,2028,2028-06-25,43281.97931293733
p83,2028,2028-07-14,52305.75049328695
p83,2028,2028-07-15,44910.76698886075
p83,2028,2028-07-16,46172.86861106168
p83,2028,2028-07-31,48004.8157530443
p83,2028,2028-08-01,48815.82443434913
p83,2028,2028-08-02,49481.1464242454
p83,2028,2028-08-03,50139.183270635745
p83,2028,2028-08-04,51329.4315561218
p83,2028,2028-08-05,46353.86708241891
p83,2028,2028-08-07,46354.886414312794
p83,2028,2028-08-08,50008.48294744183
p83,2028,2028-08-09,50508.42897747344
p83,2028,2028-08-11,50532.03053224549
p83,2028,2028-08-12,48299.78004924795
p83,2028,2028-08-13,47560.92237031001
p83,2028,2028-08-14,53356.53624509293
p83,2028,2028-08-15,54379.0305651419
p83,2028,2028-08-16,49923.94686831624
p83,2028,2028-08-17,49057.98680235204
p83,2028,2028-08-18,48398.36418000438
p83,2031,2031-09-13,44231.74035347936
p83,2038,2038-08-24,48468.43375959302
p83,2038,2038-09-06,39229.89144205316
p83,2039,2039-07-29,50543.780514299564
p83,2039,2039-07-30,45237.135112145006
p83,2040,2040-08-15,45306.70801560387
p83,2040,2040-08-17,41904.06293003448
p83,2040,2040-08-29,46961.93819821572
p83,2040,2040-08-30,45913.30080795997
p83,2040,2040-08-31,47348.406143907014
p83,2040,2040-09-01,43409.56716010981
p83,2043,2043-08-16,42113.67208811466
p83,2043,2043-08-21,45536.73468663131
p83,2043,2043-08-25,44768.477449170125
p83,2043,2043-08-26,45884.63904843272
p83,2043,2043-08-27,45180.17998645056
p83,2043,2043-08-28,41731.63469131978
p83,2045,2045-07-24,46726.54519745161
p83,2045,2045-07-25,45936.67728999749
p83,2045,2045-07-26,47009.51754279714
p83,2045,2045-08-11,45043.25556595929
p83,2046,2046-07-31,47180.46364616088
p83,2046,2046-08-01,48037.093848331104
p83,2046,2046-08-02,48774.51742112788
p83,2047,2047-08-12,46344.627690731155
p83,2051,2051-08-24,44888.68633337776
p83,2051,2051-09-01,42572.81531525431
p83,2051,2051-09-02,38840.264394074096
p83,2052,2052-06-28,42228.472800921314
p83,2052,2052-06-29,41926.34498623245
p83,2052,2052-07-01,46487.51213489482
p83,2052,2052-07-04,39425.35514957505
p83,2052,2052-07-05,47116.38876481848
p83,2052,2052-07-06,43547.17416500836
p83,2052,2052-07-07,43218.006671953815
p83,2052,2052-07-08,43728.88442856545
p83,2052,2052-07-17,47716.41168334848
p83,2052,2052-07-18,47830.85380806216
p83,2052,2052-07-19,45747.97332135718
p83,2052,2052-07-22,42795.467012641966
p83,2052,2052-07-23,46632.14494911455
p83,2052,2052-07-24,46671.74159969241
p83,2052,2052-07-25,44060.118324547
p83,2052,2052-07-26,44924.24941066172
p83,2052,2052-07-30,41961.650084611785
p83,2052,2052-07-31,43946.531276126334
p83,2052,2052-08-02,43079.40578358297
p83,2052,2052-08-03,38969.03182649177
p83,2052,2052-08-04,42621.38346933714
p83,2052,2052-08-05,43390.625682461294
p83,2052,2052-08-07,39069.00107182675
p83,2052,2052-08-08,40681.20919458373
p83,2053,2053-08-28,43810.90614318345
p83,2053,2053-09-10,42153.647731982535
p83,2054,2054-09-05,41359.336647083306
p83,2060,2060-07-08,46516.28180756364
p83,2060,2060-07-09,45609.286235355314
p83,2060,2060-07-12,46001.06718991603
p83,2060,2060-07-15,47183.599660580396
p83,2060,2060-07-16,46046.91233770878
p83,2060,2060-07-20,44763.706523264176
p83,2060,2060-08-07,40468.1776252379
p83,2060,2060-08-08,40305.72225582216
p83,2060,2060-08-09,45626.369468690646
p83,2060,2060-08-10,45247.71386879794
p83,2060,2060-08-20,46681.694329130056
p83,2060,2060-09-13,38691.297060504294
p83,2062,2062-08-04,44481.23792405467
p83,2063,2063-07-21,42909.9421954965
p83,2063,2063-07-22,42452.6193377206
p83,2063,2063-07-23,45926.26024180043
p83,2063,2063-08-18,41314.63796395211
p83,2063,2063-08-19,40505.81525019152
p83,2063,2063-08-20,46662.232207194174
p83,2063,2063-08-21,45546.96437145188
p83,2063,2063-08-25,40894.66383571213
p83,2063,2063-08-26,40705.680094877265
p83,2063,2063-08-27,44841.56593000833
p83,2063,2063-08-30,40757.45193278202
p83,2063,2063-09-05,41376.858885433045
p83,2063,2063-09-06,42899.298689541174
p83,2063,2063-09-09,36137.314422739655
p83,2063,2063-09-10,41813.17702773734
p83,2064,2064-08-08,45629.40831529609
p83,2064,2064-08-28,41377.711314831824
p83,2064,2064-08-29,42762.615085118334
p83,2064,2064-08-30,35176.17890563543
p83,2064,2064-09-01,33275.982956914246
p83,2064,2064-09-02,39370.85871002996
p83,2064,2064-09-13,37044.57922107579
p83,2065,2065-09-06,40546.24375943221
p83,2065,2065-09-07,39730.449209716644
p83,2065,2065-09-08,45081.48795201919
p83,2065,2065-09-09,42926.51287171473
p83,2066,2066-07-19,44695.66440055472
p83,2066,2066-07-25,39556.93218612148
p83,2066,2066-08-26,41386.77388435733
p83,2067,2067-07-26,45018.16984636456
p83,2067,2067-08-02,44937.86327014763
p83,2067,2067-08-03,46395.47095695117
p83,2067,2067-08-04,42163.06861563353
p83,2067,2067-08-13,38564.16983902686
p83,2067,2067-08-16,45166.9826058422
p83,2067,2067-08-17,43896.16063080122
p83,2067,2067-08-18,39835.04084720949
p83,2067,2067-08-21,36793.6908369984
p83,2067,2067-08-22,41395.015409562184
p83,2067,2067-08-26,39816.73325962014
p83,2068,2068-06-20,41549.45334342427
p83,2068,2068-06-21,43307.70102427451
p83,2068,2068-06-22,42668.54975912101
p83,2068,2068-06-25,41939.00347403572
p83,2068,2068-06-26,38208.20200091292
p83,2068,2068-07-05,40976.77614737126
p83,2068,2068-07-06,42678.09749384064
p83,2068,2068-07-07,39665.83262484864
p83,2068,2068-07-08,38745.466117404234
p83,2068,2068-07-09,42361.039636906855
p83,2068,2068-07-14,41137.51095239397
p83,2068,2068-07-15,39576.21544710319
p83,2068,2068-07-16,43532.50570046432
p83,2068,2068-07-28,35222.14790412208
p83,2068,2068-07-29,36833.53876696303
p83,2068,2068-07-30,41266.182197799135
p83,2068,2068-07-31,40955.113211223514
p83,2068,2068-08-01,42440.151724174386
p83,2068,2068-08-02,44472.04635274876
p83,2068,2068-08-03,44875.89509143303
p83,2068,2068-08-04,40149.25636770305
p83,2068,2068-08-05,38634.25605167627
p83,2068,2068-08-06,41891.90018852822
p83,2068,2068-08-07,41866.669674588156
p83,2068,2068-08-08,43388.53500201515
p83,2068,2068-08-09,42418.50608792507
p83,2068,2068-08-10,41537.957519563875
p83,2068,2068-08-11,38816.463001287186
p83,2068,2068-08-12,42239.73105618103
p83,2068,2068-08-13,46418.12012390318
p83,2068,2068-08-14,46076.36302039314
p83,2068,2068-08-15,47402.96246602551
p83,2068,2068-08-16,44065.0234539038
p83,2068,2068-08-17,44232.523144723105
p83,2068,2068-08-18,38428.62612086506
p83,2068,2068-08-19,38081.866021123824
p83,2068,2068-08-22,37115.66953075337
p83,2068,2068-08-25,32728.937487625848
p83,2070,2070-08-28,43068.472831066516
p83,2070,2070-09-06,36882.10083373126
p83,2071,2071-07-22,43339.22533603249
p83,2071,2071-08-02,38687.40035417506
p83,2071,2071-08-22,35327.48442579388
p83,2071,2071-08-25,40088.08224471496
p83,2071,2071-08-26,42239.68410933448
p83,2071,2071-08-28,44292.75613211284
p83,2071,2071-09-03,41133.12692177206
p83,2071,2071-09-10,43298.33823412787
p83,2071,2071-09-13,38086.82908011687
p83,2071,2071-09-14,40106.263952085326
p83,2071,2071-09-15,41766.268785325454
p83,2074,2074-08-25,36445.81662803986
p83,2075,2075-08-12,42892.49089153862
p83,2075,2075-08-13,44082.31711802111
p83,2075,2075-08-14,44570.798497301934
p83,2075,2075-08-16,44977.84510554748
p83,2075,2075-08-30,41768.05261826822
p83,2076,2076-08-07,43924.959600850896
p83,2077,2077-07-26,42324.348352442124
p83,2077,2077-07-27,43376.106779437614
p83,2077,2077-08-16,42992.27752777986
p83,2078,2078-08-23,38037.0321865749
p83,2078,2078-08-24,42123.25792802949
p83,2078,2078-09-05,31790.050903168645
p83,2078,2078-09-06,37856.7230895759
p83,2079,2079-07-22,38612.33870781127
p83,2079,2079-07-25,43789.393216064505
p83,2079,2079-07-28,43828.02737945784
p83,2079,2079-07-29,38819.08604703123
p83,2079,2079-07-30,38512.570254057886
p83,2079,2079-08-28,39826.28219379861
p83,2079,2079-09-02,33146.28897942845
p83,2079,2079-09-03,33905.416790805386
p83,2079,2079-09-04,33264.651791704695
p83,2079,2079-09-05,38122.16309837431
p83,2080,2080-08-06,40339.5804528962
p83,2080,2080-08-09,41007.44497054639
p83,2080,2080-08-14,37373.747308087666
p83,2080,2080-08-15,39207.301274879916
p83,2080,2080-08-16,37790.09091986517
p83,2080,2080-08-17,32442.573247601813
p83,2080,2080-08-23,38155.200294515416
p83,2080,2080-08-28,37997.17075278068
p83,2080,2080-08-29,39328.08352373717
p83,2080,2080-08-30,39478.370460438506
p83,2080,2080-08-31,37090.941105269354
p83,2080,2080-09-01,37659.04537356225
p83,2080,2080-09-02,36794.21582407147
p83,2080,2080-09-03,40484.793806185255
p83,2081,2081-07-07,36228.944597801405
p83,2081,2081-07-08,42800.063759014105
p83,2081,2081-07-24,42162.346630428096
p83,2081,2081-07-30,41173.131490676795
p83,2081,2081-07-31,39571.604409202984
p83,2081,2081-08-07,41291.650590596466
p83,2081,2081-08-08,42492.8841864125
p83,2081,2081-08-09,39873.605564349215
p83,2081,2081-08-22,37632.540185522805
p83,2081,2081-08-30,33237.392489935046
p83,2081,2081-09-06,32599.759176548036
p83,2082,2082-08-22,37906.145598558694
p83,2082,2082-09-08,37098.09260465494
p83,2082,2082-09-09,37245.663154532085
p83,2083,2083-07-27,39032.867882091145
p83,2083,2083-08-14,36550.501618578426
p83,2083,2083-08-16,40626.45733879953
p83,2083,2083-08-17,37520.199929518756
p83,2083,2083-08-20,38226.38201048321
p83,2083,2083-08-21,34781.031027320736
p83,2083,2083-08-22,34641.521174270376
p83,2083,2083-08-24,35444.33276253998
p83,2083,2083-08-25,38919.26340065035
p83,2083,2083-08-26,39435.80445440699
p83,2083,2083-08-27,38568.032330512404
p83,2083,2083-08-28,31903.11818897908
p83,2084,2084-08-27,36920.45436187762
p83,2085,2085-07-21,37389.70871916805
p83,2085,2085-07-24,39271.758922741436
p83,2085,2085-07-25,38769.57437944566
p83,2085,2085-07-26,40102.37050373274
p83,2085,2085-08-03,40769.32884493759
p83,2085,2085-08-04,35641.21813829771
p83,2085,2085-08-09,39885.90808714275
p83,2085,2085-08-10,38437.69837654632
p83,2085,2085-08-11,34172.51472775891
p83,2085,2085-08-12,35879.17665234516
p83,2085,2085-08-18,35219.77424421866
p83,2085,2085-08-19,36682.15797266991
p83,2086,2086-07-29,41075.70419707031
p83,2086,2086-07-30,41580.838335266075
p83,2086,2086-07-31,41558.98294150494
p83,2086,2086-08-01,42161.341608349765
p83,2086,2086-08-02,41962.05879248422
p83,2086,2086-08-03,36657.35310027443
p83,2086,2086-08-07,39276.55313056843
p83,2086,2086-08-10,36308.70940044367
p83,2087,2087-08-07,40741.43755242953
p83,2087,2087-08-08,42486.59368540106
p83,2087,2087-08-09,37851.51449307763
p83,2087,2087-08-12,39974.1860771974
p83,2087,2087-08-13,38008.84459904289
p83,2087,2087-08-14,35840.53771129387
p83,2087,2087-08-15,36650.68046464959
p83,2087,2087-08-16,33025.57217413383
p83,2087,2087-08-22,41001.18806909249
p83,2087,2087-08-23,36231.10362293314
p83,2087,2087-08-28,37751.836990366246
p83,2087,2087-08-29,39175.84744165577
p83,2087,2087-09-04,34635.85700644744
p83,2090,2090-08-04,41315.41958282532
p83,2090,2090-08-11,41472.54835785386
p83,2090,2090-08-13,37431.26157618648
p83,2091,2091-07-20,41996.364915905295
p83,2091,2091-07-21,37965.94319562335
p83,2091,2091-08-24,38253.21342524966
p83,2091,2091-09-01,32992.70055955201
p83,2091,2091-09-02,33342.554259777935
p83,2091,2091-09-03,32918.5114084439
p83,2092,2092-06-28,32478.309909589563
p83,2092,2092-06-29,35992.84510679668
p83,2092,2092-06-30,37386.41316809271
p83,2092,2092-07-01,39706.632591787326
p83,2092,2092-07-02,39524.04923479974
p83,2092,2092-07-03,39327.33054391209
p83,2092,2092-07-04,33877.00564769478
p83,2092,2092-07-05,36703.78729113443
p83,2092,2092-07-06,37173.058694756706
p83,2092,2092-07-07,40855.38494374473
p83,2092,2092-07-08,37652.837966526604
p83,2092,2092-07-16,39520.13744090613
p83,2092,2092-07-17,40736.84518914847
p83,2092,2092-07-18,40859.32244736945
p83,2092,2092-07-19,35257.66818596619
p83,2092,2092-07-22,36162.2447723409
p83,2092,2092-07-23,38939.90558628389
p83,2092,2092-07-24,39334.103379637694
p83,2092,2092-07-25,37746.98242782454
p83,2092,2092-07-26,34665.67690856761
p83,2092,2092-07-27,32843.81048089483
p83,2092,2092-07-30,35643.66808549366
p83,2092,2092-07-31,38170.29175607434
p83,2092,2092-08-01,36103.53857541338
p83,2092,2092-08-02,33093.40549300037
p83,2092,2092-08-03,33804.89320611054
p83,2092,2092-08-04,40184.75905692623
p83,2092,2092-08-05,37592.59652290929
p83,2092,2092-08-07,33658.187229428935
p83,2092,2092-08-08,35012.92605055924
p83,2092,2092-08-23,29028.203216843915
p83,2092,2092-08-24,29346.61724500863
p83,2092,2092-08-25,34082.93990798032
p83,2092,2092-08-30,30935.478199755802
p83,2093,2093-08-28,38498.11331809044
p83,2093,2093-08-30,34683.88568240804
p83,2093,2093-08-31,38108.05867102086
p83,2093,2093-09-09,35398.332681493055
p83,2093,2093-09-10,36722.69801043733
p83,2093,2093-09-11,37239.975724199736
p83,2094,2094-08-25,39815.94357856984
p83,2094,2094-09-05,35654.29578706047
p83,2097,2097-09-04,32134.316411461456
p83,2097,2097-09-21,34078.14560010837
p83,2097,2097-09-23,37536.19625342357
p83,2098,2098-08-25,35005.94457246703
p83,2098,2098-08-26,36906.40914592407
p83,2098,2098-08-27,38433.196495449156
p83,2098,2098-09-03,37317.255925599
