rb,Year,Date,Load_sum
p8,2022,2022-01-06,3756.45
p8,2023,2023-12-22,4580.2
p8,2023,2023-12-23,4381.79
p8,2028,2028-12-26,4506.97
p8,2028,2028-12-27,4553.4
p8,2029,2029-02-04,3473.69
p8,2029,2029-02-05,3742.69
p8,2029,2029-02-06,3624.85
p8,2029,2029-02-07,3576.56
p8,2030,2030-02-14,3577.15
p8,2030,2030-12-20,4725.25
p8,2030,2030-12-21,4768.6
p8,2030,2030-12-22,4659.23
p8,2030,2030-12-29,4242.01
p8,2037,2037-01-13,3693.5
p8,2038,2038-12-21,4673.28
p8,2053,2053-12-08,4583.62
p8,2069,2069-02-04,3544.62
p8,2069,2069-02-05,3667.42
p8,2069,2069-02-06,3552.79
p8,2070,2070-12-20,4375.57
p8,2070,2070-12-21,4664.52
p8,2070,2070-12-22,4817.91
p8,2078,2078-12-21,4587.83
p8,2093,2093-12-08,4539.21
