rb,Year,Date,Load_sum
p90,2039,2039-08-02,189816.41
p90,2040,2040-06-25,183612.83
p90,2040,2040-06-26,183099.59
p90,2040,2040-07-03,187829.46
p90,2040,2040-07-08,175630.13999999998
p90,2040,2040-07-09,187035.84
p90,2040,2040-07-16,187507.49
p90,2040,2040-07-19,187631.92
p90,2040,2040-07-20,186746.65
p90,2040,2040-07-26,187698.82
p90,2040,2040-07-27,187988.53
p90,2040,2040-07-28,175564.63
p90,2040,2040-07-30,188034.22
p90,2040,2040-07-31,188526.11
p90,2040,2040-08-01,191281.53
p90,2040,2040-08-02,190844.46
p90,2040,2040-08-03,189358.63999999998
p90,2040,2040-08-07,190219.24
p90,2040,2040-08-08,190794.78
p90,2040,2040-08-09,190963.25
p90,2040,2040-08-10,189728.41
p90,2040,2040-08-11,177408.55
p90,2040,2040-08-12,178414.91999999998
p90,2040,2040-08-13,190084.92
p90,2041,2041-06-16,171889.88
p90,2041,2041-06-17,184620.82
p90,2041,2041-06-18,184094.16
p90,2041,2041-06-19,163782.63
p90,2041,2041-06-20,184945.44
p90,2041,2041-06-21,184022.9
p90,2041,2041-06-23,171725.29
p90,2041,2041-06-24,184072.19
p90,2041,2041-06-25,183116.71
p90,2041,2041-06-27,184562.99
p90,2041,2041-06-28,184633.15
p90,2041,2041-06-29,171902.74
p90,2041,2041-06-30,171765.79
p90,2041,2041-07-01,188924.69
p90,2041,2041-07-02,189341.39
p90,2041,2041-07-03,189356.63
p90,2041,2041-07-04,168919.62
p90,2041,2041-07-05,187339.52
p90,2041,2041-07-09,188060.9
p90,2041,2041-07-10,188765.8
p90,2041,2041-07-11,188957.51
p90,2041,2041-07-12,187831.95
p90,2041,2041-07-13,176122.48
p90,2041,2041-07-14,177220.83
p90,2041,2041-07-15,188727.65
p90,2041,2041-07-16,187635.44
p90,2041,2041-07-17,187956.93
p90,2041,2041-07-18,188000.74
p90,2041,2041-07-21,177356.96
p90,2041,2041-07-22,189882.09
p90,2041,2041-07-23,189191.24
p90,2041,2041-07-24,188829.85
p90,2041,2041-07-25,189143.36000000002
p90,2041,2041-07-26,189303.37
p90,2041,2041-07-27,178070.53
p90,2041,2041-07-28,177896.01
p90,2041,2041-07-29,189071.57
p90,2041,2041-07-30,188147.48
p90,2041,2041-07-31,188080.88
p90,2041,2041-08-01,191218.64
p90,2041,2041-08-02,191444.46
p90,2041,2041-08-03,180290.75
p90,2041,2041-08-04,181040.87
p90,2041,2041-08-05,192417.54
p90,2041,2041-08-06,192401.6
p90,2041,2041-08-07,193045.74
p90,2041,2041-08-08,192277.75
p90,2041,2041-08-09,190672.8
p90,2041,2041-08-10,178651.0
p90,2041,2041-08-11,178920.62
p90,2041,2041-08-12,190314.73
p90,2041,2041-08-13,190359.7
p90,2041,2041-08-14,191583.43
p90,2041,2041-08-15,191793.84
p90,2041,2041-08-16,190439.6
p90,2041,2041-08-17,177500.13
p90,2041,2041-08-18,177974.5
p90,2041,2041-08-19,190825.63
p90,2041,2041-08-20,190725.36
p90,2041,2041-08-21,189966.79
p90,2041,2041-08-22,188415.65
p90,2042,2042-06-11,183897.93
p90,2042,2042-06-12,184498.21
p90,2042,2042-06-13,183765.27
p90,2042,2042-06-14,172357.33
p90,2042,2042-06-15,173689.73
p90,2042,2042-06-16,185586.75
p90,2042,2042-06-17,184686.52
p90,2042,2042-06-18,184966.26
p90,2042,2042-06-19,164858.99
p90,2042,2042-06-20,183949.08
p90,2042,2042-06-21,172179.25
p90,2042,2042-06-22,174214.95
p90,2042,2042-06-23,187192.77
p90,2042,2042-06-24,186511.66
p90,2042,2042-06-25,185951.75
p90,2042,2042-06-26,186153.76
p90,2042,2042-06-27,186302.9
p90,2042,2042-06-28,174570.44
p90,2042,2042-06-29,174197.36
p90,2042,2042-06-30,185479.02
p90,2042,2042-07-01,189049.65
p90,2042,2042-07-02,188812.89
p90,2042,2042-07-03,189282.51
p90,2042,2042-07-04,169517.87
p90,2042,2042-07-05,178271.57
p90,2042,2042-07-06,178696.34
p90,2042,2042-07-07,190273.38999999998
p90,2042,2042-07-08,190299.65
p90,2042,2042-07-09,190909.88
p90,2042,2042-07-10,190241.41
p90,2042,2042-07-11,188648.89
p90,2042,2042-07-12,177262.1
p90,2042,2042-07-13,177598.77
p90,2042,2042-07-14,188728.05
p90,2042,2042-07-15,188984.59
p90,2042,2042-07-16,190390.24
p90,2042,2042-07-17,190994.89
p90,2042,2042-07-18,189856.77
p90,2042,2042-07-19,177851.34
p90,2042,2042-07-20,178630.65
p90,2042,2042-07-21,191269.11000000002
p90,2042,2042-07-22,191460.9
p90,2042,2042-07-23,191030.6
p90,2042,2042-07-24,190114.96
p90,2042,2042-07-25,188788.78
p90,2042,2042-07-26,177217.76
p90,2042,2042-07-27,178275.13
p90,2042,2042-07-28,190915.71
p90,2042,2042-07-29,191963.32
p90,2042,2042-07-30,192157.95
p90,2042,2042-07-31,191278.64
p90,2042,2042-08-01,193539.59
p90,2042,2042-08-02,182490.98
p90,2042,2042-08-03,182229.6
p90,2042,2042-08-04,193354.49
p90,2042,2042-08-05,193602.7
p90,2042,2042-08-06,193592.06
p90,2042,2042-08-07,192415.1
p90,2042,2042-08-08,192080.32
p90,2042,2042-08-09,181606.96
p90,2042,2042-08-10,182243.17
p90,2042,2042-08-11,193801.3
p90,2042,2042-08-12,193359.04
p90,2042,2042-08-13,193427.32
p90,2042,2042-08-14,193538.68
p90,2042,2042-08-15,193094.29
p90,2042,2042-08-16,180368.48
p90,2042,2042-08-17,179280.85
p90,2042,2042-08-18,190767.0
p90,2042,2042-08-19,190542.77
p90,2042,2042-08-20,190684.97
p90,2042,2042-08-21,190868.25
p90,2042,2042-08-22,191000.35
p90,2042,2042-08-23,178787.54
p90,2042,2042-08-24,177974.05
p90,2042,2042-08-25,190335.33
p90,2042,2042-08-26,190945.83000000002
p90,2042,2042-08-27,189863.87
p90,2043,2043-06-07,172033.55
p90,2043,2043-06-08,183949.6
p90,2043,2043-06-09,184326.3
p90,2043,2043-06-10,185525.55
p90,2043,2043-06-11,185282.26
p90,2043,2043-06-12,184058.9
p90,2043,2043-06-13,172756.19
p90,2043,2043-06-14,173645.7
p90,2043,2043-06-15,185210.03
p90,2043,2043-06-16,185728.25
p90,2043,2043-06-17,187453.55
p90,2043,2043-06-18,188035.66
p90,2043,2043-06-19,166744.56
p90,2043,2043-06-20,175031.6
p90,2043,2043-06-21,175630.18
p90,2043,2043-06-22,188554.37
p90,2043,2043-06-23,188911.91
p90,2043,2043-06-24,188405.98
p90,2043,2043-06-25,187199.15
p90,2043,2043-06-26,185787.14
p90,2043,2043-06-27,173933.98
p90,2043,2043-06-28,174709.0
p90,2043,2043-06-29,187539.62
p90,2043,2043-06-30,188428.97
p90,2043,2043-07-01,193148.78
p90,2043,2043-07-02,192130.45
p90,2043,2043-07-03,171743.03
p90,2043,2043-07-04,165400.26
p90,2043,2043-07-05,180142.43
p90,2043,2043-07-06,191171.71
p90,2043,2043-07-07,191466.07
p90,2043,2043-07-08,191539.92
p90,2043,2043-07-09,190294.48
p90,2043,2043-07-10,190021.61
p90,2043,2043-07-11,179675.36000000002
p90,2043,2043-07-12,180700.95
p90,2043,2043-07-13,192051.84
p90,2043,2043-07-14,191638.34
p90,2043,2043-07-15,191935.32
p90,2043,2043-07-16,192236.24
p90,2043,2043-07-17,192143.04
p90,2043,2043-07-18,180132.34
p90,2043,2043-07-19,179487.35
p90,2043,2043-07-20,190718.52
p90,2043,2043-07-21,190980.32
