rb,Year,Date,Load_sum
p92,2020,2020-01-08,407493.65937939595
p92,2020,2020-01-10,391226.34176335396
p92,2020,2020-01-31,381303.5593657192
p92,2020,2020-12-14,374675.9596220882
p92,2021,2021-01-08,407381.42192016565
p92,2021,2021-01-10,368598.89216824056
p92,2021,2021-01-31,363127.2752915849
p92,2021,2021-12-14,374573.0431851514
p92,2022,2022-01-08,386302.6724006989
p92,2022,2022-01-10,391011.15195378166
p92,2022,2022-01-31,381093.8274750717
p92,2022,2022-12-14,374470.15501742356
p92,2023,2023-01-08,386196.56232450734
p92,2023,2023-01-10,390903.7485468425
p92,2023,2023-01-31,380989.1481705818
p92,2023,2023-12-14,374367.2951111397
p92,2024,2024-01-08,407045.81408588315
p92,2024,2024-01-10,390796.3746415985
p92,2024,2024-01-31,380884.4976195274
p92,2024,2024-12-14,364806.96798438457
p92,2025,2025-01-08,406933.6999783093
p92,2025,2025-01-10,390688.736176173
p92,2025,2025-01-31,380779.5892184049
p92,2025,2025-12-14,364706.76237377495
p92,2026,2026-01-08,406821.9229469953
p92,2026,2026-01-10,368092.6572478856
p92,2026,2026-01-31,362628.55510768906
p92,2026,2026-12-14,374058.6033463105
p92,2027,2027-01-08,406710.17661872884
p92,2027,2027-01-10,367991.5491202524
p92,2027,2027-01-31,362528.94786611194
p92,2027,2027-12-14,373955.8564855277
p92,2028,2028-01-08,385666.15870658087
p92,2028,2028-01-10,390366.8800640101
p92,2028,2028-01-31,380465.89643223357
p92,2028,2028-12-14,373852.856465208
p92,2029,2029-01-08,406486.47009359254
p92,2029,2029-01-10,390259.35989583674
p92,2029,2029-01-31,380361.10332795716
p92,2029,2029-12-14,373750.16611922253
p92,2030,2030-01-08,406374.8159079137
p92,2030,2030-01-10,390152.16299203155
p92,2030,2030-01-31,380256.62528900494
p92,2030,2030-12-14,364205.8729171704
p92,2031,2031-01-08,406263.192391539
p92,2031,2031-01-10,390044.9955331991
p92,2031,2031-01-31,380152.17594820436
p92,2031,2031-12-14,364105.8324160667
p92,2032,2032-01-08,406151.5995360442
p92,2032,2032-01-10,367486.1483268199
p92,2032,2032-01-31,362031.0494270531
p92,2032,2032-12-14,373441.98321999173
p92,2033,2033-01-08,385136.19367208774
p92,2033,2033-01-10,389830.4555103185
p92,2033,2033-01-31,379943.07736352814
p92,2033,2033-12-14,373339.40573315654
p92,2034,2034-01-08,385030.4040056568
p92,2034,2034-01-10,389723.37641847867
p92,2034,2034-01-31,379838.7141484436
p92,2034,2034-12-14,373236.85642242705
p92,2035,2035-01-08,405816.6994107227
p92,2035,2035-01-10,389616.32673925074
p92,2035,2035-01-31,379734.37959997077
p92,2035,2035-12-14,373134.33528006385
p92,2036,2036-01-08,405705.22919844935
p92,2036,2036-01-10,389509.3064645557
p92,2036,2036-01-31,379630.0737102354
p92,2036,2036-12-14,363605.49460918555
p92,2037,2037-01-08,405593.48433304206
p92,2037,2037-01-10,366981.16544232995
p92,2037,2037-01-31,361533.5626933437
p92,2037,2037-12-14,372929.0967825949
p92,2038,2038-01-08,405482.075433751
p92,2038,2038-01-10,366880.36262058414
p92,2038,2038-01-31,361434.2562255815
p92,2038,2038-12-14,372826.6601760146
