rb,Year,Date,Load_sum
p134,2020,2020-06-27,11747393.280000003
p134,2020,2020-06-28,11653148.099999998
p134,2020,2020-07-05,12049343.369999997
p134,2020,2020-07-09,12993098.359999998
p134,2020,2020-07-10,12996418.060000006
p134,2020,2020-07-11,12231544.390000002
p134,2020,2020-07-12,11972368.249999996
p134,2020,2020-07-13,12791168.979999999
p134,2020,2020-07-14,12972379.469999995
p134,2020,2020-07-15,13265530.77
p134,2020,2020-07-16,13609554.92
p134,2020,2020-07-17,13490115.110000001
p134,2020,2020-07-18,12063887.250000002
p134,2020,2020-07-19,12105792.47
p134,2020,2020-07-20,13320970.040000003
p134,2020,2020-07-21,13403882.64
p134,2020,2020-07-25,11585025.110000003
p134,2020,2020-07-26,11795211.63
p134,2020,2020-07-28,12649583.309999999
p134,2020,2020-07-29,12802525.299999995
p134,2020,2020-07-30,13047412.460000005
p134,2020,2020-07-31,13120236.870000001
p134,2020,2020-08-01,12228224.050000003
p134,2020,2020-08-02,12196552.659999998
p134,2020,2020-08-03,13083090.430000002
p134,2020,2020-08-04,12920838.140000002
p134,2020,2020-08-05,13073965.41
p134,2020,2020-08-06,13242366.59
p134,2020,2020-08-07,13359718.610000007
p134,2020,2020-08-08,12396631.969999995
p134,2020,2020-08-09,12322538.170000002
p134,2020,2020-08-10,12986523.950000001
p134,2020,2020-08-11,13072410.790000001
p134,2020,2020-08-26,12427581.990000002
p134,2021,2021-07-07,12837529.039999994
p134,2021,2021-07-08,13215109.379999999
p134,2021,2021-07-09,13293582.200000001
p134,2021,2021-07-10,11994309.05
p134,2021,2021-07-11,11761682.959999995
p134,2021,2021-07-12,12880138.62
p134,2021,2021-07-13,13036695.400000002
p134,2021,2021-07-14,12935608.180000002
p134,2021,2021-07-18,11868628.009999998
p134,2021,2021-07-19,13029090.219999995
p134,2021,2021-07-20,13006499.13
p134,2021,2021-07-21,13026303.200000001
p134,2021,2021-08-05,13122737.709999999
p134,2021,2021-08-06,12913432.23
p134,2022,2022-07-18,13208337.200000001
p134,2022,2022-07-19,13265762.199999997
p134,2022,2022-07-25,12710424.819999998
p134,2022,2022-07-26,13023394.829999998
p134,2022,2022-08-05,12967244.809999997
p134,2023,2023-07-12,12808135.610000003
p134,2023,2023-07-13,12959870.090000002
p134,2023,2023-07-14,12875640.69999999
p134,2023,2023-07-15,11936349.32
p134,2023,2023-07-16,12048505.919999998
p134,2023,2023-07-18,13124036.26
