rb,Year,Date,Load_sum
p134,2093,2093-01-11,26182185.94593095
p134,2093,2093-01-17,26184162.06939507
p134,2094,2094-01-14,28374820.562030785
p134,2094,2094-01-15,28307342.38598619
p134,2094,2094-01-16,26757211.243338883
p134,2094,2094-01-17,26711318.58114317
p134,2094,2094-01-18,26488600.822132275
p134,2094,2094-01-19,28190475.368598253
p134,2094,2094-01-22,28162331.972688492
p134,2094,2094-01-23,26620411.903640587
p134,2095,2095-01-07,29092286.94449799
p134,2095,2095-01-08,27576478.864695255
p134,2095,2095-01-10,28974169.797340795
p134,2095,2095-01-11,28958533.746598538
p134,2095,2095-01-12,28967197.2304264
p134,2095,2095-01-13,28925847.099236514
p134,2095,2095-01-14,28861244.954227515
p134,2095,2095-01-15,27367669.400306024
p134,2095,2095-01-16,27395652.945513997
p134,2095,2095-01-17,27144203.772384085
p134,2095,2095-01-18,28850428.695658196
p134,2095,2095-01-24,28788702.991808344
p134,2095,2095-01-25,28817679.055340044
p134,2096,2096-01-06,29700483.08287939
p134,2096,2096-01-07,28162212.114301696
p134,2096,2096-01-08,28092812.596306413
p134,2096,2096-01-09,29542370.21245852
p134,2096,2096-01-10,29577480.115819965
p134,2096,2096-01-11,29654484.98610501
p134,2096,2096-01-12,29684106.087512147
p134,2096,2096-01-13,29594417.751423758
p134,2096,2096-01-14,28021161.537261114
p134,2096,2096-01-15,28007286.949647207
p134,2096,2096-01-17,29478419.57262582
p134,2096,2096-01-18,29552273.6250878
p134,2096,2096-01-19,29609669.60655717
p134,2096,2096-01-20,29534271.442552842
p134,2096,2096-01-21,27928914.387898143
p134,2096,2096-01-22,27869194.41133757
p134,2096,2096-01-23,29386190.289435636
p134,2096,2096-01-24,29468913.276340596
p134,2096,2096-01-25,29550320.220218033
p134,2096,2096-01-26,29580296.832337476
p134,2096,2096-01-27,29581368.38263324
p134,2096,2096-01-28,28058390.758837286
p134,2097,2097-01-03,30338462.538279813
p134,2097,2097-01-04,30370962.651804157
p134,2097,2097-01-05,28868191.333696637
p134,2097,2097-01-06,28842238.87574876
p134,2097,2097-01-07,30311504.312524762
p134,2097,2097-01-08,30286855.38168353
p134,2097,2097-01-10,30249890.592500933
p134,2097,2097-01-11,30214870.518337503
p134,2097,2097-01-12,28748380.669739127
p134,2097,2097-01-13,28774537.562557824
p134,2097,2097-01-14,30247369.004571173
p134,2097,2097-01-15,30211465.130742483
p134,2097,2097-01-16,30185935.381606538
p134,2097,2097-01-17,30190079.765374262
p134,2097,2097-01-18,30240115.931620397
p134,2097,2097-01-19,28751221.01522735
p134,2097,2097-01-20,28718799.69756469
p134,2097,2097-01-21,28440477.10482849
p134,2097,2097-01-22,30208406.638208188
p134,2097,2097-01-23,30213792.581414912
p134,2097,2097-01-24,30182750.12819128
p134,2097,2097-01-25,30149379.48804218
p134,2097,2097-01-26,28581154.373305183
p134,2097,2097-01-27,28565257.552326333
p134,2097,2097-01-28,30129605.900476538
p134,2098,2098-01-02,31065855.683772665
p134,2098,2098-01-06,30973931.87598161
p134,2098,2098-01-07,31071597.964965384
p134,2098,2098-01-08,31104950.869107682
p134,2098,2098-01-09,31058322.428889204
p134,2098,2098-01-10,30980054.55396433
p134,2098,2098-01-11,29402434.284533285
p134,2098,2098-01-12,29430282.557087146
p134,2098,2098-01-13,31004169.524305698
p134,2098,2098-01-14,31042061.96697434
p134,2098,2098-01-15,31053283.47364426
p134,2098,2098-01-16,31057650.85189153
p134,2098,2098-01-17,31041330.076272514
p134,2098,2098-01-18,29462208.240478493
p134,2098,2098-01-19,29424529.35490623
p134,2098,2098-01-20,29078297.623169623
p134,2098,2098-01-21,30819728.179774623
p134,2098,2098-01-22,30790911.47539887
p134,2098,2098-01-23,30843671.610331196
p134,2098,2098-01-24,30892962.675000012
p134,2098,2098-01-25,29354901.98643257
p134,2098,2098-01-26,29301306.227688387
p134,2098,2098-01-27,30814078.68924689
p134,2098,2098-01-31,30894445.18812747
p134,2098,2098-02-01,28889364.414752048
p134,2098,2098-02-02,28855912.724174216
p134,2098,2098-02-03,30458850.72715664
p134,2099,2099-01-02,31803950.407261107
p134,2099,2099-01-03,30314586.737039007
p134,2099,2099-01-04,30309282.79515115
p134,2099,2099-01-05,31773721.82837579
p134,2099,2099-01-06,31759080.421086937
p134,2099,2099-01-07,31811028.096628968
p134,2099,2099-01-08,31842897.2660587
p134,2099,2099-01-09,31838357.619626928
p134,2099,2099-01-10,30265836.278075498
p134,2099,2099-01-11,30267684.41050877
p134,2099,2099-01-12,31857397.731285196
p134,2099,2099-01-13,31844758.59993902
p134,2099,2099-01-14,31787613.35480856
p134,2099,2099-01-15,31719812.76688124
p134,2099,2099-01-16,31648616.101118546
p134,2099,2099-01-17,30059628.893453144
p134,2099,2099-01-18,30103596.668775637
p134,2099,2099-01-19,29883741.025010698
p134,2099,2099-01-20,31697868.749252953
p134,2099,2099-01-21,31600166.583977524
p134,2099,2099-01-22,31549006.492783897
p134,2099,2099-01-23,31569663.047338124
p134,2099,2099-01-24,29988980.525782753
p134,2099,2099-01-25,29983329.667001132
p134,2099,2099-01-26,31592456.1419571
p134,2099,2099-01-27,31656646.708694715
p134,2099,2099-01-28,31669098.220476825
p134,2099,2099-01-29,31660483.56822354
p134,2099,2099-01-30,31631011.2980991
p134,2099,2099-01-31,30054784.581682254
p134,2099,2099-02-01,29593803.214684073
p134,2099,2099-02-02,31307245.64351975
p134,2099,2099-02-06,31363005.647615306
p134,2099,2099-02-07,29675489.763942644
p134,2099,2099-12-30,35464990.18209216
