rb,Year,Date,Load_sum
p134,2022,2022-01-10,13230626.952132905
p134,2022,2022-01-11,14400538.92189548
p134,2022,2022-01-17,12600968.435731232
p134,2022,2022-02-10,11707018.333049165
p134,2023,2023-12-23,11541497.367643164
p134,2023,2023-12-24,12482897.84321199
p134,2023,2023-12-25,12926388.192995762
p134,2023,2023-12-26,13806991.414146556
p134,2024,2024-01-19,12427026.195801556
p134,2024,2024-01-20,12093598.83174694
p134,2024,2024-01-21,12238441.11564905
p134,2025,2025-01-20,12735899.69621029
p134,2025,2025-01-21,14684433.675050376
p134,2025,2025-02-03,12283370.39940565
p134,2025,2025-02-04,12053362.355765807
p134,2029,2029-12-22,13129956.147508092
p134,2029,2029-12-23,13400268.189957678
p134,2034,2034-01-18,13272987.543180302
p134,2034,2034-01-19,14234519.452124598
p134,2036,2036-02-02,12131145.260560183
p134,2036,2036-02-03,13103174.470917588
p134,2036,2036-02-04,14159227.82850507
p134,2037,2037-01-12,13697660.423402043
p134,2037,2037-01-17,13014114.279730376
p134,2054,2054-01-07,16525160.365046714
p134,2062,2062-01-10,16838518.50965032
p134,2063,2063-12-24,17489991.07092938
p134,2063,2063-12-25,17035902.84328276
p134,2069,2069-12-22,17941968.089759894
p134,2076,2076-02-03,19933058.720085494
