region,Year,cdd
p133,2020,3625.5735248435935
p133,2021,3499.266754622221
p133,2022,3554.8321931791
p133,2023,3343.964041186373
p133,2024,3341.232125523972
p133,2025,3351.387585602283
p133,2026,3389.8236156052026
p133,2027,3490.494758405201
p133,2028,3443.5406425695896
p133,2029,3471.2421618958106
p133,2030,2972.653315619641
p133,2031,3021.496115331589
p133,2032,3444.967324609084
p133,2033,3425.02922670859
p133,2034,3446.5943905635345
p133,2035,3299.6371682840013
p133,2036,3461.420089327282
p133,2037,3459.206280875457
p133,2038,2951.46866105184
p133,2039,3080.9584103776474
p133,2040,3438.6169976905926
p133,2041,3184.544110676635
p133,2042,3174.8497127701457
p133,2043,3643.14271762486
p133,2044,3488.26163311276
p133,2045,3488.2701165823264
p133,2046,3017.827213580217
p133,2047,3361.531413853261
p133,2048,3240.0759732584447
p133,2049,3386.056856236385
p133,2050,3038.2065579949094
p133,2051,3024.008686154292
p133,2052,2753.131558435926
p133,2053,3223.1810011111547
p133,2054,3282.0713938870404
p133,2055,3265.728608344305
p133,2056,2996.074941676168
p133,2057,2991.7923315545954
p133,2058,3139.055167770267
p133,2059,3201.7023427894264
p133,2060,3110.375779465053
p133,2061,2993.8241144299677
p133,2062,3022.8200945345434
p133,2063,2850.439395201336
p133,2064,2834.6923864966107
p133,2065,2867.081805491488
p133,2066,2882.1594961632613
p133,2067,2953.475231379048
p133,2068,2935.372166482622
p133,2069,3002.589244594579
p133,2070,2493.473819895265
p133,2071,2545.180331830726
p133,2072,2950.3064534853647
p133,2073,2899.9774715426893
p133,2074,2879.512396419925
p133,2075,2784.113947088586
p133,2076,2911.285691966168
p133,2077,2869.239166306761
p133,2078,2386.4509849154133
p133,2079,2534.117394199048
p133,2080,2866.152404545573
p133,2081,2617.7007316541763
p133,2082,2627.6210948481275
p133,2083,3047.6677513667432
p133,2084,2909.36766533538
p133,2085,2918.6177155958703
p133,2086,2436.1647521313885
p133,2087,2840.7259720155
p133,2088,2701.062177903331
p133,2089,2815.5479269568004
p133,2090,2527.4173343315497
p133,2091,2538.6606646627883
p133,2092,2289.1033164426813
p133,2093,2713.342127660569
p133,2094,2777.47590007348
p133,2095,2793.161137826585
p133,2096,2513.3303524174203
p133,2097,2498.361720861554
p133,2098,2649.7313972067263
p133,2099,2662.244599633154
p49,2020,2417.1085739877026
p49,2021,1987.8149609903871
p49,2022,2441.50539618368
p49,2023,2703.9527478784244
p49,2024,2545.158770103278
p49,2025,2467.893522252965
p49,2026,2013.83295417178
p49,2027,2343.8075899519536
p49,2028,2490.013829263386
p49,2029,2323.1851857994525
p49,2030,2237.2691671545717
p49,2031,2272.819095072892
p49,2032,2168.340486035783
p49,2033,2579.462716119408
p49,2034,2219.08346730261
p49,2035,2201.235629047867
p49,2036,2342.37892778486
p49,2037,2474.873710107252
p49,2038,2192.267832447997
p49,2039,2023.8367538147704
p49,2040,2238.2392099587946
p49,2041,2259.5651585857768
p49,2042,2375.4217733479736
p49,2043,2103.021785259892
p49,2044,2083.626266287779
p49,2045,2076.160614005394
p49,2046,1927.1748763897067
p49,2047,2275.8163837959864
p49,2048,2133.544803019684
p49,2049,2225.813021623406
p49,2050,2151.1795116615367
p49,2051,2200.692371340786
p49,2052,1766.1765996432466
p49,2053,2356.805992468251
p49,2054,2250.294827244052
p49,2055,2072.5816916105086
p49,2056,1865.351466821952
p49,2057,1887.583367777593
p49,2058,2223.211471858184
p49,2059,2339.758375863442
p49,2060,2012.2916317105603
p49,2061,1652.924190451584
p49,2062,2056.974369279907
p49,2063,2262.531709779365
p49,2064,2124.4575153026453
p49,2065,2135.592182652308
p49,2066,1684.1463444605847
p49,2067,2011.520372721204
p49,2068,2089.057921682705
p49,2069,1968.7074525235923
p49,2070,1872.2900458651336
p49,2071,1933.2146455050415
p49,2072,1783.526965015806
p49,2073,2123.4133754745667
p49,2074,1825.996246459646
p49,2075,1759.896662707788
p49,2076,1943.9638135538169
p49,2077,2073.7502675015185
p49,2078,1805.5053990536908
p49,2079,1579.0284868678702
p49,2080,1835.4087648167056
p49,2081,1846.5694202363895
p49,2082,1946.6789294961936
p49,2083,1685.6023393328207
p49,2084,1696.6525984765913
p49,2085,1687.2579297189868
p49,2086,1532.4507060827395
p49,2087,1832.7355133252704
p49,2088,1726.096252288084
p49,2089,1802.5448797206325
p49,2090,1796.1723689823448
p49,2091,1808.73779792205
p49,2092,1442.3307396044538
p49,2093,1930.5311227229247
p49,2094,1884.5834666442445
p49,2095,1662.9386590017104
p49,2096,1482.6489154144692
p49,2097,1482.4873982249974
p49,2098,1802.559017318377
p49,2099,1887.5790120584
p18,2020,4657.236075149301
p18,2021,4229.657845870807
p18,2022,5220.531224844806
p18,2023,4705.909983154511
p18,2024,4864.153718021899
p18,2025,5209.676864945974
p18,2026,4324.90646851237
p18,2027,3943.2536652291706
p18,2028,4302.459467422577
p18,2029,4834.12642845242
p18,2030,4543.853126342851
p18,2031,4468.938640935886
p18,2032,4140.16065726846
p18,2033,4906.807587465548
p18,2034,4334.943951057312
p18,2035,4478.946820448065
p18,2036,5034.271921139157
p18,2037,4493.400007335858
p18,2038,4211.647316147537
p18,2039,4109.679603931809
p18,2040,4450.401841698615
p18,2041,4145.98305322846
p18,2042,4662.274134285412
p18,2043,4257.81571511801
p18,2044,4184.1011560640245
p18,2045,4230.350068065804
p18,2046,4081.8398738615497
p18,2047,4189.880069282866
p18,2048,4657.92911079535
p18,2049,4664.753846978399
p18,2050,4380.555023149367
p18,2051,4622.876915649096
p18,2052,4055.433555162793
p18,2053,4415.794670707983
p18,2054,4429.175476753127
p18,2055,3877.9146031385226
p18,2056,3954.49008688732
p18,2057,4358.249783562
p18,2058,4484.830176839662
p18,2059,4776.2229848419865
p18,2060,3974.915778308259
p18,2061,3581.655997133634
p18,2062,4526.114785979746
p18,2063,4038.1290866159193
p18,2064,4184.563310381659
p18,2065,4543.613152091924
p18,2066,3723.191291399174
p18,2067,3334.518003075485
p18,2068,3721.813230020348
p18,2069,4201.553876295202
p18,2070,3916.285871246338
p18,2071,3835.811428905653
p18,2072,3459.796206129805
p18,2073,4153.204064861485
p18,2074,3700.0029007808594
p18,2075,3802.51242086602
p18,2076,4377.351599976897
p18,2077,3812.009802039049
p18,2078,3575.947665139254
p18,2079,3385.9430926277714
p18,2080,3739.303977678605
p18,2081,3490.9340340707718
p18,2082,3980.2662712531182
p18,2083,3584.5422229374085
p18,2084,3453.545217987692
p18,2085,3542.366212952731
p18,2086,3457.7566634322025
p18,2087,3497.164957157414
p18,2088,3945.48406719129
p18,2089,3940.3160421857274
p18,2090,3652.3210181928976
p18,2091,3932.343282616496
p18,2092,3417.3410096906155
p18,2093,3780.4125367453767
p18,2094,3744.110137988978
p18,2095,3217.2651625925537
p18,2096,3272.120221096701
p18,2097,3721.195919721668
p18,2098,3749.71767131021
p18,2099,4038.2560858985607
Texas,2020,1027.4839302815783
Texas,2021,956.9345536180986
Texas,2022,1019.6525549022322
Texas,2023,1206.7690543446088
Texas,2024,957.9048028273072
Texas,2025,1126.4657669655553
Texas,2026,867.4050797083527
Texas,2027,1019.5806902529912
Texas,2028,992.144622161695
Texas,2029,1100.0315548882988
Texas,2030,748.9695457761154
Texas,2031,898.7606631241181
Texas,2032,871.7559012429599
Texas,2033,1071.9034933996763
Texas,2034,890.1197272934054
Texas,2035,911.4403156671008
Texas,2036,1024.1374661849168
Texas,2037,1114.5369445544336
Texas,2038,838.8497041220635
Texas,2039,712.5058990521864
Texas,2040,941.3031637878596
Texas,2041,999.3503723314842
Texas,2042,1056.4365874391096
Texas,2043,956.5457987732316
Texas,2044,863.4093017392697
Texas,2045,839.9794823645528
Texas,2046,731.620864906254
Texas,2047,963.3598203461712
Texas,2048,885.9608097956173
Texas,2049,913.6425640907374
Texas,2050,1091.8447060498638
Texas,2051,937.6238739612515
Texas,2052,668.6352781374369
Texas,2053,1040.0589304003483
Texas,2054,1072.9346350136198
Texas,2055,940.2157345364176
Texas,2056,724.7822296448323
Texas,2057,635.4768576733884
Texas,2058,1010.5548280444528
Texas,2059,974.9273576615416
Texas,2060,807.5712450591163
Texas,2061,732.8581084510613
Texas,2062,809.959835691085
Texas,2063,967.3216560898892
Texas,2064,729.3911487157126
Texas,2065,934.8440614670972
Texas,2066,686.1811048299553
Texas,2067,805.5907486419394
Texas,2068,812.7562355213645
Texas,2069,908.2765717472251
Texas,2070,542.919269550612
Texas,2071,716.3091348406222
Texas,2072,687.543483375244
Texas,2073,832.4865869163264
Texas,2074,696.4663508612914
Texas,2075,705.3895607437659
Texas,2076,810.316777350932
Texas,2077,884.1056597315217
Texas,2078,655.8791225722053
Texas,2079,509.7337310777624
Texas,2080,721.6669866274256
