region,Year,average_total_load
p98,2042,302973.5160612098
p98,2043,302563.8512427866
p98,2044,303866.2019419803
p98,2045,304484.3666674026
p98,2046,307467.99386823573
p98,2047,309099.96980779053
p98,2048,311381.44047042035
p98,2049,313943.59821597306
p98,2050,316776.4383811766
p98,2051,319048.17700739775
p98,2052,322105.9913944892
p98,2053,323778.52277055924
p98,2054,327118.60056454426
p98,2055,328938.7919956394
p98,2056,331499.9424058337
p98,2057,333417.24133755144
p98,2058,335696.6739218089
p98,2059,338577.99560399324
p98,2060,339811.09268827277
p98,2061,341651.0417500801
p98,2062,344678.3480212599
p98,2063,347259.914434779
p98,2064,350321.9546067803
p98,2065,351786.925344767
p98,2066,353209.09878379956
p98,2067,356889.35155720654
p98,2068,359010.75064850354
p98,2069,362579.0556473318
p98,2070,363660.2427873967
p98,2071,367787.74714749336
p98,2072,369384.42034887575
p98,2073,371937.8598368211
p98,2074,374190.8633931273
p98,2075,376647.1954009971
p98,2076,378771.24416333326
p98,2077,380649.94461213786
p98,2078,382149.4809337338
p98,2079,383868.06765741966
p98,2080,387475.75094129716
p98,2081,389277.64282491745
p98,2082,390855.508899304
p98,2083,394025.76912707434
p98,2084,396009.846391193
p98,2085,397506.74475932634
p98,2086,400338.69506828755
p98,2087,403346.45781691704
p98,2088,404487.27289429144
p98,2089,404662.1057200706
p98,2090,405718.9154830231
p98,2091,405785.11999415036
p98,2092,406731.39683251706
p98,2093,407394.9207111778
p98,2094,409029.8351233844
p98,2095,411219.15318319167
p98,2096,411381.02030273486
p98,2097,411756.36568135145
p98,2098,414789.5260872954
p98,2099,412846.68674910546
p92,2063,370938.46229240106
p92,2064,363758.5858471585
p92,2065,367359.2269380148
p92,2066,366260.02587690635
p92,2067,366562.5609901838
p92,2068,365245.5589180463
p92,2069,365727.67616133456
p92,2070,366191.8169052355
p92,2071,366821.5975017529
p92,2072,367702.4759120472
p92,2073,368577.85628202284
p92,2074,368453.04377957754
p92,2075,370155.7455557718
p92,2076,369969.72849271254
p92,2077,370101.1778122516
p92,2078,371653.56473097316
p92,2079,372270.4665474054
p92,2080,372419.8299454587
p92,2081,373517.73266025743
p92,2082,373059.37621219736
p92,2083,373890.2721036609
p92,2084,374676.9407295514
p92,2085,374746.22490488586
p92,2086,374787.0981034017
p92,2087,376352.6850610143
p92,2088,375430.92579532886
p92,2089,376335.19823284814
p92,2090,377211.06295437424
p92,2091,376895.28108059627
p92,2092,377051.3505625203
p92,2093,377114.25920980907
p92,2094,378027.97150536685
p92,2095,377821.81765025895
p92,2096,378017.1851737881
p92,2097,378752.8695429926
p92,2098,379244.9090380989
p92,2099,379348.13133836584
p94,2045,612490.5027472525
p94,2046,621818.3378551098
p94,2047,620665.5799696314
p94,2048,620290.3460638091
p94,2049,624183.2137355966
p94,2050,629477.058995238
p94,2051,633865.3356663402
p94,2052,639288.5859885254
p94,2053,643147.5026660712
p94,2054,646090.6889275706
p94,2055,648875.2195638973
p94,2056,653736.1369198131
p94,2057,657788.7634809123
p94,2058,660952.6444869431
p94,2059,665093.9242142
p94,2060,667649.2407043426
p94,2061,672396.9633154979
p94,2062,676311.6841998881
p94,2063,680372.0270438412
p94,2064,682683.3949671396
p94,2065,687133.474121269
p94,2066,690637.0440511986
p94,2067,693954.4721960193
p94,2068,698847.4990635625
p94,2069,702967.7435574005
p94,2070,708052.3533090989
p94,2071,709270.588661449
p94,2072,712337.7347966752
